name,split,side,offset_m,speed_mps,t_cpa_s,siren_type,gain_db,peak,rms_W,az_med_err,az_max_err,el_med_err,snr_db_target,snr_db_measured,sir_db_target,sir_db_measured,t_on,t_off,az_med_err_noisy,n_frames,result
fold1_room1_mix029,train,L,13.9,17.87,4.22,peepo,-2.67,0.072,0.01066,0.353,1.27,0.172,7.49,7.49,14.03,14.03,1.834,4.908,0.45,30,PASS
fold1_room1_mix030,train,R,-17.48,22.06,3.67,peepo,-1.88,0.0251,0.00291,0.237,0.47,0.361,1.81,1.81,8.72,8.72,6.021,9.528,1.08,37,PASS
fold1_room1_mix031,train,L,13.55,20.31,5.43,wail,-4.64,0.058,0.00937,0.278,0.88,0.249,14.33,14.33,7.41,7.41,3.008,8.372,0.45,54,PASS
fold1_room1_mix032,train,R,-13.81,15.17,4.38,wail,-3.41,0.0666,0.00631,0.221,0.54,0.351,14.36,14.36,8.94,8.94,5.162,9.36,0.28,44,PASS
fold1_room1_mix033,train,L,12.59,18.4,3.25,peepo,-5.92,0.0433,0.00669,0.238,0.85,0.367,10.14,10.14,14.86,14.86,3.229,9.065,0.33,61,PASS
fold1_room1_mix034,train,R,-14.43,19.92,5.05,peepo,-2.89,0.0629,0.00674,0.25,0.72,0.311,6.13,6.13,10.72,10.72,5.424,9.393,0.41,41,PASS
fold1_room1_mix035,train,L,12.76,22.3,5.3,wail,-1.4,0.0749,0.01089,0.228,1.97,0.309,14.73,14.73,13.59,13.59,0.826,5.524,0.27,45,PASS
fold1_room1_mix036,train,R,-15.34,25.95,4.64,wail,-0.11,0.0745,0.01187,0.331,1.01,0.299,14.17,14.17,14.74,14.74,2.558,5.386,0.53,28,PASS
fold1_room1_mix037,train,L,14.12,18.7,3.95,peepo,-0.01,0.1888,0.01426,0.256,0.78,0.244,1.6,1.6,0.12,0.12,2.014,4.783,1.42,27,PASS
fold1_room1_mix038,train,R,-15.48,27.17,6.64,peepo,-5.65,0.0357,0.00366,0.294,0.5,0.247,0.19,0.19,11.11,11.11,1.198,6.25,1.47,47,PASS
fold1_room1_mix039,train,L,5.93,21.81,3.22,wail,-5.79,0.1569,0.01243,0.29,1.33,0.254,19.08,19.08,4.6,4.6,2.207,7.619,0.53,56,PASS
fold1_room1_mix040,train,R,-9.88,16.52,4.76,wail,-5.72,0.0907,0.00987,0.274,1.02,0.356,11.87,11.87,0.13,0.13,4.19,8.906,1.98,49,PASS
fold1_room1_mix041,train,L,11.13,28.39,6.93,peepo,-0.25,0.1062,0.01438,0.309,1.1,0.233,12.77,12.77,10.55,10.55,4.885,7.968,0.71,30,PASS
fold1_room1_mix042,train,R,-6.22,24.8,6.86,peepo,-4.79,0.0782,0.00319,0.265,0.5,0.169,11.48,11.48,4.15,4.15,2.3,5.898,0.37,34,PASS
fold1_room1_mix043,train,L,8.57,16.51,4.98,wail,-5.76,0.1119,0.01158,0.296,1.11,0.256,1.03,1.03,12.81,12.81,3.553,8.38,1.14,49,PASS
fold1_room1_mix044,train,R,-9.0,15.5,3.54,wail,-4.83,0.0826,0.01275,0.227,1.02,0.326,16.31,16.31,6.64,6.64,2.049,6.332,0.72,44,PASS
fold1_room1_mix045,train,L,9.92,24.61,4.55,peepo,-4.79,0.0976,0.0096,0.263,1.28,0.318,3.64,3.64,7.18,7.18,3.915,9.322,1.32,57,PASS
fold1_room1_mix046,train,R,-15.5,16.71,5.31,peepo,-1.19,0.1603,0.01241,0.318,0.68,0.392,0.55,0.55,10.05,10.05,4.616,8.627,1.11,41,PASS
fold1_room1_mix047,train,L,7.13,24.32,5.75,wail,-2.56,0.1217,0.01534,0.311,1.58,0.235,10.2,10.2,14.99,14.99,4.372,7.163,0.56,28,PASS
fold1_room1_mix048,train,R,-15.45,17.42,3.62,wail,-2.1,0.0595,0.00587,0.261,1.36,0.324,4.8,4.8,4.81,4.81,4.582,8.493,0.68,41,PASS
fold1_room1_mix049,train,L,7.71,20.47,3.38,peepo,-2.68,0.1841,0.01091,0.324,1.38,0.312,18.39,18.39,2.41,2.41,3.444,6.594,1.22,33,PASS
fold1_room1_mix050,train,R,-8.24,28.44,3.34,peepo,-4.05,0.0359,0.00345,0.259,0.55,0.244,2.65,2.65,8.81,8.81,4.216,8.021,0.9,41,PASS
fold1_room1_mix051,train,L,5.37,24.79,6.46,wail,-2.48,0.0902,0.00426,0.29,0.49,0.341,7.54,7.54,4.61,4.61,1.056,5.504,0.47,42,PASS
fold1_room1_mix052,train,R,-14.71,29.69,5.31,wail,-3.41,0.0372,0.00436,0.322,0.7,0.338,14.65,14.65,13.75,13.75,5.74,7.876,0.34,23,PASS
fold1_room1_mix053,train,L,12.9,17.3,4.18,peepo,-2.55,0.0839,0.01059,0.247,1.48,0.204,14.23,14.23,2.19,2.19,1.718,4.537,0.74,28,PASS
fold1_room1_mix054,train,R,-5.05,23.11,4.16,peepo,-4.27,0.1419,0.01555,0.296,1.51,0.31,8.52,8.52,8.7,8.7,3.502,9.346,2.85,62,PASS
fold1_room1_mix055,train,L,9.61,27.78,6.8,wail,-1.29,0.1199,0.0127,0.292,2.07,0.229,2.07,2.07,10.21,10.21,1.756,7.138,1.84,50,PASS
fold1_room1_mix056,train,R,-19.51,29.8,4.32,wail,-4.17,0.054,0.00501,0.268,0.84,0.243,15.41,15.41,3.83,3.83,4.332,8.666,0.36,46,PASS
fold1_room1_mix057,train,L,14.55,17.72,6.04,peepo,-1.82,0.1676,0.01047,0.374,1.67,0.316,0.31,0.31,7.69,7.69,5.599,7.662,1.04,22,PASS
fold1_room1_mix058,train,R,-8.01,20.57,5.03,peepo,-3.79,0.0912,0.01365,0.347,1.04,0.238,10.72,10.72,6.69,6.69,3.69,7.777,1.01,41,PASS
fold1_room1_mix059,train,L,16.0,24.35,6.2,wail,-4.38,0.0438,0.00388,0.246,0.53,0.28,7.97,7.97,9.23,9.23,0.829,5.559,0.4,44,PASS
fold1_room1_mix060,train,R,-6.87,22.81,5.32,wail,-0.21,0.1699,0.0163,0.248,1.28,0.273,13.68,13.68,0.93,0.93,0.459,5.386,1.59,46,PASS
fold2_room1_mix001,val,L,8.32,15.99,5.12,peepo,-5.78,0.0399,0.00244,0.249,0.5,0.37,13.51,13.51,3.28,3.28,0.859,3.036,0.31,20,PASS
fold2_room1_mix002,val,R,-15.51,27.99,4.96,peepo,-5.43,0.0966,0.00217,0.3,0.52,0.376,11.45,11.45,4.65,4.65,1.109,3.816,0.37,25,PASS
fold2_room1_mix003,val,L,19.63,20.65,3.77,wail,-2.81,0.0711,0.00809,0.259,0.79,0.348,6.31,6.31,10.06,10.06,2.629,5.334,0.64,27,PASS
fold2_room1_mix004,val,R,-5.65,24.71,3.6,wail,-1.53,0.041,0.00496,0.265,0.51,0.34,17.08,17.08,5.64,5.64,4.616,9.172,0.31,49,PASS
fold2_room1_mix005,val,L,8.19,17.74,5.23,peepo,-0.84,0.126,0.02063,0.271,0.79,0.184,12.36,12.36,6.19,6.19,2.64,7.829,0.53,52,PASS
fold2_room1_mix006,val,R,-5.52,22.41,5.67,peepo,-3.52,0.2249,0.01696,0.226,1.9,0.344,13.11,13.11,2.32,2.32,3.199,8.561,0.55,54,PASS
fold2_room1_mix007,val,L,5.22,19.99,6.53,wail,-4.28,0.1248,0.01239,0.246,2.15,0.311,9.64,9.64,13.98,13.98,6.494,9.045,1.03,27,PASS
fold2_room1_mix008,val,R,-17.75,19.94,3.84,wail,-2.59,0.1215,0.00977,0.329,0.69,0.314,11.75,11.75,0.03,0.03,2.41,6.976,1.56,47,PASS
fold2_room1_mix009,val,L,11.23,17.92,4.49,peepo,-0.63,0.1099,0.01386,0.196,0.81,0.33,5.93,5.93,13.26,13.26,4.357,9.026,0.8,49,PASS
fold2_room1_mix010,val,R,-10.44,22.25,4.41,peepo,-3.26,0.0919,0.01145,0.266,1.01,0.267,3.92,3.92,3.17,3.17,3.78,8.062,3.91,45,PASS
fold2_room1_mix011,val,L,7.6,23.33,4.95,wail,-1.21,0.1761,0.01748,0.315,1.54,0.289,4.32,4.32,10.62,10.62,3.509,6.146,0.61,26,PASS
fold2_room1_mix012,val,R,-7.15,24.81,3.2,wail,-3.05,0.0958,0.01365,0.208,1.26,0.322,19.52,19.52,7.96,7.96,2.755,5.84,1.01,32,PASS
fold2_room1_mix013,val,L,9.43,26.01,6.6,peepo,-5.14,0.0744,0.00967,0.227,1.32,0.286,12.92,12.92,6.97,6.97,3.341,8.137,0.81,47,PASS
fold2_room1_mix014,val,R,-15.49,29.91,6.45,peepo,-4.32,0.021,0.00205,0.337,0.51,0.29,1.95,1.95,12.57,12.57,2.853,5.133,0.49,21,PASS
fold2_room1_mix015,val,L,10.19,22.19,5.84,wail,-3.78,0.091,0.01119,0.295,1.06,0.32,8.24,8.24,7.15,7.15,4.034,7.035,0.68,29,PASS
fold2_room1_mix016,val,R,-16.97,25.74,4.65,wail,-1.19,0.0538,0.00404,0.29,0.44,0.291,4.43,4.43,11.22,11.22,1.402,3.72,0.35,21,PASS
fold2_room1_mix017,val,L,7.26,22.09,6.09,peepo,-3.57,0.0962,0.01438,0.344,1.34,0.231,17.88,17.88,12.61,12.61,4.773,8.962,0.54,42,PASS
fold2_room1_mix018,val,R,-12.59,28.83,4.64,peepo,-3.19,0.0805,0.00925,0.3,0.92,0.272,8.89,8.89,9.16,9.16,2.171,5.409,0.65,31,PASS
fold2_room1_mix019,val,L,8.02,26.58,6.99,wail,-2.25,0.1292,0.01467,0.304,1.42,0.298,1.04,1.04,14.51,14.51,3.394,9.003,1.57,55,PASS
fold2_room1_mix020,val,R,-5.6,23.58,6.78,wail,-5.41,0.1241,0.01304,0.28,1.98,0.33,14.7,14.7,2.87,2.87,4.694,8.662,1.0,40,PASS
