=== v10.2 gen rows 321-704 (384 clips) ===
[gen] fold1_room2_mix356 walk tier=caution car_drive+car_drive+car_drive noise=43.0dBA peak=0.003 (10s)
[gen] fold1_room2_mix357 static tier=safe car_drive+car_drive+car_drive+bike_bell noise=51.2dBA peak=0.004 (32s)
[gen] fold1_room2_mix358 static tier=critical car_drive+car_drive+car_drive noise=52.9dBA peak=0.004 (8s)
[gen] fold1_room2_mix359 walk tier=caution car_drive+car_drive+car_drive+crossing noise=57.1dBA peak=0.005 (12s)
[gen] fold1_room2_mix360 walk tier=safe car_drive+car_drive+car_drive noise=56.1dBA peak=0.003 (16s)
[gen] fold1_room2_mix361 static tier=critical car_drive+car_drive+car_drive+siren noise=40.5dBA peak=0.075 (16s)
[gen] fold1_room2_mix362 static tier=caution car_drive+car_drive+car_drive noise=41.6dBA peak=0.003 (9s)
[gen] fold1_room2_mix363 walk tier=safe car_drive+car_drive+car_drive+horn noise=64.2dBA peak=0.030 (11s)
[gen] fold1_room2_mix364 walk tier=critical car_drive+car_drive+car_drive noise=56.6dBA peak=0.003 (9s)
[gen] fold1_room2_mix365 static tier=caution car_drive+car_drive+car_drive+backup_beep noise=48.1dBA peak=0.006 (17s)
[gen] fold1_room2_mix366 static tier=safe car_drive+car_drive+car_drive noise=63.2dBA peak=0.002 (18s)
[gen] fold1_room2_mix367 walk tier=critical car_drive+car_drive+car_drive+bike_bell noise=40.3dBA peak=0.005 (25s)
[gen] fold1_room2_mix368 walk tier=caution car_drive+car_drive+car_drive noise=56.0dBA peak=0.002 (17s)
[gen] fold1_room2_mix369 static tier=safe car_drive+car_drive+car_drive+crossing noise=52.2dBA peak=0.003 (23s)
[gen] fold1_room2_mix370 static tier=critical car_drive+car_drive+car_drive noise=54.9dBA peak=0.006 (17s)
[gen] fold1_room2_mix371 walk tier=caution car_drive+car_drive+car_drive+siren noise=53.3dBA peak=0.043 (22s)
[321-704] 50/384 723s elapsed, 14.47s/clip
[gen] fold1_room2_mix372 walk tier=safe car_drive+car_drive+car_drive noise=56.2dBA peak=0.005 (17s)
[gen] fold1_room2_mix373 static tier=critical car_drive+car_drive+car_drive+horn noise=53.0dBA peak=0.009 (21s)
[gen] fold1_room2_mix374 static tier=caution car_drive+car_drive+car_drive noise=45.8dBA peak=0.002 (14s)
[gen] fold1_room2_mix375 walk tier=safe car_drive+car_drive+car_drive+backup_beep noise=49.3dBA peak=0.003 (20s)
[gen] fold1_room2_mix376 static tier=na siren noise=44.8dBA peak=0.010 (4s)
[gen] fold1_room2_mix377 walk tier=na siren noise=61.7dBA peak=0.023 (5s)
[gen] fold1_room2_mix378 static tier=na siren noise=42.4dBA peak=0.188 (4s)
[gen] fold1_room2_mix379 walk tier=na siren noise=53.3dBA peak=0.018 (4s)
[gen] fold1_room2_mix380 static tier=na siren+horn noise=64.3dBA peak=0.026 (7s)
[gen] fold1_room2_mix381 walk tier=na siren noise=59.4dBA peak=0.026 (4s)
[gen] fold1_room2_mix382 static tier=na siren noise=48.5dBA peak=0.081 (4s)
[gen] fold1_room2_mix383 walk tier=na siren noise=58.6dBA peak=0.407 (5s)
[gen] fold1_room2_mix384 static tier=na siren noise=53.4dBA peak=0.008 (4s)
[gen] fold1_room2_mix385 walk tier=na siren+horn noise=42.2dBA peak=0.026 (10s)
[gen] fold1_room2_mix386 static tier=na siren noise=41.1dBA peak=0.127 (4s)
[gen] fold1_room2_mix387 walk tier=na siren noise=40.7dBA peak=0.262 (5s)
[gen] fold1_room2_mix388 static tier=na siren noise=59.0dBA peak=0.018 (4s)
[gen] fold1_room2_mix389 walk tier=na siren noise=53.7dBA peak=0.118 (5s)
[gen] fold1_room2_mix390 static tier=na siren+horn noise=45.8dBA peak=0.086 (8s)
[gen] fold1_room2_mix391 walk tier=na siren noise=63.2dBA peak=0.071 (5s)
[gen] fold1_room2_mix392 static tier=na siren noise=62.0dBA peak=0.079 (5s)
[gen] fold1_room2_mix393 walk tier=na siren noise=45.3dBA peak=0.040 (4s)
[gen] fold1_room2_mix394 static tier=na siren noise=62.9dBA peak=0.322 (4s)
[gen] fold1_room2_mix395 walk tier=na siren+horn noise=56.2dBA peak=0.328 (8s)
[gen] fold1_room2_mix396 static tier=na siren noise=63.2dBA peak=0.151 (4s)
[321-704] 75/384 904s elapsed, 12.05s/clip
[gen] fold1_room2_mix397 walk tier=na siren noise=44.3dBA peak=0.126 (6s)
[gen] fold1_room2_mix398 static tier=na siren noise=62.4dBA peak=0.045 (5s)
[gen] fold1_room2_mix399 walk tier=na siren noise=41.7dBA peak=0.019 (5s)
[gen] fold1_room2_mix400 static tier=na siren+horn noise=46.6dBA peak=0.025 (8s)
[gen] fold1_room2_mix401 walk tier=na siren noise=55.9dBA peak=0.264 (5s)
[gen] fold1_room2_mix402 static tier=na siren noise=54.0dBA peak=0.017 (4s)
[gen] fold1_room2_mix403 walk tier=na siren noise=56.8dBA peak=0.007 (5s)
[gen] fold1_room2_mix404 static tier=na siren noise=52.6dBA peak=0.015 (5s)
[gen] fold1_room2_mix405 walk tier=na siren+horn noise=42.7dBA peak=0.074 (8s)
[gen] fold1_room2_mix406 static tier=na siren noise=50.5dBA peak=0.105 (4s)
[gen] fold1_room2_mix407 walk tier=na siren noise=51.8dBA peak=0.013 (5s)
[gen] fold1_room2_mix408 static tier=na siren noise=45.8dBA peak=0.014 (5s)
[gen] fold1_room2_mix409 walk tier=na siren noise=42.3dBA peak=0.102 (7s)
[gen] fold1_room2_mix410 static tier=na siren+horn noise=45.8dBA peak=0.023 (14s)
[gen] fold1_room2_mix411 walk tier=na siren noise=42.6dBA peak=0.231 (7s)
[gen] fold1_room2_mix412 static tier=na siren noise=47.9dBA peak=0.013 (6s)
[gen] fold1_room2_mix413 walk tier=na siren noise=61.5dBA peak=0.010 (5s)
[gen] fold1_room2_mix414 static tier=na siren noise=65.0dBA peak=0.056 (4s)
[gen] fold1_room2_mix415 walk tier=na siren+horn noise=63.3dBA peak=0.045 (8s)
[gen] fold1_room2_mix416 static tier=na siren noise=56.4dBA peak=0.016 (3s)
[gen] fold1_room2_mix417 walk tier=na siren noise=42.4dBA peak=0.088 (3s)
[gen] fold1_room2_mix418 static tier=na siren noise=59.2dBA peak=0.143 (2s)
[gen] fold1_room2_mix419 walk tier=na siren noise=62.6dBA peak=0.076 (3s)
[gen] fold1_room2_mix420 static tier=na siren+horn noise=54.8dBA peak=0.012 (8s)
[gen] fold1_room2_mix421 walk tier=na siren noise=57.0dBA peak=0.207 (4s)
[321-704] 100/384 1043s elapsed, 10.43s/clip
[gen] fold1_room2_mix422 static tier=na siren noise=41.5dBA peak=0.144 (3s)
[gen] fold1_room2_mix423 walk tier=na siren noise=62.9dBA peak=0.022 (4s)
[gen] fold1_room2_mix424 static tier=na siren noise=64.8dBA peak=0.116 (3s)
[gen] fold1_room2_mix425 walk tier=na siren+horn noise=55.5dBA peak=0.079 (8s)
[gen] fold1_room2_mix426 static tier=na siren noise=47.2dBA peak=0.015 (3s)
[gen] fold1_room2_mix427 walk tier=na siren noise=49.2dBA peak=0.010 (3s)
[gen] fold1_room2_mix428 static tier=na siren noise=54.0dBA peak=0.006 (3s)
[gen] fold1_room2_mix429 walk tier=na siren noise=45.9dBA peak=0.130 (3s)
[gen] fold1_room2_mix430 static tier=na siren+horn noise=40.1dBA peak=0.032 (6s)
[gen] fold1_room2_mix431 walk tier=na siren noise=62.7dBA peak=0.022 (4s)
[gen] fold1_room2_mix432 static tier=na siren noise=41.9dBA peak=0.199 (3s)
[gen] fold1_room2_mix433 walk tier=na siren noise=47.0dBA peak=0.022 (3s)
[gen] fold1_room2_mix434 static tier=na siren noise=63.5dBA peak=0.017 (3s)
[gen] fold1_room2_mix435 walk tier=na siren+horn noise=60.2dBA peak=0.042 (7s)
[gen] fold1_room2_mix436 static tier=na siren noise=64.7dBA peak=0.030 (3s)
[gen] fold1_room2_mix437 walk tier=na siren noise=42.2dBA peak=0.008 (4s)
[gen] fold1_room2_mix438 static tier=na siren noise=59.8dBA peak=0.028 (3s)
[gen] fold1_room2_mix439 walk tier=na siren noise=60.1dBA peak=0.354 (4s)
[gen] fold1_room2_mix440 static tier=na siren+horn noise=58.7dBA peak=0.074 (6s)
[gen] fold1_room2_mix441 walk tier=na siren noise=62.2dBA peak=0.041 (4s)
[gen] fold1_room2_mix442 static tier=na siren noise=58.5dBA peak=0.093 (3s)
[gen] fold1_room2_mix443 walk tier=na siren noise=48.1dBA peak=0.051 (3s)
[gen] fold1_room2_mix444 static tier=na siren noise=51.4dBA peak=0.024 (3s)
[gen] fold1_room2_mix445 walk tier=na siren+horn noise=46.0dBA peak=0.009 (7s)
[gen] fold1_room2_mix446 static tier=na siren noise=47.2dBA peak=0.157 (4s)
[321-704] 125/384 1140s elapsed, 9.12s/clip
[gen] fold1_room2_mix447 walk tier=na siren noise=51.3dBA peak=0.009 (4s)
[gen] fold1_room2_mix448 static tier=na siren noise=49.5dBA peak=0.071 (3s)
[gen] fold1_room2_mix449 walk tier=na siren noise=60.2dBA peak=0.006 (4s)
[gen] fold1_room2_mix450 static tier=na siren+horn noise=60.5dBA peak=0.071 (7s)
[gen] fold1_room2_mix451 walk tier=na horn noise=51.4dBA peak=0.013 (4s)
[gen] fold1_room2_mix452 static tier=na backup_beep noise=46.8dBA peak=0.001 (3s)
[gen] fold1_room2_mix453 walk tier=na bike_bell noise=53.1dBA peak=0.001 (4s)
[gen] fold1_room2_mix454 static tier=na crossing noise=64.9dBA peak=0.001 (4s)
[gen] fold1_room2_mix455 walk tier=na horn+backup_beep noise=51.1dBA peak=0.014 (6s)
[gen] fold1_room2_mix456 static tier=na backup_beep noise=55.2dBA peak=0.001 (3s)
[gen] fold1_room2_mix457 walk tier=na bike_bell noise=57.9dBA peak=0.001 (4s)
[gen] fold1_room2_mix458 static tier=na crossing noise=41.1dBA peak=0.000 (4s)
[gen] fold1_room2_mix459 walk tier=na horn noise=43.3dBA peak=0.038 (3s)
[gen] fold1_room2_mix460 static tier=na backup_beep+horn noise=43.2dBA peak=0.025 (5s)
[gen] fold1_room2_mix461 walk tier=na bike_bell noise=56.0dBA peak=0.001 (4s)
[gen] fold1_room2_mix462 static tier=na crossing noise=41.6dBA peak=0.000 (4s)
[gen] fold1_room2_mix463 walk tier=na horn noise=58.5dBA peak=0.006 (3s)
[gen] fold1_room2_mix464 static tier=na backup_beep noise=45.5dBA peak=0.002 (3s)
[gen] fold1_room2_mix465 walk tier=na bike_bell+horn noise=43.6dBA peak=0.008 (17s)
[gen] fold1_room2_mix466 static tier=na crossing noise=45.8dBA peak=0.000 (4s)
[gen] fold1_room2_mix467 walk tier=na horn noise=48.4dBA peak=0.004 (3s)
[gen] fold1_room2_mix468 static tier=na backup_beep noise=59.3dBA peak=0.000 (3s)
[gen] fold1_room2_mix469 walk tier=na bike_bell noise=44.9dBA peak=0.001 (4s)
[gen] fold1_room2_mix470 static tier=na crossing+horn noise=49.9dBA peak=0.081 (7s)
[gen] fold1_room2_mix471 walk tier=na horn noise=63.9dBA peak=0.015 (4s)
[321-704] 150/384 1255s elapsed, 8.36s/clip
[gen] fold1_room2_mix472 static tier=na backup_beep noise=55.5dBA peak=0.000 (3s)
[gen] fold1_room2_mix473 walk tier=na bike_bell noise=55.3dBA peak=0.001 (4s)
[gen] fold1_room2_mix474 static tier=na crossing noise=55.9dBA peak=0.000 (4s)
[gen] fold1_room2_mix475 walk tier=na horn+backup_beep noise=46.2dBA peak=0.047 (6s)
[gen] fold1_room2_mix476 static tier=na backup_beep noise=53.7dBA peak=0.000 (3s)
[gen] fold1_room2_mix477 walk tier=na bike_bell noise=54.1dBA peak=0.001 (14s)
[gen] fold1_room2_mix478 static tier=na crossing noise=51.8dBA peak=0.000 (3s)
[gen] fold1_room2_mix479 walk tier=na horn noise=46.6dBA peak=0.039 (3s)
[gen] fold1_room2_mix480 static tier=na backup_beep+horn noise=58.3dBA peak=0.027 (5s)
[gen] fold1_room2_mix481 walk tier=na bike_bell noise=53.4dBA peak=0.000 (4s)
[gen] fold1_room2_mix482 static tier=na crossing noise=51.0dBA peak=0.000 (4s)
[gen] fold1_room2_mix483 walk tier=na horn noise=63.6dBA peak=0.066 (3s)
[gen] fold1_room2_mix484 static tier=na backup_beep noise=48.0dBA peak=0.000 (3s)
[gen] fold1_room2_mix485 walk tier=na bike_bell+horn noise=52.3dBA peak=0.100 (7s)
[gen] fold1_room2_mix486 static tier=na crossing noise=52.4dBA peak=0.000 (4s)
[gen] fold1_room2_mix487 walk tier=na horn noise=44.4dBA peak=0.033 (3s)
[gen] fold1_room2_mix488 static tier=na backup_beep noise=40.4dBA peak=0.000 (3s)
[gen] fold1_room2_mix489 walk tier=na bike_bell noise=48.7dBA peak=0.001 (4s)
[gen] fold1_room2_mix490 static tier=na crossing+horn noise=63.7dBA peak=0.064 (6s)
[gen] fold1_room2_mix491 walk tier=na horn noise=54.9dBA peak=0.043 (4s)
[gen] fold1_room2_mix492 static tier=na backup_beep noise=50.2dBA peak=0.001 (3s)
[gen] fold1_room2_mix493 walk tier=na bike_bell noise=63.3dBA peak=0.001 (11s)
[gen] fold1_room2_mix494 static tier=na crossing noise=59.4dBA peak=0.001 (3s)
[gen] fold1_room2_mix495 walk tier=na horn+backup_beep noise=60.8dBA peak=0.010 (6s)
[gen] fold1_room2_mix496 static tier=na backup_beep noise=42.9dBA peak=0.001 (2s)
[321-704] 175/384 1369s elapsed, 7.82s/clip
[gen] fold1_room2_mix497 walk tier=na bike_bell noise=43.2dBA peak=0.002 (3s)
[gen] fold1_room2_mix498 static tier=na crossing noise=62.3dBA peak=0.001 (4s)
[gen] fold1_room2_mix499 walk tier=na horn noise=63.0dBA peak=0.011 (3s)
[gen] fold1_room2_mix500 static tier=na backup_beep+horn noise=44.9dBA peak=0.007 (6s)
[gen] fold1_room2_mix501 walk tier=na bike_bell noise=61.3dBA peak=0.003 (3s)
[gen] fold1_room2_mix502 static tier=na crossing noise=53.4dBA peak=0.000 (3s)
[gen] fold1_room2_mix503 walk tier=na horn noise=63.8dBA peak=0.100 (3s)
[gen] fold1_room2_mix504 static tier=na backup_beep noise=49.8dBA peak=0.000 (2s)
[gen] fold1_room2_mix505 walk tier=na bike_bell+horn noise=40.5dBA peak=0.034 (19s)
[gen] fold1_room2_mix506 static tier=na crossing noise=61.7dBA peak=0.000 (4s)
[gen] fold1_room2_mix507 walk tier=na horn noise=51.6dBA peak=0.052 (3s)
[gen] fold1_room2_mix508 static tier=na backup_beep noise=61.0dBA peak=0.001 (2s)
[gen] fold1_room2_mix509 walk tier=na bike_bell noise=57.9dBA peak=0.001 (4s)
[gen] fold1_room2_mix510 static tier=na crossing+horn noise=41.1dBA peak=0.005 (7s)
[gen] fold1_room2_mix511 walk tier=na horn noise=63.7dBA peak=0.006 (4s)
[gen] fold1_room2_mix512 static tier=na backup_beep noise=46.3dBA peak=0.001 (3s)
[gen] fold1_room2_mix513 walk tier=na bike_bell noise=41.3dBA peak=0.001 (4s)
[gen] fold1_room2_mix514 static tier=na crossing noise=63.3dBA peak=0.001 (4s)
[gen] fold1_room2_mix515 walk tier=na horn+backup_beep noise=55.0dBA peak=0.003 (5s)
[gen] fold1_room2_mix516 static tier=na backup_beep noise=51.7dBA peak=0.001 (2s)
[gen] fold1_room2_mix517 walk tier=na bike_bell noise=41.2dBA peak=0.002 (13s)
[gen] fold1_room2_mix518 static tier=na crossing noise=48.9dBA peak=0.000 (4s)
[gen] fold1_room2_mix519 walk tier=na horn noise=64.1dBA peak=0.008 (4s)
[gen] fold1_room2_mix520 static tier=na backup_beep+horn noise=49.8dBA peak=0.047 (6s)
[gen] fold1_room2_mix521 walk tier=na bike_bell noise=52.7dBA peak=0.001 (4s)
[321-704] 200/384 1486s elapsed, 7.43s/clip
[gen] fold1_room2_mix522 static tier=na crossing noise=44.9dBA peak=0.000 (4s)
[gen] fold1_room2_mix523 walk tier=na horn noise=63.6dBA peak=0.036 (3s)
[gen] fold1_room2_mix524 static tier=na backup_beep noise=45.6dBA peak=0.000 (3s)
[gen] fold1_room2_mix525 walk tier=na bike_bell+horn noise=49.4dBA peak=0.060 (20s)
[gen] fold1_room2_mix526 static tier=na crossing noise=54.4dBA peak=0.000 (4s)
[gen] fold1_room2_mix527 walk tier=na horn noise=40.7dBA peak=0.013 (3s)
[gen] fold1_room2_mix528 static tier=na backup_beep noise=53.0dBA peak=0.000 (3s)
[gen] fold1_room2_mix529 walk tier=na bike_bell noise=63.3dBA peak=0.003 (26s)
[gen] fold1_room2_mix530 static tier=na crossing+horn noise=61.3dBA peak=0.007 (8s)
[gen] fold1_room2_mix531 walk tier=na horn noise=62.1dBA peak=0.014 (4s)
[gen] fold1_room2_mix532 static tier=na backup_beep noise=57.3dBA peak=0.001 (3s)
[gen] fold1_room2_mix533 walk tier=na bike_bell noise=61.7dBA peak=0.001 (4s)
[gen] fold1_room2_mix534 static tier=na crossing noise=58.5dBA peak=0.002 (5s)
[gen] fold1_room2_mix535 walk tier=na horn+backup_beep noise=53.4dBA peak=0.047 (9s)
[gen] fold1_room2_mix536 static tier=na backup_beep noise=55.1dBA peak=0.001 (4s)
[gen] fold1_room2_mix537 walk tier=na bike_bell noise=58.8dBA peak=0.002 (4s)
[gen] fold1_room2_mix538 static tier=na crossing noise=50.4dBA peak=0.000 (4s)
[gen] fold1_room2_mix539 walk tier=na horn noise=54.4dBA peak=0.084 (4s)
[gen] fold1_room2_mix540 static tier=na backup_beep+horn noise=55.0dBA peak=0.008 (7s)
[gen] fold1_room2_mix541 walk tier=na bike_bell noise=52.7dBA peak=0.001 (4s)
[gen] fold1_room2_mix542 static tier=na crossing noise=55.8dBA peak=0.000 (4s)
[gen] fold1_room2_mix543 walk tier=na horn noise=50.6dBA peak=0.037 (4s)
[gen] fold1_room2_mix544 static tier=na backup_beep noise=56.4dBA peak=0.001 (3s)
[gen] fold1_room2_mix545 walk tier=na bike_bell+horn noise=58.0dBA peak=0.019 (17s)
[gen] fold1_room2_mix546 static tier=na crossing noise=55.3dBA peak=0.001 (4s)
[321-704] 225/384 1643s elapsed, 7.30s/clip
[gen] fold1_room2_mix547 walk tier=na horn noise=53.9dBA peak=0.017 (4s)
[gen] fold1_room2_mix548 static tier=na backup_beep noise=45.7dBA peak=0.000 (2s)
[gen] fold1_room2_mix549 walk tier=na bike_bell noise=42.1dBA peak=0.001 (4s)
[gen] fold1_room2_mix550 static tier=na crossing+horn noise=59.5dBA peak=0.029 (6s)
[gen] fold1_room2_mix551 walk tier=na horn noise=42.1dBA peak=0.009 (4s)
[gen] fold1_room2_mix552 static tier=na backup_beep noise=50.1dBA peak=0.001 (3s)
[gen] fold1_room2_mix553 walk tier=na bike_bell noise=48.9dBA peak=0.001 (4s)
[gen] fold1_room2_mix554 static tier=na crossing noise=57.7dBA peak=0.000 (4s)
[gen] fold1_room2_mix555 walk tier=na horn+backup_beep noise=52.0dBA peak=0.008 (8s)
[gen] fold1_room2_mix556 static tier=na backup_beep noise=61.9dBA peak=0.001 (3s)
[gen] fold1_room2_mix557 walk tier=na bike_bell noise=63.3dBA peak=0.001 (15s)
[gen] fold1_room2_mix558 static tier=na crossing noise=45.3dBA peak=0.001 (4s)
[gen] fold1_room2_mix559 walk tier=na horn noise=63.1dBA peak=0.006 (4s)
[gen] fold1_room2_mix560 static tier=na backup_beep+horn noise=43.7dBA peak=0.009 (6s)
[gen] fold1_room2_mix561 walk tier=na bike_bell noise=55.6dBA peak=0.001 (13s)
[gen] fold1_room2_mix562 static tier=na crossing noise=46.8dBA peak=0.000 (4s)
[gen] fold1_room2_mix563 walk tier=na horn noise=46.6dBA peak=0.049 (4s)
[gen] fold1_room2_mix564 static tier=critical car_drive+siren+siren noise=43.3dBA peak=0.017 (11s)
[gen] fold1_room2_mix565 walk tier=caution car_drive+siren+siren noise=53.8dBA peak=0.094 (13s)
[gen] fold1_room2_mix566 static tier=safe car_drive+siren+siren noise=40.4dBA peak=0.420 (11s)
[gen] fold1_room2_mix567 walk tier=critical car_drive+siren+siren noise=59.5dBA peak=0.082 (14s)
[gen] fold1_room2_mix568 static tier=caution car_drive+siren+siren noise=41.9dBA peak=0.187 (12s)
[gen] fold1_room2_mix569 walk tier=safe car_drive+siren+siren noise=60.7dBA peak=0.023 (12s)
[gen] fold1_room2_mix570 static tier=critical car_drive+siren+siren noise=44.5dBA peak=0.076 (12s)
[gen] fold1_room2_mix571 walk tier=caution car_drive+siren+siren noise=58.2dBA peak=0.199 (11s)
[321-704] 250/384 1830s elapsed, 7.32s/clip
[gen] fold1_room2_mix572 static tier=safe car_drive+siren+siren noise=44.8dBA peak=0.152 (9s)
[gen] fold1_room2_mix573 walk tier=critical car_drive+siren+siren noise=63.7dBA peak=0.020 (12s)
[gen] fold1_room2_mix574 static tier=caution car_drive+siren+siren noise=51.4dBA peak=0.205 (10s)
[gen] fold1_room2_mix575 walk tier=safe car_drive+siren+siren noise=43.4dBA peak=0.113 (11s)
[gen] fold1_room2_mix576 static tier=critical car_drive+siren+siren noise=62.7dBA peak=0.088 (9s)
[gen] fold1_room2_mix577 walk tier=caution car_drive+siren+siren noise=53.6dBA peak=0.080 (11s)
[gen] fold1_room2_mix578 static tier=safe car_drive+siren+siren noise=64.8dBA peak=0.047 (9s)
[gen] fold1_room2_mix579 walk tier=critical car_drive+siren+siren noise=61.0dBA peak=0.063 (10s)
[gen] fold1_room2_mix580 static tier=caution car_drive+siren+siren noise=42.7dBA peak=0.222 (9s)
[gen] fold1_room2_mix581 walk tier=safe car_drive+siren+siren noise=64.9dBA peak=0.180 (13s)
[gen] fold1_room2_mix582 static tier=critical car_drive+siren+siren noise=44.3dBA peak=0.148 (12s)
[gen] fold1_room2_mix583 walk tier=caution car_drive+siren+siren noise=61.4dBA peak=0.038 (10s)
[gen] fold1_room2_mix584 static tier=safe car_drive+siren+siren noise=41.6dBA peak=0.189 (8s)
[gen] fold1_room2_mix585 walk tier=critical car_drive+siren+siren noise=41.2dBA peak=0.461 (10s)
[gen] fold1_room2_mix586 static tier=caution car_drive+siren+siren noise=50.7dBA peak=0.185 (9s)
[gen] fold1_room2_mix587 walk tier=safe car_drive+siren+siren noise=50.6dBA peak=0.249 (11s)
[gen] fold1_room2_mix588 static tier=critical car_drive+siren+siren noise=43.4dBA peak=0.040 (9s)
[gen] fold1_room2_mix589 walk tier=caution car_drive+siren+siren noise=57.8dBA peak=0.156 (13s)
[gen] fold1_room2_mix590 static tier=safe car_drive+siren+siren noise=56.0dBA peak=0.029 (10s)
[gen] fold1_room2_mix591 walk tier=critical car_drive+siren+siren noise=54.6dBA peak=0.216 (15s)
[gen] fold1_room2_mix592 static tier=caution car_drive+siren+siren noise=54.3dBA peak=0.394 (12s)
[gen] fold1_room2_mix593 walk tier=safe car_drive+siren+siren noise=58.8dBA peak=0.282 (10s)
[gen] fold1_room2_mix594 static tier=critical car_drive+siren+siren noise=58.7dBA peak=0.115 (10s)
[gen] fold1_room2_mix595 walk tier=caution car_drive+siren+siren noise=50.6dBA peak=0.181 (11s)
[gen] fold1_room2_mix596 static tier=safe car_drive+siren+siren noise=62.5dBA peak=0.031 (11s)
[321-704] 275/384 2094s elapsed, 7.62s/clip
[gen] fold1_room2_mix597 walk tier=critical car_drive+siren+siren noise=56.8dBA peak=0.264 (10s)
[gen] fold1_room2_mix598 static tier=caution car_drive+siren+siren noise=45.2dBA peak=0.083 (9s)
[gen] fold1_room2_mix599 walk tier=safe car_drive+siren+siren noise=62.5dBA peak=0.432 (10s)
[gen] fold1_room2_mix600 static tier=critical car_drive+siren+siren noise=56.7dBA peak=0.482 (9s)
