car_side,clip_id,danger_tier,motion,n_car,n_warnings,scenario,scene_type,seed,split,w1_class,w1_side,w2_class,w2_side
R,fold30_room1_mix0041,critical,walk,2,1,v11core,arterial,13004189160,fold30,crossing,R,,
,fold30_room1_mix0042,na,static,0,0,v11core,residential,13004293889,fold30,,,,
R,fold30_room1_mix0043,safe,walk,1,1,v11core,residential,13004398618,fold30,crossing,R,,
,fold30_room1_mix0044,na,walk,0,1,v11core,residential,13004503347,fold30,siren,R,,
L,fold30_room1_mix0045,safe,static,2,0,v11core,arterial,13004608076,fold30,,,,
R,fold30_room1_mix0046,critical,static,3,0,v11core,daily,13004712805,fold30,,,,
L,fold30_room1_mix0047,caution,walk,1,1,v11core,residential,13004817534,fold30,siren,R,,
R,fold30_room1_mix0048,safe,walk,1,1,v11core,daily,13004922263,fold30,crossing,R,,
R,fold30_room1_mix0049,caution,walk,2,1,v11core,daily,13005026992,fold30,siren,L,,
R,fold30_room1_mix0050,caution,walk,1,0,v11core,residential,13005131721,fold30,,,,
R,fold30_room1_mix0051,safe,static,1,1,v11core,daily,13005236450,fold30,horn,R,,
L,fold30_room1_mix0052,critical,walk,2,0,v11core,arterial,13005341179,fold30,,,,
L,fold30_room1_mix0053,safe,walk,1,0,v11core,daily,13005445908,fold30,,,,
R,fold30_room1_mix0054,caution,static,2,0,v11core,arterial,13005550637,fold30,,,,
,fold30_room1_mix0055,na,static,0,0,v11core,residential,13005655366,fold30,,,,
R,fold30_room1_mix0056,caution,walk,2,2,v11core,daily,13005760095,fold30,backup_beep,L,bike_bell,L
R,fold30_room1_mix0057,critical,walk,2,2,v11core,daily,13005864824,fold30,backup_beep,R,backup_beep,L
,fold30_room1_mix0058,na,walk,0,1,v11core,residential,13005969553,fold30,siren,R,,
L,fold30_room1_mix0059,caution,static,2,2,v11core,daily,13006074282,fold30,siren,R,crossing,L
R,fold30_room1_mix0060,critical,static,1,0,v11core,daily,13006179011,fold30,,,,
R,fold30_room1_mix0061,safe,static,1,0,v11core,daily,13006283740,fold30,,,,
,fold30_room1_mix0062,na,walk,0,1,v11core,residential,13006388469,fold30,siren,L,,
R,fold30_room1_mix0063,caution,walk,1,1,v11core,daily,13006493198,fold30,bike_bell,L,,
R,fold30_room1_mix0064,caution,walk,1,0,v11core,residential,13006597927,fold30,,,,
R,fold30_room1_mix0065,safe,walk,2,0,v11core,residential,13006702656,fold30,,,,
L,fold30_room1_mix0066,safe,static,2,1,v11core,daily,13006807385,fold30,horn,L,,
R,fold30_room1_mix0067,critical,static,1,0,v11core,residential,13006912114,fold30,,,,
R,fold30_room1_mix0068,safe,static,1,0,v11core,arterial,13007016843,fold30,,,,
R,fold30_room1_mix0069,caution,walk,1,0,v11core,daily,13007121572,fold30,,,,
R,fold30_room1_mix0070,safe,static,2,1,v11core,daily,13007226301,fold30,horn,L,,
L,fold30_room1_mix0071,critical,walk,1,0,v11core,daily,13007331030,fold30,,,,
R,fold30_room1_mix0072,caution,static,2,0,v11core,daily,13007435759,fold30,,,,
R,fold30_room1_mix0073,critical,walk,1,1,v11core,daily,13007540488,fold30,crossing,L,,
,fold30_room1_mix0074,na,static,0,0,v11core,residential,13007645217,fold30,,,,
,fold30_room1_mix0075,na,static,0,1,v11core,residential,13007749946,fold30,crossing,R,,
L,fold30_room1_mix0076,safe,static,2,2,v11core,daily,13007854675,fold30,siren,L,horn,R
L,fold30_room1_mix0077,safe,static,3,1,v11core,daily,13007959404,fold30,horn,R,,
,fold30_room1_mix0078,na,walk,0,0,v11core,residential,13008064133,fold30,,,,
R,fold30_room1_mix0079,safe,walk,1,2,v11core,residential,13008168862,fold30,siren,L,bike_bell,L
R,fold30_room1_mix0080,caution,walk,1,0,v11core,residential,13008273591,fold30,,,,
L,fold30_room1_mix0081,critical,static,1,0,v11core,arterial,13008378320,fold30,,,,
,fold30_room1_mix0082,na,walk,0,1,v11core,residential,13008483049,fold30,horn,L,,
R,fold30_room1_mix0083,critical,walk,1,0,v11core,arterial,13008587778,fold30,,,,
R,fold30_room1_mix0084,caution,static,1,0,v11core,arterial,13008692507,fold30,,,,
,fold30_room1_mix0085,na,walk,0,1,v11core,residential,13008797236,fold30,siren,R,,
L,fold30_room1_mix0086,caution,walk,1,2,v11core,residential,13008901965,fold30,siren,L,backup_beep,L
L,fold30_room1_mix0087,safe,static,1,1,v11core,arterial,13009006694,fold30,horn,R,,
L,fold30_room1_mix0088,safe,walk,2,0,v11core,daily,13009111423,fold30,,,,
L,fold30_room1_mix0089,critical,walk,1,2,v11core,daily,13009216152,fold30,horn,L,backup_beep,L
L,fold30_room1_mix0090,caution,static,1,0,v11core,residential,13009320881,fold30,,,,
,fold30_room1_mix0091,na,static,0,2,v11core,residential,13009425610,fold30,siren,R,horn,R
,fold30_room1_mix0092,na,walk,0,1,v11core,residential,13009530339,fold30,crossing,R,,
,fold30_room1_mix0093,na,static,0,0,v11core,residential,13009635068,fold30,,,,
R,fold30_room1_mix0094,caution,walk,1,1,v11core,residential,13009739797,fold30,bike_bell,R,,
,fold30_room1_mix0095,na,static,0,1,v11core,residential,13009844526,fold30,horn,L,,
L,fold30_room1_mix0096,critical,walk,1,2,v11core,daily,13009949255,fold30,siren,R,horn,L
R,fold30_room1_mix0097,critical,walk,1,0,v11core,daily,13010053984,fold30,,,,
L,fold30_room1_mix0098,critical,static,2,2,v11core,arterial,13010158713,fold30,siren,R,horn,L
R,fold30_room1_mix0099,safe,walk,2,0,v11core,arterial,13010263442,fold30,,,,
L,fold30_room1_mix0100,safe,static,1,1,v11core,residential,13010368171,fold30,backup_beep,L,,
L,fold30_room1_mix0101,critical,walk,1,1,v11core,daily,13010472900,fold30,bike_bell,R,,
R,fold30_room1_mix0102,critical,walk,1,0,v11core,daily,13010577629,fold30,,,,
,fold30_room1_mix0103,na,walk,0,0,v11core,residential,13010682358,fold30,,,,
R,fold30_room1_mix0104,critical,static,1,1,v11core,arterial,13010787087,fold30,backup_beep,L,,
L,fold30_room1_mix0105,critical,static,2,1,v11core,arterial,13010891816,fold30,siren,L,,
L,fold30_room1_mix0106,caution,walk,1,1,v11core,residential,13010996545,fold30,horn,R,,
R,fold30_room1_mix0107,safe,walk,2,1,v11core,daily,13011101274,fold30,crossing,R,,
R,fold30_room1_mix0108,safe,static,2,0,v11core,arterial,13011206003,fold30,,,,
L,fold30_room1_mix0109,critical,walk,1,2,v11core,residential,13011310732,fold30,siren,L,horn,L
R,fold30_room1_mix0110,critical,static,2,1,v11core,arterial,13011415461,fold30,horn,R,,
R,fold30_room1_mix0111,critical,static,2,1,v11core,residential,13011520190,fold30,siren,R,,
,fold30_room1_mix0112,na,static,0,1,v11core,residential,13011624919,fold30,backup_beep,L,,
,fold30_room1_mix0113,na,walk,0,0,v11core,daily,13011729648,fold30,,,,
L,fold30_room1_mix0114,critical,walk,2,1,v11core,arterial,13011834377,fold30,bike_bell,L,,
R,fold30_room1_mix0115,caution,walk,1,0,v11core,daily,13011939106,fold30,,,,
L,fold30_room1_mix0116,caution,walk,1,0,v11core,residential,13012043835,fold30,,,,
,fold30_room1_mix0117,na,static,0,1,v11core,residential,13012148564,fold30,backup_beep,L,,
R,fold30_room1_mix0118,safe,static,2,1,v11core,arterial,13012253293,fold30,horn,L,,
L,fold30_room1_mix0119,critical,static,1,1,v11core,residential,13012358022,fold30,siren,R,,
L,fold30_room1_mix0120,safe,walk,3,0,v11core,arterial,13012462751,fold30,,,,
L,fold30_room1_mix0121,critical,walk,1,0,v11core,residential,13012567480,fold30,,,,
R,fold30_room1_mix0122,critical,walk,1,0,v11core,residential,13012672209,fold30,,,,
L,fold30_room1_mix0123,critical,static,2,1,v11core,daily,13012776938,fold30,horn,R,,
R,fold30_room1_mix0124,critical,walk,1,0,v11core,daily,13012881667,fold30,,,,
R,fold30_room1_mix0125,safe,static,1,0,v11core,arterial,13012986396,fold30,,,,
R,fold30_room1_mix0126,caution,static,1,1,v11core,daily,13013091125,fold30,siren,L,,
L,fold30_room1_mix0127,caution,walk,2,1,v11core,arterial,13013195854,fold30,siren,R,,
R,fold30_room1_mix0128,critical,walk,3,0,v11core,arterial,13013300583,fold30,,,,
L,fold30_room1_mix0129,critical,walk,3,0,v11core,arterial,13013405312,fold30,,,,
L,fold30_room1_mix0130,caution,static,1,0,v11core,daily,13013510041,fold30,,,,
R,fold30_room1_mix0131,caution,static,1,1,v11core,daily,13013614770,fold30,bike_bell,L,,
L,fold30_room1_mix0132,caution,walk,1,1,v11core,daily,13013719499,fold30,crossing,R,,
,fold30_room1_mix0133,na,walk,0,0,v11core,residential,13013824228,fold30,,,,
L,fold30_room1_mix0134,critical,walk,1,0,v11core,daily,13013928957,fold30,,,,
R,fold30_room1_mix0135,caution,static,2,0,v11core,daily,13014033686,fold30,,,,
R,fold30_room1_mix0136,critical,walk,2,2,v11core,arterial,13014138415,fold30,horn,R,backup_beep,L
R,fold30_room1_mix0137,safe,static,1,0,v11core,residential,13014243144,fold30,,,,
R,fold30_room1_mix0138,caution,static,1,0,v11core,daily,13014347873,fold30,,,,
R,fold30_room1_mix0139,critical,static,1,1,v11core,daily,13014452602,fold30,crossing,R,,
R,fold30_room1_mix0140,safe,static,1,0,v11core,residential,13014557331,fold30,,,,
L,fold30_room1_mix0141,safe,walk,3,1,v11core,arterial,13014662060,fold30,bike_bell,R,,
R,fold30_room1_mix0142,critical,walk,3,0,v11core,arterial,13014766789,fold30,,,,
R,fold30_room1_mix0143,safe,static,3,1,v11core,daily,13014871518,fold30,siren,L,,
L,fold30_room1_mix0144,safe,walk,2,0,v11core,daily,13014976247,fold30,,,,
,fold30_room1_mix0145,na,walk,0,0,v11core,daily,13015080976,fold30,,,,
R,fold30_room1_mix0146,safe,static,1,1,v11core,residential,13015185705,fold30,backup_beep,L,,
R,fold30_room1_mix0147,caution,static,1,0,v11core,residential,13015290434,fold30,,,,
,fold30_room1_mix0148,na,static,0,1,v11core,residential,13015395163,fold30,crossing,R,,
L,fold30_room1_mix0149,safe,static,1,0,v11core,daily,13015499892,fold30,,,,
R,fold30_room1_mix0150,caution,static,1,0,v11core,daily,13015604621,fold30,,,,
L,fold30_room1_mix0151,caution,static,3,1,v11core,arterial,13015709350,fold30,siren,R,,
L,fold30_room1_mix0152,safe,walk,1,0,v11core,arterial,13015814079,fold30,,,,
R,fold30_room1_mix0153,caution,static,1,1,v11core,daily,13015918808,fold30,backup_beep,R,,
,fold30_room1_mix0154,na,walk,0,0,v11core,residential,13016023537,fold30,,,,
L,fold30_room1_mix0155,safe,walk,2,1,v11core,arterial,13016128266,fold30,siren,R,,
R,fold30_room1_mix0156,critical,static,2,2,v11core,arterial,13016232995,fold30,siren,R,backup_beep,R
L,fold30_room1_mix0157,safe,walk,2,1,v11core,arterial,13016337724,fold30,backup_beep,R,,
L,fold30_room1_mix0158,safe,static,1,0,v11core,residential,13016442453,fold30,,,,
L,fold30_room1_mix0159,safe,walk,1,0,v11core,daily,13016547182,fold30,,,,
,fold30_room1_mix0160,na,walk,0,1,v11core,residential,13016651911,fold30,siren,L,,
R,fold30_room1_mix0161,critical,walk,1,1,v11core,residential,13016756640,fold30,horn,L,,
R,fold30_room1_mix0162,safe,static,3,1,v11core,arterial,13016861369,fold30,bike_bell,L,,
L,fold30_room1_mix0163,critical,static,3,1,v11core,arterial,13016966098,fold30,backup_beep,L,,
L,fold30_room1_mix0164,critical,static,2,0,v11core,daily,13017070827,fold30,,,,
,fold30_room1_mix0165,na,static,0,2,v11core,daily,13017175556,fold30,siren,L,siren,R
R,fold30_room1_mix0166,safe,walk,3,0,v11core,daily,13017280285,fold30,,,,
R,fold30_room1_mix0167,safe,static,1,1,v11core,residential,13017385014,fold30,bike_bell,L,,
,fold30_room1_mix0168,na,static,0,1,v11core,residential,13017489743,fold30,horn,R,,
R,fold30_room1_mix0169,safe,static,2,0,v11core,arterial,13017594472,fold30,,,,
L,fold30_room1_mix0170,safe,walk,3,0,v11core,arterial,13017699201,fold30,,,,
L,fold30_room1_mix0171,caution,static,2,1,v11core,arterial,13017803930,fold30,crossing,R,,
R,fold30_room1_mix0172,safe,static,1,1,v11core,daily,13017908659,fold30,bike_bell,R,,
R,fold30_room1_mix0173,safe,walk,1,0,v11core,daily,13018013388,fold30,,,,
L,fold30_room1_mix0174,safe,walk,1,1,v11core,daily,13018118117,fold30,siren,R,,
L,fold30_room1_mix0175,critical,static,1,0,v11core,daily,13018222846,fold30,,,,
L,fold30_room1_mix0176,safe,walk,3,1,v11core,arterial,13018327575,fold30,crossing,R,,
R,fold30_room1_mix0177,safe,walk,3,1,v11core,arterial,13018432304,fold30,backup_beep,R,,
L,fold30_room1_mix0178,safe,static,2,1,v11core,arterial,13018537033,fold30,bike_bell,L,,
R,fold30_room1_mix0179,safe,walk,1,0,v11core,residential,13018641762,fold30,,,,
L,fold30_room1_mix0180,critical,static,1,2,v11core,residential,13018746491,fold30,siren,R,backup_beep,R
L,fold30_room1_mix0181,safe,walk,2,2,v11core,residential,13018851220,fold30,backup_beep,R,bike_bell,R
L,fold30_room1_mix0182,critical,walk,2,2,v11core,arterial,13018955949,fold30,siren,L,crossing,L
R,fold30_room1_mix0183,safe,static,2,1,v11core,residential,13019060678,fold30,bike_bell,L,,
R,fold30_room1_mix0184,critical,walk,3,1,v11core,arterial,13019165407,fold30,horn,R,,
L,fold30_room1_mix0185,caution,walk,1,2,v11core,residential,13019270136,fold30,horn,L,backup_beep,L
L,fold30_room1_mix0186,safe,walk,1,2,v11core,daily,13019374865,fold30,bike_bell,R,crossing,L
L,fold30_room1_mix0187,critical,static,1,1,v11core,daily,13019479594,fold30,bike_bell,R,,
,fold30_room1_mix0188,na,walk,0,0,v11core,residential,13019584323,fold30,,,,
R,fold30_room1_mix0189,critical,walk,2,1,v11core,residential,13019689052,fold30,bike_bell,R,,
L,fold30_room1_mix0190,caution,static,1,1,v11core,residential,13019793781,fold30,horn,L,,
R,fold30_room1_mix0191,caution,static,1,0,v11core,arterial,13019898510,fold30,,,,
L,fold30_room1_mix0192,caution,walk,2,1,v11core,daily,13020003239,fold30,siren,L,,
R,fold30_room1_mix0193,safe,walk,1,0,v11core,residential,13020107968,fold30,,,,
,fold30_room1_mix0194,na,walk,0,1,v11core,residential,13020212697,fold30,horn,L,,
R,fold30_room1_mix0195,safe,static,2,0,v11core,daily,13020317426,fold30,,,,
R,fold30_room1_mix0196,caution,static,2,1,v11core,daily,13020422155,fold30,horn,L,,
R,fold30_room1_mix0197,caution,static,1,0,v11core,residential,13020526884,fold30,,,,
R,fold30_room1_mix0198,critical,static,2,2,v11core,daily,13020631613,fold30,backup_beep,L,bike_bell,R
R,fold30_room1_mix0199,caution,walk,1,0,v11core,arterial,13020736342,fold30,,,,
L,fold30_room1_mix0200,critical,walk,3,0,v11core,daily,13020841071,fold30,,,,
R,fold30_room1_mix0201,safe,static,3,0,v11core,arterial,13020945800,fold30,,,,
L,fold30_room1_mix0202,critical,walk,1,0,v11core,residential,13021050529,fold30,,,,
L,fold30_room1_mix0203,critical,walk,2,2,v11core,daily,13021155258,fold30,bike_bell,L,bike_bell,R
,fold30_room1_mix0204,na,walk,0,0,v11core,residential,13021259987,fold30,,,,
L,fold30_room1_mix0205,caution,walk,1,2,v11core,residential,13021364716,fold30,siren,R,siren,L
R,fold30_room1_mix0206,critical,walk,1,1,v11core,residential,13021469445,fold30,backup_beep,R,,
L,fold30_room1_mix0207,caution,walk,1,0,v11core,daily,13021574174,fold30,,,,
R,fold30_room1_mix0208,critical,walk,2,1,v11core,daily,13021678903,fold30,horn,R,,
L,fold30_room1_mix0209,safe,static,2,2,v11core,daily,13021783632,fold30,bike_bell,R,bike_bell,L
L,fold30_room1_mix0210,critical,walk,1,1,v11core,residential,13021888361,fold30,siren,R,,
R,fold30_room1_mix0211,safe,walk,3,0,v11core,arterial,13021993090,fold30,,,,
R,fold30_room1_mix0212,safe,static,2,0,v11core,residential,13022097819,fold30,,,,
L,fold30_room1_mix0213,safe,walk,1,0,v11core,residential,13022202548,fold30,,,,
R,fold30_room1_mix0214,critical,static,1,1,v11core,residential,13022307277,fold30,backup_beep,L,,
L,fold30_room1_mix0215,safe,static,1,0,v11core,residential,13022412006,fold30,,,,
R,fold30_room1_mix0216,caution,walk,3,0,v11core,daily,13022516735,fold30,,,,
R,fold30_room1_mix0217,critical,static,1,0,v11core,arterial,13022621464,fold30,,,,
R,fold30_room1_mix0218,caution,walk,1,1,v11core,arterial,13022726193,fold30,backup_beep,R,,
R,fold30_room1_mix0219,critical,walk,3,0,v11core,arterial,13022830922,fold30,,,,
R,fold30_room1_mix0220,critical,walk,1,1,v11core,residential,13022935651,fold30,bike_bell,L,,
,fold30_room1_mix0221,na,walk,0,0,v11core,residential,13023040380,fold30,,,,
R,fold30_room1_mix0222,caution,static,1,1,v11core,residential,13023145109,fold30,horn,R,,
R,fold30_room1_mix0223,caution,static,2,2,v11core,arterial,13023249838,fold30,bike_bell,L,bike_bell,R
L,fold30_room1_mix0224,safe,walk,2,1,v11core,daily,13023354567,fold30,backup_beep,L,,
L,fold30_room1_mix0225,caution,walk,2,1,v11core,daily,13023459296,fold30,bike_bell,R,,
R,fold30_room1_mix0226,critical,static,1,0,v11core,daily,13023564025,fold30,,,,
R,fold30_room1_mix0227,safe,walk,2,0,v11core,daily,13023668754,fold30,,,,
L,fold30_room1_mix0228,safe,static,1,2,v11core,residential,13023773483,fold30,bike_bell,R,crossing,L
,fold30_room1_mix0229,na,static,0,0,v11core,residential,13023878212,fold30,,,,
,fold30_room1_mix0230,na,walk,0,0,v11core,residential,13023982941,fold30,,,,
L,fold30_room1_mix0231,caution,walk,1,0,v11core,daily,13024087670,fold30,,,,
L,fold30_room1_mix0232,critical,walk,2,0,v11core,residential,13024192399,fold30,,,,
,fold30_room1_mix0233,na,static,0,2,v11core,residential,13024297128,fold30,backup_beep,R,crossing,L
L,fold30_room1_mix0234,caution,walk,1,0,v11core,arterial,13024401857,fold30,,,,
R,fold30_room1_mix0235,safe,static,3,1,v11core,arterial,13024506586,fold30,crossing,R,,
,fold30_room1_mix0236,na,walk,0,1,v11core,residential,13024611315,fold30,crossing,R,,
L,fold30_room1_mix0237,safe,static,1,2,v11core,daily,13024716044,fold30,siren,L,backup_beep,L
L,fold30_room1_mix0238,caution,walk,1,0,v11core,residential,13024820773,fold30,,,,
R,fold30_room1_mix0239,caution,static,2,0,v11core,residential,13024925502,fold30,,,,
R,fold30_room1_mix0240,safe,walk,1,2,v11core,daily,13025030231,fold30,backup_beep,R,crossing,L
,fold30_room1_mix0241,na,static,0,1,v11core,residential,13025134960,fold30,siren,R,,
R,fold30_room1_mix0242,critical,walk,1,2,v11core,residential,13025239689,fold30,horn,R,bike_bell,L
L,fold30_room1_mix0243,caution,walk,3,2,v11core,arterial,13025344418,fold30,backup_beep,R,backup_beep,L
,fold30_room1_mix0244,na,walk,0,1,v11core,residential,13025449147,fold30,bike_bell,R,,
,fold30_room1_mix0245,na,walk,0,0,v11core,residential,13025553876,fold30,,,,
R,fold30_room1_mix0246,critical,static,2,1,v11core,daily,13025658605,fold30,siren,L,,
L,fold30_room1_mix0247,critical,static,3,0,v11core,arterial,13025763334,fold30,,,,
,fold30_room1_mix0248,na,static,0,0,v11core,residential,13025868063,fold30,,,,
L,fold30_room1_mix0249,caution,static,2,0,v11core,daily,13025972792,fold30,,,,
R,fold30_room1_mix0250,critical,walk,1,1,v11core,residential,13026077521,fold30,crossing,L,,
R,fold30_room1_mix0251,critical,static,1,1,v11core,daily,13026182250,fold30,crossing,R,,
L,fold30_room1_mix0252,critical,walk,1,0,v11core,daily,13026286979,fold30,,,,
R,fold30_room1_mix0253,caution,walk,1,0,v11core,daily,13026391708,fold30,,,,
,fold30_room1_mix0254,na,walk,0,1,v11core,residential,13026496437,fold30,backup_beep,R,,
L,fold30_room1_mix0255,safe,static,2,1,v11core,arterial,13026601166,fold30,siren,R,,
L,fold30_room1_mix0256,safe,static,1,0,v11core,daily,13026705895,fold30,,,,
R,fold30_room1_mix0257,critical,walk,1,2,v11core,residential,13026810624,fold30,backup_beep,L,bike_bell,L
,fold30_room1_mix0258,na,static,0,0,v11core,residential,13026915353,fold30,,,,
L,fold30_room1_mix0259,safe,static,1,0,v11core,daily,13027020082,fold30,,,,
L,fold30_room1_mix0260,critical,walk,3,2,v11core,daily,13027124811,fold30,horn,R,bike_bell,L
R,fold30_room1_mix0261,caution,static,2,1,v11core,residential,13027229540,fold30,horn,L,,
R,fold30_room1_mix0262,safe,static,1,0,v11core,residential,13027334269,fold30,,,,
L,fold30_room1_mix0263,caution,static,2,1,v11core,daily,13027438998,fold30,backup_beep,R,,
R,fold30_room1_mix0264,caution,walk,1,1,v11core,residential,13027543727,fold30,horn,R,,
L,fold30_room1_mix0265,caution,static,2,0,v11core,daily,13027648456,fold30,,,,
L,fold30_room1_mix0266,caution,static,3,0,v11core,arterial,13027753185,fold30,,,,
R,fold30_room1_mix0267,safe,static,1,1,v11core,daily,13027857914,fold30,siren,L,,
R,fold30_room1_mix0268,safe,walk,2,1,v11core,daily,13027962643,fold30,backup_beep,L,,
R,fold30_room1_mix0269,caution,static,1,0,v11core,daily,13028067372,fold30,,,,
L,fold30_room1_mix0270,critical,walk,1,1,v11core,arterial,13028172101,fold30,backup_beep,R,,
R,fold30_room1_mix0271,caution,walk,1,1,v11core,daily,13028276830,fold30,siren,L,,
R,fold30_room1_mix0272,safe,static,3,0,v11core,daily,13028381559,fold30,,,,
R,fold30_room1_mix0273,caution,walk,1,0,v11core,daily,13028486288,fold30,,,,
R,fold30_room1_mix0274,caution,static,2,1,v11core,residential,13028591017,fold30,backup_beep,L,,
L,fold30_room1_mix0275,safe,walk,1,1,v11core,daily,13028695746,fold30,siren,R,,
R,fold30_room1_mix0276,safe,walk,1,1,v11core,residential,13028800475,fold30,siren,L,,
R,fold30_room1_mix0277,caution,static,1,2,v11core,residential,13028905204,fold30,horn,R,backup_beep,R
R,fold30_room1_mix0278,critical,static,1,2,v11core,daily,13029009933,fold30,horn,R,crossing,R
L,fold30_room1_mix0279,safe,static,3,1,v11core,arterial,13029114662,fold30,backup_beep,R,,
,fold30_room1_mix0280,na,walk,0,2,v11core,residential,13029219391,fold30,siren,R,horn,R
L,fold30_room1_mix0281,critical,walk,2,0,v11core,residential,13029324120,fold30,,,,
L,fold30_room1_mix0282,safe,walk,2,2,v11core,daily,13029428849,fold30,backup_beep,R,crossing,R
L,fold30_room1_mix0283,safe,walk,1,0,v11core,daily,13029533578,fold30,,,,
R,fold30_room1_mix0284,caution,static,2,1,v11core,arterial,13029638307,fold30,bike_bell,R,,
R,fold30_room1_mix0285,caution,walk,2,0,v11core,arterial,13029743036,fold30,,,,
,fold30_room1_mix0286,na,static,0,0,v11core,residential,13029847765,fold30,,,,
R,fold30_room1_mix0287,critical,static,1,1,v11core,daily,13029952494,fold30,bike_bell,R,,
R,fold30_room1_mix0288,caution,walk,2,1,v11core,arterial,13030057223,fold30,backup_beep,L,,
L,fold30_room1_mix0289,safe,walk,2,2,v11core,daily,13030161952,fold30,siren,L,crossing,L
R,fold30_room1_mix0290,critical,static,2,0,v11core,arterial,13030266681,fold30,,,,
L,fold30_room1_mix0291,critical,walk,1,1,v11core,daily,13030371410,fold30,siren,L,,
,fold30_room1_mix0292,na,static,0,1,v11core,residential,13030476139,fold30,horn,L,,
L,fold30_room1_mix0293,caution,static,2,1,v11core,daily,13030580868,fold30,horn,R,,
,fold30_room1_mix0294,na,walk,0,1,v11core,residential,13030685597,fold30,horn,R,,
R,fold30_room1_mix0295,caution,walk,2,2,v11core,arterial,13030790326,fold30,siren,L,backup_beep,R
L,fold30_room1_mix0296,caution,static,3,1,v11core,arterial,13030895055,fold30,bike_bell,R,,
R,fold30_room1_mix0297,caution,static,3,1,v11core,arterial,13030999784,fold30,crossing,R,,
