clip_id,split,stratum,scene,motion,walk_speed_mps,lam_per_min,n_cars,has_close,close_type,has_bell,has_horn,noise_dba,seed
long_fold40_0055,fold40,mid,arterial_static,static,1.241,4.47,3,0,,1,0,55.9,833413879
long_fold40_0056,fold40,high,residential,static,1.224,0.92,2,0,,0,0,43.1,408486077
long_fold40_0057,fold40,low,arterial_walk,walk,1.23,3.74,5,1,turn_left_across,0,0,62.1,1003079320
long_fold40_0058,fold40,mid,arterial_walk,walk,1.306,5.47,4,0,,0,0,55.8,1967827961
long_fold40_0059,fold40,high,residential,walk,1.078,0.51,1,0,,0,0,45.6,1166959868
long_fold40_0060,fold40,low,arterial_static,static,1.004,2.45,3,0,,0,0,61.2,660772377
long_fold40_0061,fold40,mid,arterial_walk,walk,1.29,5.81,11,0,,0,0,59.6,1506611222
long_fold40_0062,fold40,high,residential,static,1.09,0.7,1,0,,0,0,46.5,1485130097
long_fold40_0063,fold40,low,arterial_static,static,1.212,2.25,3,0,,0,0,58.3,1665245255
long_fold40_0064,fold40,mid,arterial_walk,walk,1.252,5.26,8,1,turn_left_across,0,0,52.6,1572488615
long_fold40_0065,fold40,high,arterial_walk,walk,1.088,11.15,11,0,,0,0,52.4,1907198875
long_fold40_0066,fold40,low,arterial_walk,walk,1.338,3.43,3,0,,0,0,62.6,1170225941
long_fold40_0067,fold40,mid,arterial_walk,walk,1.307,4.91,8,0,,0,0,63.0,1793921135
long_fold40_0068,fold40,high,arterial_walk,walk,1.36,9.59,13,0,,0,0,64.2,1479513451
long_fold40_0069,fold40,low,arterial_walk,walk,1.195,3.91,6,0,,0,0,60.8,1472771752
long_fold40_0070,fold40,mid,arterial_static,static,1.021,6.28,7,0,,0,0,55.4,1217702209
long_fold40_0071,fold40,high,arterial_static,static,1.237,10.47,19,0,,0,0,54.3,295214990
long_fold40_0072,fold40,low,arterial_walk,walk,1.331,3.57,6,1,close_slow_pass,0,0,55.6,32728195
long_fold40_0073,fold40,mid,arterial_static,static,1.218,7.01,9,0,,0,0,64.8,445320253
long_fold40_0074,fold40,high,arterial_static,static,1.316,8.62,6,0,,0,0,52.8,1161267872
long_fold40_0075,fold40,low,arterial_walk,walk,1.173,2.16,0,0,,0,0,64.4,1247813921
long_fold40_0076,fold40,mid,arterial_walk,walk,1.124,6.73,8,0,,0,0,55.5,1504729964
long_fold40_0077,fold40,high,arterial_walk,walk,1.226,9.98,15,0,,1,0,54.7,112605523
long_fold40_0078,fold40,low,residential,static,1.058,0.86,2,1,close_slow_pass,0,0,44.3,1111882125
long_fold40_0079,fold40,mid,arterial_walk,walk,1.227,4.97,8,0,,0,0,56.8,861572533
long_fold40_0080,fold40,high,arterial_static,static,1.24,8.52,17,1,close_slow_pass,0,0,59.8,1760886520
long_fold40_0081,fold40,low,arterial_walk,walk,1.244,2.95,2,0,,0,0,56.7,887025953
long_fold40_0082,fold40,mid,arterial_walk,walk,1.034,4.51,12,1,turn_left_across,0,0,64.3,947053459
long_fold40_0083,fold40,high,arterial_walk,walk,1.318,10.11,12,0,,0,0,58.4,1697923001
long_fold40_0084,fold40,low,arterial_walk,walk,1.161,2.63,6,0,,0,0,53.9,1011372477
long_fold40_0085,fold40,mid,arterial_walk,walk,1.005,7.3,8,1,turn_left_across,0,0,59.5,145438073
long_fold40_0086,fold40,high,arterial_walk,walk,1.164,10.27,12,0,,0,0,56.5,94078146
long_fold40_0087,fold40,low,arterial_walk,walk,1.275,2.67,3,0,,1,0,62.2,2146845208
long_fold40_0088,fold40,mid,arterial_walk,walk,1.107,7.82,11,1,close_slow_pass,0,0,52.2,586155629
long_fold40_0089,fold40,high,arterial_walk,walk,1.318,9.57,15,0,,1,0,61.6,1116804390
long_fold40_0090,fold40,low,arterial_walk,walk,1.32,3.89,9,1,turn_left_across,0,0,62.6,1676837027
long_fold40_0091,fold40,mid,arterial_walk,walk,1.373,4.67,7,0,,0,0,56.8,990064228
long_fold40_0092,fold40,high,arterial_walk,walk,1.025,11.83,11,0,,0,0,59.0,1183909447
long_fold40_0093,fold40,low,arterial_walk,walk,1.156,2.38,2,0,,0,0,63.6,310290968
long_fold40_0094,fold40,mid,arterial_walk,walk,1.148,4.91,10,0,,0,0,57.1,732972103
long_fold40_0095,fold40,high,arterial_walk,walk,1.104,10.69,16,0,,1,0,54.8,2043774517
long_fold40_0096,fold40,low,arterial_walk,walk,1.38,3.73,6,0,,0,0,54.9,1545340486
long_fold40_0097,fold40,mid,arterial_walk,walk,1.379,4.79,4,0,,0,0,53.9,830744276
long_fold40_0098,fold40,high,arterial_walk,walk,1.316,9.36,19,1,close_slow_pass,0,0,56.7,1942578302
long_fold40_0099,fold40,low,arterial_walk,walk,1.364,2.82,5,0,,0,0,58.5,367228555
long_fold40_0100,fold40,mid,arterial_walk,walk,1.066,5.57,12,0,,1,0,64.6,535176844
long_fold40_0101,fold40,high,arterial_static,static,1.02,9.05,12,0,,0,0,52.5,59154763
long_fold40_0102,fold40,low,residential,walk,1.121,0.71,3,0,,0,0,44.5,1282049047
long_fold40_0103,fold40,mid,arterial_static,static,1.031,6.92,6,0,,0,0,52.5,336021949
long_fold40_0104,fold40,high,arterial_walk,walk,1.169,11.07,17,0,,0,0,54.5,1499360421
long_fold40_0105,fold40,low,arterial_walk,walk,1.359,2.83,1,0,,1,0,56.8,1618595772
long_fold40_0106,fold40,mid,arterial_walk,walk,1.119,4.26,5,0,,0,0,64.6,965110183
long_fold40_0107,fold40,high,arterial_walk,walk,1.009,12.0,10,0,,0,0,53.8,1796875243
long_fold40_0108,fold40,low,residential,walk,1.201,0.83,2,1,close_slow_pass,0,0,50.0,1711192382
long_fold40_0109,fold40,mid,arterial_walk,walk,1.339,7.18,15,0,,0,0,59.6,794152364
long_fold40_0110,fold40,high,arterial_static,static,1.354,9.08,11,0,,0,0,57.2,380976717
long_fold40_0111,fold40,low,arterial_static,static,1.269,2.65,4,0,,0,0,59.3,93560690
long_fold40_0112,fold40,mid,arterial_walk,walk,1.098,5.26,7,1,close_slow_pass,0,0,55.2,391981299
long_fold40_0113,fold40,high,arterial_walk,walk,1.15,10.57,16,1,close_slow_pass,0,0,52.3,624144134
long_fold40_0114,fold40,low,arterial_walk,walk,1.05,3.38,5,0,,0,0,61.7,57729260
long_fold40_0115,fold40,mid,residential,walk,1.315,0.54,2,1,close_slow_pass,1,0,48.5,457428783
long_fold40_0116,fold40,high,residential,walk,1.115,0.89,1,0,,0,0,44.7,2012186693
long_fold40_0117,fold40,low,arterial_static,static,1.291,3.69,8,0,,0,0,60.4,2061636561
long_fold40_0118,fold40,mid,arterial_walk,walk,1.232,6.6,9,0,,0,0,57.3,148829562
long_fold40_0119,fold40,high,arterial_walk,walk,1.318,8.0,11,0,,0,0,62.1,1532897706
long_fold40_0120,fold40,low,arterial_walk,walk,1.056,3.9,11,1,close_slow_pass,0,0,63.7,680298116
long_fold40_0121,fold40,mid,arterial_walk,walk,1.393,7.29,7,0,,0,0,60.0,1689281728
long_fold40_0122,fold40,high,arterial_walk,walk,1.155,8.32,17,0,,0,0,56.1,983350118
long_fold40_0123,fold40,low,arterial_walk,walk,1.263,2.42,3,0,,0,0,59.0,328196617
long_fold40_0124,fold40,mid,arterial_walk,walk,1.066,6.7,17,0,,1,0,59.7,938411365
long_fold40_0125,fold40,high,residential,walk,1.198,0.82,2,1,close_slow_pass,0,0,49.4,278927988
long_fold40_0126,fold40,low,arterial_walk,walk,1.298,2.03,3,1,turn_left_across,0,0,52.8,538713920
long_fold40_0127,fold40,mid,arterial_walk,walk,1.163,7.32,14,0,,1,0,54.0,753224210
long_fold40_0128,fold40,high,arterial_walk,walk,1.367,8.4,14,1,turn_left_across,0,0,58.3,930321198
long_fold40_0129,fold40,low,arterial_walk,walk,1.011,3.35,6,1,close_slow_pass,0,0,63.5,767261924
long_fold40_0130,fold40,mid,arterial_walk,walk,1.121,7.99,12,0,,0,0,60.0,1365093728
long_fold40_0131,fold40,high,residential,walk,1.063,0.67,3,1,close_slow_pass,0,0,45.8,111433183
long_fold40_0132,fold40,low,arterial_walk,walk,1.058,3.75,6,1,turn_left_across,0,0,61.6,289568523
long_fold40_0133,fold40,mid,arterial_walk,walk,1.342,6.23,6,1,turn_left_across,0,0,58.1,598913792
long_fold40_0134,fold40,high,arterial_walk,walk,1.288,8.21,14,1,close_slow_pass,0,0,52.6,727159554
long_fold40_0135,fold40,low,arterial_walk,walk,1.163,3.0,3,1,turn_left_across,0,0,59.4,72638093
long_fold40_0136,fold40,mid,arterial_walk,walk,1.281,6.42,8,1,turn_left_across,0,0,56.9,1099536603
long_fold40_0137,fold40,high,residential,walk,1.241,0.51,2,1,close_slow_pass,0,0,43.5,684186218
long_fold40_0138,fold40,low,arterial_walk,walk,1.344,3.02,2,0,,0,0,55.7,974427752
long_fold40_0139,fold40,mid,arterial_walk,walk,1.195,6.09,12,0,,0,0,55.8,297380777
long_fold40_0140,fold40,high,arterial_static,static,1.135,10.9,15,0,,0,0,55.5,1744782956
long_fold40_0141,fold40,low,residential,walk,1.283,0.69,1,0,,0,0,46.7,179315192
long_fold40_0142,fold40,mid,arterial_walk,walk,1.206,7.99,11,0,,0,0,61.1,2113531592
long_fold40_0143,fold40,high,arterial_walk,walk,1.321,9.33,11,0,,0,0,64.3,1287601745
long_fold40_0144,fold40,low,arterial_walk,walk,1.244,3.88,10,1,turn_left_across,0,0,60.6,379197608
long_fold40_0145,fold40,mid,arterial_static,static,1.356,4.76,8,0,,0,0,59.8,1838136074
long_fold40_0146,fold40,high,arterial_walk,walk,1.349,11.84,10,0,,0,0,59.4,1511675064
long_fold40_0147,fold40,low,arterial_static,static,1.021,3.03,7,1,turn_left_across,0,0,64.7,234382597
long_fold40_0148,fold40,mid,arterial_walk,walk,1.027,5.5,10,0,,0,0,59.2,604330607
long_fold40_0149,fold40,high,residential,walk,1.016,0.77,2,1,close_slow_pass,0,0,48.2,59505156
long_fold40_0150,fold40,low,arterial_walk,walk,1.175,3.1,6,0,,0,0,54.4,53749970
long_fold40_0151,fold40,mid,arterial_walk,walk,1.064,5.81,8,1,turn_left_across,0,0,54.7,370930744
long_fold40_0152,fold40,high,arterial_walk,walk,1.152,9.42,19,0,,0,0,55.9,899999049
long_fold40_0153,fold40,low,residential,walk,1.018,0.65,2,1,close_slow_pass,0,0,48.2,776596346
long_fold40_0154,fold40,mid,arterial_static,static,1.144,7.93,6,0,,0,0,53.9,2096795967
long_fold40_0155,fold40,high,arterial_static,static,1.242,9.8,9,0,,1,0,58.9,873264729
long_fold40_0156,fold40,low,arterial_static,static,1.032,3.81,3,1,turn_left_across,0,0,53.5,1186113550
long_fold40_0157,fold40,mid,arterial_walk,walk,1.266,5.85,11,1,close_slow_pass,1,0,63.8,2123593944
long_fold40_0158,fold40,high,arterial_walk,walk,1.083,9.62,12,0,,0,0,53.5,1781049167
long_fold40_0159,fold40,low,arterial_walk,walk,1.221,2.75,0,0,,0,0,55.0,1584655899
long_fold40_0160,fold40,mid,residential,static,1.003,0.59,2,1,close_slow_pass,0,0,42.9,1604809143
long_fold40_0161,fold40,high,arterial_walk,walk,1.129,10.09,13,0,,0,0,56.2,2079207426
long_fold40_0162,fold40,low,arterial_walk,walk,1.286,3.76,5,1,close_slow_pass,0,0,54.0,1787083651
long_fold40_0163,fold40,mid,residential,static,1.08,0.65,3,1,close_slow_pass,1,0,49.0,343826259
long_fold40_0164,fold40,high,arterial_static,static,1.386,9.88,9,0,,0,0,61.7,395928072
long_fold40_0165,fold40,low,arterial_walk,walk,1.233,2.28,7,0,,0,0,59.2,1269301024
long_fold40_0166,fold40,mid,arterial_walk,walk,1.367,5.83,7,0,,0,0,64.2,1617857508
long_fold40_0167,fold40,high,residential,walk,1.163,0.79,3,1,close_slow_pass,1,0,45.9,106216453
long_fold40_0168,fold40,low,residential,walk,1.147,0.52,2,1,close_slow_pass,0,0,45.0,764576132
long_fold40_0169,fold40,mid,arterial_walk,walk,1.379,6.65,8,0,,0,0,59.2,76201374
long_fold40_0170,fold40,high,residential,walk,1.163,0.8,2,1,close_slow_pass,0,0,47.7,2025097064
long_fold40_0171,fold40,low,residential,walk,1.108,0.81,2,1,close_slow_pass,0,0,48.6,1148387849
long_fold40_0172,fold40,mid,arterial_static,static,1.232,7.95,11,0,,1,0,60.0,1029450698
long_fold40_0173,fold40,high,arterial_walk,walk,1.32,11.55,11,0,,0,0,64.9,1856210988
long_fold40_0174,fold40,low,arterial_walk,walk,1.117,2.7,4,0,,0,1,53.7,1179802200
long_fold40_0175,fold40,mid,arterial_walk,walk,1.156,4.51,4,1,close_slow_pass,0,0,54.3,1624547337
long_fold40_0176,fold40,high,arterial_walk,walk,1.254,8.95,13,0,,0,0,64.2,1585224357
long_fold40_0177,fold40,low,arterial_static,static,1.396,2.17,6,1,turn_left_across,0,0,63.1,1097738440
long_fold40_0178,fold40,mid,residential,static,1.031,0.61,1,0,,0,0,48.1,277546609
long_fold40_0179,fold40,high,residential,static,1.181,0.76,2,1,close_slow_pass,0,0,41.3,519331196
long_fold40_0180,fold40,low,arterial_static,static,1.178,2.65,4,0,,0,0,60.6,1665539859
long_fold40_0181,fold40,mid,arterial_walk,walk,1.069,6.68,6,0,,0,0,57.2,1558029449
long_fold40_0182,fold40,high,arterial_walk,walk,1.23,9.59,14,0,,0,0,62.5,1131127592
long_fold40_0183,fold40,low,residential,walk,1.339,0.99,2,0,,0,0,45.7,273139372
long_fold40_0184,fold40,mid,arterial_walk,walk,1.326,5.15,8,0,,0,0,64.8,242759582
long_fold40_0185,fold40,high,arterial_walk,walk,1.13,8.81,11,0,,0,0,58.9,1153715939
long_fold40_0186,fold40,low,arterial_walk,walk,1.318,2.05,6,1,close_slow_pass,1,0,63.8,425771658
long_fold40_0187,fold40,mid,arterial_static,static,1.369,5.69,4,0,,0,0,59.2,1310496528
long_fold40_0188,fold40,high,arterial_static,static,1.136,11.79,10,0,,0,0,56.0,534895283
long_fold40_0189,fold40,low,residential,static,1.301,0.65,2,1,close_slow_pass,0,0,48.8,2018219880
long_fold40_0190,fold40,mid,residential,static,1.1,0.52,1,0,,1,0,44.8,405591753
long_fold40_0191,fold40,high,arterial_walk,walk,1.129,8.49,13,1,turn_left_across,0,0,55.8,711434517
long_fold40_0192,fold40,low,arterial_walk,walk,1.256,3.51,3,0,,0,0,54.7,1225517154
long_fold40_0193,fold40,mid,arterial_walk,walk,1.142,7.59,10,1,turn_left_across,0,0,64.5,1370517474
long_fold40_0194,fold40,high,arterial_walk,walk,1.335,8.5,14,0,,0,0,63.3,614843202
long_fold40_0195,fold40,low,arterial_walk,walk,1.03,2.01,2,0,,0,0,55.4,2037898450
long_fold40_0196,fold40,mid,arterial_walk,walk,1.38,4.93,4,0,,0,0,52.2,1391383304
long_fold40_0197,fold40,high,arterial_static,static,1.278,11.95,12,0,,0,0,58.8,1846772390
long_fold40_0198,fold40,low,residential,walk,1.273,0.87,2,1,close_slow_pass,0,0,47.4,586786601
long_fold40_0199,fold40,mid,residential,walk,1.02,0.59,1,0,,0,0,45.4,950438783
long_fold41_0000,fold41,low,residential,static,1.039,0.92,2,1,close_slow_pass,0,0,42.8,533089182
long_fold41_0001,fold41,mid,arterial_walk,walk,1.048,6.69,13,1,close_slow_pass,0,0,61.3,1567235133
long_fold41_0002,fold41,high,arterial_walk,walk,1.17,8.53,8,0,,0,0,52.3,1525059040
long_fold41_0003,fold41,low,arterial_walk,walk,1.309,3.27,7,0,,1,0,55.8,931224384
long_fold41_0004,fold41,mid,arterial_walk,walk,1.111,7.05,7,0,,0,0,56.5,572944718
long_fold41_0005,fold41,high,residential,walk,1.292,0.53,2,1,close_slow_pass,0,0,44.2,1323975689
long_fold41_0006,fold41,low,arterial_walk,walk,1.314,2.77,5,0,,0,0,55.3,1503548452
long_fold41_0007,fold41,mid,arterial_walk,walk,1.28,6.87,8,0,,0,0,54.5,1507978419
long_fold41_0008,fold41,high,arterial_walk,walk,1.226,11.53,14,0,,0,0,54.5,1624944659
long_fold41_0009,fold41,low,arterial_walk,walk,1.299,2.68,6,0,,0,0,60.7,1473292611
long_fold41_0010,fold41,mid,residential,static,1.08,0.88,1,0,,0,0,44.8,127870476
long_fold41_0011,fold41,high,arterial_walk,walk,1.274,8.23,14,0,,0,0,62.9,707155451
long_fold41_0012,fold41,low,arterial_walk,walk,1.244,3.62,6,1,turn_left_across,0,0,60.7,637589448
long_fold41_0013,fold41,mid,arterial_walk,walk,1.343,6.83,10,1,close_slow_pass,0,0,58.0,604880001
long_fold41_0014,fold41,high,arterial_static,static,1.077,9.85,14,0,,0,0,58.9,746898406
long_fold41_0015,fold41,low,arterial_walk,walk,1.267,3.59,5,0,,0,0,55.4,1020483632
long_fold41_0016,fold41,mid,arterial_walk,walk,1.057,5.57,9,0,,0,0,63.9,1810257129
long_fold41_0017,fold41,high,arterial_walk,walk,1.022,8.08,8,0,,1,0,54.1,191293426
long_fold41_0018,fold41,low,arterial_walk,walk,1.069,2.98,1,0,,0,0,61.0,910014611
long_fold41_0019,fold41,mid,arterial_walk,walk,1.19,4.08,4,0,,1,0,64.3,1334880672
long_fold41_0020,fold41,high,arterial_static,static,1.106,11.18,13,1,close_slow_pass,0,0,62.7,1575548680
long_fold41_0021,fold41,low,arterial_walk,walk,1.179,2.52,5,0,,0,0,53.4,1094100263
long_fold41_0022,fold41,mid,arterial_walk,walk,1.026,4.58,7,1,close_slow_pass,0,0,56.5,402744651
long_fold41_0023,fold41,high,arterial_walk,walk,1.2,9.81,14,0,,0,1,57.5,419503660
long_fold41_0024,fold41,low,residential,static,1.306,0.7,1,0,,0,0,47.3,656891438
long_fold41_0025,fold41,mid,arterial_walk,walk,1.269,7.15,10,0,,0,0,59.9,988955965
long_fold41_0026,fold41,high,residential,walk,1.163,0.61,2,1,close_slow_pass,0,0,47.3,1034475961
long_fold41_0027,fold41,low,arterial_walk,walk,1.03,2.86,7,1,turn_left_across,0,0,54.4,2108028863
long_fold41_0028,fold41,mid,arterial_walk,walk,1.27,4.39,7,0,,0,0,59.4,1973895584
long_fold41_0029,fold41,high,arterial_walk,walk,1.347,10.0,12,0,,0,0,64.3,1721475414
long_fold41_0030,fold41,low,arterial_walk,walk,1.32,2.81,5,0,,0,1,61.1,1865706464
long_fold41_0031,fold41,mid,residential,walk,1.375,0.85,1,0,,0,0,43.1,224160107
long_fold41_0032,fold41,high,arterial_walk,walk,1.286,10.4,13,0,,0,0,60.7,43980065
long_fold41_0033,fold41,low,arterial_static,static,1.145,3.08,8,1,close_slow_pass,1,0,54.8,978372310
long_fold41_0034,fold41,mid,arterial_walk,walk,1.085,4.27,5,0,,0,0,52.8,1274076888
long_fold41_0035,fold41,high,arterial_walk,walk,1.027,11.77,15,0,,0,0,56.5,855187535
long_fold41_0036,fold41,low,arterial_walk,walk,1.281,2.96,3,1,turn_left_across,0,0,54.8,1511119668
long_fold41_0037,fold41,mid,arterial_static,static,1.183,5.73,6,1,close_slow_pass,0,0,53.7,1772218767
long_fold41_0038,fold41,high,arterial_static,static,1.303,8.43,19,1,close_slow_pass,0,0,60.9,1496091
long_fold41_0039,fold41,low,arterial_walk,walk,1.096,2.76,3,0,,0,0,53.8,2076003637
long_fold41_0040,fold41,mid,arterial_walk,walk,1.162,6.48,11,0,,0,0,58.5,1890373849
long_fold41_0041,fold41,high,arterial_walk,walk,1.002,9.98,13,0,,0,0,60.4,1086989139
long_fold41_0042,fold41,low,residential,static,1.12,0.7,3,1,close_slow_pass,0,0,47.2,844963056
long_fold41_0043,fold41,mid,residential,walk,1.058,0.55,1,0,,1,0,44.6,1826782704
long_fold41_0044,fold41,high,arterial_walk,walk,1.042,11.62,17,1,close_slow_pass,1,0,56.6,1394932973
long_fold41_0045,fold41,low,arterial_walk,walk,1.247,3.99,6,0,,0,0,62.8,1842791078
long_fold41_0046,fold41,mid,residential,walk,1.355,0.62,1,0,,1,0,49.0,2006581970
long_fold41_0047,fold41,high,arterial_walk,walk,1.19,9.61,12,0,,0,0,54.0,910273900
long_fold41_0048,fold41,low,arterial_walk,walk,1.146,2.94,6,0,,0,0,52.2,1393347555
long_fold41_0049,fold41,mid,arterial_walk,walk,1.368,4.33,6,1,turn_left_across,0,0,54.1,72924357
long_fold41_0050,fold41,high,arterial_static,static,1.234,11.48,13,0,,0,0,64.8,1800971658
long_fold41_0051,fold41,low,arterial_walk,walk,1.327,2.02,3,0,,0,0,58.2,497991607
long_fold41_0052,fold41,mid,arterial_static,static,1.005,4.83,7,0,,0,1,64.8,1389258426
long_fold41_0053,fold41,high,arterial_walk,walk,1.118,9.15,19,0,,0,0,59.1,1906172085
long_fold41_0054,fold41,low,residential,walk,1.265,0.77,2,0,,0,0,45.4,682764870
long_fold41_0055,fold41,mid,arterial_walk,walk,1.134,5.24,12,0,,0,0,55.2,1993825146
long_fold41_0056,fold41,high,arterial_walk,walk,1.298,10.24,10,0,,0,0,52.8,1609447292
long_fold41_0057,fold41,low,arterial_walk,walk,1.168,2.24,4,0,,0,0,63.9,1343480269
long_fold41_0058,fold41,mid,arterial_walk,walk,1.098,7.66,11,1,turn_left_across,0,0,55.6,1756687049
long_fold41_0059,fold41,high,arterial_walk,walk,1.065,9.03,17,0,,0,0,52.5,975333356
long_fold41_0060,fold41,low,arterial_walk,walk,1.352,3.09,6,1,close_slow_pass,0,0,54.4,1158252866
long_fold41_0061,fold41,mid,arterial_walk,walk,1.035,7.63,7,0,,1,0,53.5,595222488
long_fold41_0062,fold41,high,arterial_walk,walk,1.065,11.67,21,1,close_slow_pass,0,0,62.0,782227692
long_fold41_0063,fold41,low,arterial_static,static,1.003,3.4,6,0,,0,0,55.5,1905835575
long_fold41_0064,fold41,mid,arterial_walk,walk,1.392,6.11,9,0,,0,0,58.7,1912854704
long_fold41_0065,fold41,high,arterial_static,static,1.13,10.73,15,0,,0,0,63.7,475839824
long_fold41_0066,fold41,low,arterial_walk,walk,1.186,2.74,4,0,,0,0,55.2,1318600363
