clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed,scene_type,n_car,rain,rain_rate,rain_dba,grammar,close_slow,cs_cpa_m,cs_speed_kmh,cs_level_adj_db,mic_z,h_copy
fold1_room1_mix0109,fold1,walk,0,,,,,caution,L,v11core,12420025759,daily,1,,,,v16,,,,,2.077,1
fold1_room1_mix0110,fold1,walk,0,,,,,na,,v11core,12420025760,residential,0,,,,v16,,,,,1.601,1
fold1_room1_mix0111,fold1,static,0,,,,,critical,L,v11core,12420025761,daily,1,,,,v16,,,,,1.667,1
fold1_room1_mix0112,fold1,static,0,,,,,critical,L,v11core,12420025762,daily,1,,,,v16,1,1.18,11.1,-8.2,1.915,1
fold1_room1_mix0113,fold1,walk,2,backup_beep,L,backup_beep,R,safe,L,v11core,12420025763,arterial,1,moderate,600,52.9,v16,,,,,1.908,1
fold1_room1_mix0114,fold1,walk,0,,,,,caution,L,v11core,12420025764,residential,1,moderate,600,55.8,v16,,,,,1.803,1
fold1_room1_mix0115,fold1,walk,1,backup_beep,L,,,safe,L,v11core,12420025765,daily,1,,,,v16,,,,,1.950,1
fold1_room1_mix0116,fold1,walk,1,horn,L,,,safe,R,v11core,12420025766,daily,1,,,,v16,,,,,2.000,1
fold1_room1_mix0117,fold1,walk,0,,,,,caution,R,v11core,12420025767,residential,1,,,,v16,,,,,2.012,1
fold1_room1_mix0118,fold1,walk,0,,,,,critical,L,v11core,12420025768,residential,1,,,,v16,,,,,1.581,1
fold1_room1_mix0119,fold1,walk,1,crossing,L,,,caution,L,v11core,12420025769,arterial,2,,,,v16,,,,,1.937,1
fold1_room1_mix0120,fold1,walk,1,backup_beep,R,,,critical,L,v11core,12420025770,daily,2,moderate,600,51.8,v16,1,0.95,9.4,-6.4,1.526,1
fold1_room1_mix0121,fold1,walk,1,crossing,R,,,safe,R,v11core,12420025771,arterial,2,,,,v16,,,,,1.569,1
fold1_room1_mix0122,fold1,walk,1,crossing,L,,,critical,L,v11core,12420025772,arterial,3,,,,v16,,,,,2.077,1
fold1_room1_mix0123,fold1,static,0,,,,,caution,L,v11core,12420025773,daily,2,,,,v16,,,,,1.839,1
fold1_room1_mix0124,fold1,walk,1,crossing,L,,,na,,v11core,12420025774,residential,0,,,,v16,,,,,2.051,1
fold1_room1_mix0125,fold1,walk,0,,,,,safe,L,v11core,12420025775,arterial,3,light,150,48.7,v16,,,,,1.473,1
fold1_room1_mix0126,fold1,static,0,,,,,safe,R,v11core,12420025776,daily,2,,,,v16,,,,,1.472,1
fold1_room1_mix0127,fold1,static,0,,,,,safe,L,v11core,12420025777,daily,2,,,,v16,,,,,1.830,1
fold1_room1_mix0128,fold1,static,0,,,,,na,,v11core,12420025778,residential,0,,,,v16,,,,,1.463,1
fold1_room1_mix0129,fold1,walk,0,,,,,caution,R,v11core,12420025779,residential,1,,,,v16,,,,,1.999,1
fold1_room1_mix0130,fold1,walk,1,siren,L,,,caution,L,v11core,12420025780,daily,3,,,,v16,,,,,1.948,1
fold1_room1_mix0131,fold1,walk,0,,,,,na,,v11core,12420025781,residential,0,,,,v16,,,,,2.053,1
fold1_room1_mix0132,fold1,walk,1,crossing,L,,,na,,v11core,12420025782,residential,0,,,,v16,,,,,1.486,1
fold1_room1_mix0133,fold1,walk,0,,,,,na,,v11core,12420025783,residential,0,,,,v16,,,,,1.874,1
fold1_room1_mix0134,fold1,walk,0,,,,,na,,v11core,12420025784,residential,0,,,,v16,,,,,2.059,1
fold1_room1_mix0135,fold1,walk,0,,,,,critical,R,v11core,12420025785,arterial,1,,,,v16,,,,,2.007,1
fold1_room1_mix0136,fold1,walk,0,,,,,critical,L,v11core,12420025786,daily,3,,,,v16,,,,,1.726,1
fold1_room1_mix0137,fold1,walk,0,,,,,safe,R,v11core,12420025787,residential,1,,,,v16,,,,,1.946,1
fold1_room1_mix0138,fold1,static,0,,,,,critical,R,v11core,12420025788,daily,2,moderate,600,54.3,v16,,,,,1.486,1
fold1_room1_mix0139,fold1,walk,2,backup_beep,R,bike_bell,L,na,,v11core,12420025789,residential,0,,,,v16,,,,,1.655,1
fold1_room1_mix0140,fold1,walk,1,crossing,R,,,caution,R,v11core,12420025790,arterial,2,light,150,49.5,v16,,,,,2.097,1
fold1_room1_mix0141,fold1,walk,0,,,,,critical,R,v11core,12420025791,daily,1,,,,v16,,,,,2.083,1
fold1_room1_mix0142,fold1,static,2,bike_bell,R,crossing,L,critical,L,v11core,12420025792,arterial,2,,,,v16,,,,,1.552,1
fold1_room1_mix0143,fold1,walk,0,,,,,safe,L,v11core,12420025793,daily,1,,,,v16,,,,,2.044,1
fold1_room1_mix0144,fold1,walk,0,,,,,caution,L,v11core,12420025794,daily,1,light,150,45.1,v16,,,,,1.436,1
fold1_room1_mix0145,fold1,walk,0,,,,,critical,L,v11core,12420025795,daily,1,,,,v16,1,1.15,9.8,-7.9,2.043,1
fold1_room1_mix0146,fold1,static,0,,,,,safe,R,v11core,12420025796,arterial,3,,,,v16,,,,,1.423,1
fold1_room1_mix0147,fold1,walk,0,,,,,critical,L,v11core,12420025797,daily,1,,,,v16,,,,,1.745,1
fold1_room1_mix0148,fold1,walk,1,crossing,R,,,caution,R,v11core,12420025798,arterial,3,,,,v16,,,,,1.658,1
fold1_room1_mix0149,fold1,walk,1,horn,L,,,safe,L,v11core,12420025799,residential,1,moderate,600,51.6,v16,,,,,1.637,1
fold1_room1_mix0150,fold1,walk,0,,,,,safe,R,v11core,12420025800,arterial,1,,,,v16,,,,,1.484,1
fold1_room1_mix0151,fold1,static,1,siren,R,,,critical,L,v11core,12420025801,residential,1,,,,v16,,,,,2.096,1
fold1_room1_mix0152,fold1,walk,1,horn,L,,,na,,v11core,12420025802,residential,0,,,,v16,,,,,1.856,1
fold1_room1_mix0153,fold1,walk,0,,,,,safe,R,v11core,12420025803,residential,2,,,,v16,,,,,1.906,1
fold1_room1_mix0154,fold1,walk,0,,,,,caution,R,v11core,12420025804,daily,2,,,,v16,,,,,2.078,1
fold1_room1_mix0155,fold1,walk,0,,,,,safe,L,v11core,12420025805,residential,1,,,,v16,,,,,1.954,1
fold1_room1_mix0156,fold1,walk,1,bike_bell,L,,,critical,L,v11core,12420025806,residential,1,,,,v16,,,,,1.478,1
fold1_room1_mix0157,fold1,static,1,crossing,R,,,na,,v11core,12420025807,residential,0,,,,v16,,,,,1.643,1
fold1_room1_mix0158,fold1,walk,2,bike_bell,L,bike_bell,R,caution,R,v11core,12420025808,daily,2,,,,v16,,,,,1.963,1
fold1_room1_mix0159,fold1,walk,2,horn,L,bike_bell,L,na,,v11core,12420025809,daily,0,,,,v16,,,,,1.664,1
fold1_room1_mix0160,fold1,walk,2,siren,R,backup_beep,R,na,,v11core,12420025810,daily,0,light,150,47.8,v16,,,,,2.050,1
fold1_room1_mix0161,fold1,walk,0,,,,,caution,L,v11core,12420025811,residential,2,,,,v16,,,,,1.879,1
fold1_room1_mix0162,fold1,walk,2,siren,R,backup_beep,L,critical,R,v11core,12420025812,daily,2,light,150,49.5,v16,1,0.93,12.2,-6.8,1.988,1
fold1_room1_mix0163,fold1,static,0,,,,,safe,R,v11core,12420025813,daily,2,,,,v16,,,,,1.537,1
fold1_room1_mix0164,fold1,walk,1,crossing,L,,,na,,v11core,12420025814,residential,0,moderate,600,54.9,v16,,,,,1.559,1
fold1_room1_mix0165,fold1,walk,1,backup_beep,R,,,caution,L,v11core,12420025815,residential,1,,,,v16,,,,,1.853,1
fold1_room1_mix0166,fold1,walk,0,,,,,critical,R,v11core,12420025816,residential,1,moderate,600,52.6,v16,1,1.12,14.9,-7.2,1.468,1
fold1_room1_mix0167,fold1,walk,0,,,,,na,,v11core,12420025817,residential,0,,,,v16,,,,,1.855,1
fold1_room1_mix0168,fold1,walk,1,backup_beep,R,,,caution,L,v11core,12420025818,residential,1,,,,v16,,,,,1.462,1
fold1_room1_mix0169,fold1,walk,1,crossing,L,,,caution,L,v11core,12420025819,residential,1,,,,v16,,,,,1.609,1
fold1_room1_mix0170,fold1,static,1,backup_beep,L,,,critical,R,v11core,12420025820,residential,1,,,,v16,,,,,1.511,1
fold1_room1_mix0171,fold1,walk,0,,,,,caution,R,v11core,12420025821,arterial,3,moderate,600,51.5,v16,,,,,1.694,1
fold1_room1_mix0172,fold1,static,0,,,,,safe,L,v11core,12420025822,daily,1,light,150,46.7,v16,,,,,1.691,1
fold1_room1_mix0173,fold1,walk,0,,,,,safe,L,v11core,12420025823,residential,2,,,,v16,,,,,1.983,1
fold1_room1_mix0174,fold1,walk,1,siren,L,,,critical,L,v11core,12420025824,daily,1,,,,v16,,,,,2.015,1
fold1_room1_mix0175,fold1,static,1,siren,R,,,safe,L,v11core,12420025825,residential,1,,,,v16,,,,,1.647,1
fold1_room1_mix0176,fold1,static,0,,,,,safe,L,v11core,12420025826,daily,1,,,,v16,,,,,1.432,1
fold1_room1_mix0177,fold1,walk,1,bike_bell,L,,,caution,L,v11core,12420025827,daily,3,,,,v16,,,,,1.935,1
fold1_room1_mix0178,fold1,walk,2,siren,L,horn,R,caution,L,v11core,12420025828,residential,1,,,,v16,,,,,1.972,1
fold1_room1_mix0179,fold1,walk,0,,,,,critical,L,v11core,12420025829,residential,1,,,,v16,,,,,1.927,1
fold1_room1_mix0180,fold1,static,2,horn,R,bike_bell,R,safe,R,v11core,12420025830,daily,1,light,150,47.6,v16,,,,,1.975,1
fold1_room1_mix0181,fold1,static,2,bike_bell,L,bike_bell,R,critical,L,v11core,12420025831,arterial,2,,,,v16,,,,,1.533,1
fold1_room1_mix0182,fold1,walk,0,,,,,caution,L,v11core,12420025832,daily,2,,,,v16,,,,,1.649,1
fold1_room1_mix0183,fold1,walk,0,,,,,caution,L,v11core,12420025833,daily,3,,,,v16,,,,,1.841,1
fold1_room1_mix0184,fold1,walk,1,horn,L,,,caution,L,v11core,12420025834,residential,1,light,150,49.1,v16,,,,,2.025,1
fold1_room1_mix0185,fold1,walk,1,backup_beep,R,,,critical,R,v11core,12420025835,residential,1,,,,v16,1,0.87,13.6,-6.3,1.864,1
fold1_room1_mix0186,fold1,static,0,,,,,na,,v11core,12420025836,residential,0,light,150,47.0,v16,,,,,1.495,1
fold1_room1_mix0187,fold1,walk,0,,,,,critical,L,v11core,12420025837,arterial,1,moderate,600,52.4,v16,,,,,2.084,1
fold1_room1_mix0188,fold1,walk,1,horn,L,,,safe,L,v11core,12420025838,arterial,1,,,,v16,,,,,1.958,1
fold1_room1_mix0189,fold1,walk,1,horn,L,,,critical,L,v11core,12420025839,residential,1,,,,v16,,,,,2.050,1
fold1_room1_mix0190,fold1,walk,1,horn,L,,,critical,R,v11core,12420025840,arterial,1,,,,v16,,,,,1.972,1
fold1_room1_mix0191,fold1,walk,0,,,,,caution,L,v11core,12420025841,arterial,2,,,,v16,,,,,1.467,1
fold1_room1_mix0192,fold1,walk,1,horn,L,,,critical,R,v11core,12420025842,arterial,2,,,,v16,,,,,1.846,1
fold1_room1_mix0193,fold1,walk,0,,,,,caution,L,v11core,12420025843,residential,1,,,,v16,,,,,1.406,1
fold1_room1_mix0194,fold1,static,1,crossing,R,,,caution,L,v11core,12420025844,residential,1,light,150,46.2,v16,,,,,1.462,1
fold1_room1_mix0195,fold1,walk,2,backup_beep,R,bike_bell,R,critical,L,v11core,12420025845,residential,1,,,,v16,1,0.69,13.6,-9.1,1.963,1
fold1_room1_mix0196,fold1,walk,0,,,,,critical,R,v11core,12420025846,residential,1,,,,v16,,,,,1.815,1
fold1_room1_mix0197,fold1,static,2,siren,L,bike_bell,R,na,,v11core,12420025847,daily,0,,,,v16,,,,,1.723,1
fold1_room1_mix0198,fold1,walk,1,horn,R,,,safe,L,v11core,12420025848,arterial,1,,,,v16,,,,,1.754,1
fold1_room1_mix0199,fold1,walk,2,backup_beep,L,bike_bell,L,critical,R,v11core,12420025849,daily,1,,,,v16,,,,,1.661,1
fold1_room1_mix0200,fold1,walk,1,backup_beep,L,,,na,,v11core,12420025850,residential,0,light,150,47.1,v16,,,,,1.881,1
fold1_room1_mix0201,fold1,static,0,,,,,critical,L,v11core,12420025851,residential,1,,,,v16,1,0.76,13.2,-9.9,1.724,1
fold1_room1_mix0202,fold1,static,0,,,,,caution,R,v11core,12420025852,residential,1,,,,v16,,,,,2.088,1
fold1_room1_mix0203,fold1,static,1,horn,R,,,safe,R,v11core,12420025853,arterial,3,,,,v16,,,,,1.421,1
fold1_room1_mix0204,fold1,walk,0,,,,,na,,v11core,12420025854,residential,0,,,,v16,,,,,1.466,1
fold1_room1_mix0205,fold1,walk,1,horn,R,,,caution,L,v11core,12420025855,arterial,2,moderate,600,51.2,v16,,,,,1.703,1
fold1_room1_mix0206,fold1,walk,0,,,,,safe,R,v11core,12420025856,daily,1,,,,v16,,,,,2.060,1
fold1_room1_mix0207,fold1,static,0,,,,,caution,L,v11core,12420025857,daily,2,,,,v16,,,,,1.409,1
fold1_room1_mix0208,fold1,static,1,horn,R,,,caution,R,v11core,12420025858,residential,1,,,,v16,,,,,1.675,1
fold1_room1_mix0209,fold1,static,1,siren,L,,,caution,L,v11core,12420025859,arterial,3,,,,v16,,,,,1.632,1
fold1_room1_mix0210,fold1,walk,1,horn,L,,,safe,R,v11core,12420025860,residential,1,,,,v16,,,,,1.759,1
fold1_room1_mix0211,fold1,walk,0,,,,,safe,R,v11core,12420025861,residential,1,,,,v16,,,,,1.854,1
fold1_room1_mix0212,fold1,walk,0,,,,,critical,L,v11core,12420025862,arterial,2,,,,v16,,,,,1.404,1
