name,split,side,offset_m,speed_mps,t_cpa_s,hazard_class,siren_type,gain_db,peak,rms_W,az_med_err,az_max_err,el_med_err,snr_db_target,snr_db_measured,sir_db_target,sir_db_measured,t_on,t_off,az_med_err_noisy,snr_active_med_db,sir_inband_db,sir_fullclip_db,el_bias_med,n_frames,result
fold1_room1_mix011,train,L,10.46,5.23,6.5,backup_beep,-,-4.68,0.1131,0.00903,0.291,1.89,0.179,7.41,7.41,14.81,14.81,2.23,5.945,5.01,11.87,38.04,15.92,-4.2,37,PASS
fold1_room1_mix012,train,L,11.87,9.33,5.61,bike_bell,-,-1.39,0.0587,0.00438,0.348,1.33,0.343,8.76,8.76,11.14,11.14,3.218,9.175,0.87,13.92,26.45,13.15,-3.46,60,PASS
fold1_room1_mix013,train,R,-5.55,13.25,5.19,siren,wail,-4.39,0.1668,0.01859,0.277,1.3,0.333,10.13,10.13,12.7,12.7,4.385,9.629,0.91,14.9,28.11,15.12,-2.45,54,PASS
fold1_room1_mix014,train,R,-9.31,14.84,6.15,horn,-,-1.12,0.1426,0.01364,0.33,4.56,0.227,18.51,18.51,3.3,3.3,3.802,9.414,0.5,23.31,14.44,3.7,-2.21,57,PASS
fold1_room1_mix015,train,R,-14.65,14.54,4.43,backup_beep,-,-4.98,0.0621,0.00793,0.212,3.1,0.383,8.57,8.57,1.14,1.14,1.019,5.54,56.72,9.64,19.58,4.17,-1.85,44,PASS
fold1_room1_mix016,train,R,-13.93,6.08,5.5,bike_bell,-,-0.2,0.0964,0.00316,0.253,0.93,0.358,4.5,4.5,14.05,14.05,5.46,7.869,4.11,12.94,30.02,16.99,-3.9,24,PASS
fold1_room1_mix017,train,L,7.83,6.26,3.67,siren,peepo,-3.68,0.1696,0.02152,0.278,0.7,0.358,14.68,14.68,3.79,3.79,2.704,8.048,0.52,20.86,17.52,5.28,-5.35,54,PASS
fold1_room1_mix018,train,L,8.33,6.19,4.41,horn,-,-2.38,0.1181,0.0076,0.288,1.01,0.2,18.09,18.09,4.97,4.97,0.301,3.076,0.79,22.14,15.79,4.04,-3.45,27,PASS
fold1_room1_mix019,train,L,12.37,11.56,4.85,backup_beep,-,-2.76,0.0538,0.0041,0.333,0.64,0.328,13.6,13.6,2.87,2.87,6.938,9.38,2.09,19.81,27.42,3.12,-1.06,25,PASS
fold1_room1_mix020,train,L,8.19,11.81,3.1,bike_bell,-,-4.62,0.0654,0.00254,0.335,2.13,0.246,8.77,8.77,5.87,5.87,2.584,6.994,6.15,15.17,21.64,8.54,-2.63,45,PASS
fold1_room1_mix021,train,R,-5.23,10.18,6.91,siren,peepo,-5.67,0.2291,0.0183,0.253,0.72,0.225,7.26,7.26,4.72,4.72,5.76,8.582,0.65,13.3,17.32,0.53,-8.06,28,PASS
fold1_room1_mix022,train,R,-11.31,13.99,3.01,horn,-,-1.9,0.2222,0.01061,0.521,4.33,0.22,0.16,0.16,2.34,2.34,1.819,5.317,4.65,3.77,12.48,-4.22,-3.94,35,PASS
fold1_room1_mix023,train,R,-7.82,12.1,4.85,backup_beep,-,-5.75,0.1378,0.00973,0.296,2.29,0.368,5.58,5.58,4.91,4.91,1.096,5.273,10.03,11.73,26.52,6.86,-2.77,41,PASS
fold1_room1_mix024,train,R,-8.89,5.53,4.71,bike_bell,-,-1.43,0.1431,0.00566,0.306,1.15,0.203,9.48,9.48,5.52,5.52,4.207,7.866,1.36,17.84,21.89,8.2,-4.7,37,PASS
fold1_room1_mix025,train,L,4.67,11.96,6.55,siren,wail,-1.35,0.1684,0.00967,0.246,0.73,0.27,0.56,0.56,0.89,0.89,3.386,5.633,3.87,4.28,15.11,4.8,-2.46,22,PASS
fold1_room1_mix026,train,L,13.16,14.3,4.24,horn,-,-5.68,0.0669,0.00559,0.355,3.64,0.314,3.44,3.44,10.53,10.53,3.517,6.325,0.95,6.73,21.75,10.64,-3.96,28,PASS
fold1_room1_mix027,train,L,7.18,14.19,5.96,backup_beep,-,-2.71,0.1199,0.00848,0.35,3.06,0.239,10.84,10.84,12.92,12.92,6.384,9.614,0.84,15.63,30.46,6.19,-1.57,34,PASS
fold1_room1_mix028,train,L,7.22,10.85,3.99,bike_bell,-,-4.94,0.0966,0.00362,0.379,2.44,0.272,14.99,14.99,8.62,8.62,1.11,6.554,2.3,21.41,22.94,11.0,-2.89,54,PASS
fold1_room1_mix029,train,R,-10.12,6.92,4.22,siren,wail,-2.67,0.1366,0.0173,0.215,0.64,0.16,7.49,7.49,14.03,14.03,1.834,4.908,0.31,11.63,27.7,17.11,-4.46,30,PASS
fold1_room1_mix030,train,R,-12.98,9.7,3.67,horn,-,-2.52,0.0521,0.0041,0.246,0.59,0.214,1.81,1.81,8.72,8.72,6.021,9.528,0.8,8.94,19.95,12.19,-1.07,36,PASS
fold1_room1_mix031,train,R,-9.84,8.54,5.43,backup_beep,-,-5.19,0.109,0.01245,0.187,3.08,0.225,14.33,14.33,7.41,7.41,3.008,8.372,6.84,19.84,32.72,9.27,-3.46,54,PASS
fold1_room1_mix032,train,R,-10.05,5.11,4.38,bike_bell,-,-1.47,0.0832,0.00372,0.183,0.49,0.298,14.36,14.36,8.94,8.94,5.162,9.36,1.24,21.11,24.66,6.58,-2.72,42,PASS
fold1_room1_mix033,train,L,9.07,7.27,3.25,siren,peepo,-5.92,0.0752,0.01203,0.228,0.68,0.192,10.14,10.14,14.86,14.86,3.229,9.065,0.34,12.31,26.73,16.81,-2.08,59,PASS
fold1_room1_mix034,train,L,10.55,8.28,5.05,horn,-,-5.35,0.0781,0.0064,0.303,1.58,0.265,6.13,6.13,10.72,10.72,5.424,9.393,0.56,12.15,20.97,10.47,-2.15,40,PASS
fold1_room1_mix035,train,L,9.21,9.87,5.3,backup_beep,-,-5.35,0.1155,0.01027,0.298,2.68,0.209,14.73,14.73,13.59,13.59,0.826,5.524,1.04,21.1,34.8,15.66,-2.54,46,PASS
fold1_room1_mix036,train,L,11.27,12.3,4.64,bike_bell,-,-1.72,0.0783,0.00396,0.365,1.6,0.275,14.17,14.17,14.74,14.74,2.558,5.386,1.56,20.22,31.46,11.65,-4.27,28,PASS
fold1_room1_mix037,train,R,-10.3,7.47,3.95,siren,peepo,-0.01,0.2913,0.02277,0.296,0.62,0.255,1.6,1.6,0.12,0.12,2.014,4.783,5.91,2.68,15.55,4.0,-4.28,27,PASS
fold1_room1_mix038,train,R,-11.39,13.11,6.64,horn,-,-4.18,0.0772,0.00509,0.251,2.79,0.359,0.19,0.19,11.11,11.11,1.198,6.25,0.85,6.38,22.18,13.47,-1.54,49,PASS
fold1_room1_mix039,train,R,-3.75,9.54,3.22,backup_beep,-,-1.76,0.3825,0.03413,0.305,2.79,0.286,19.08,19.08,4.6,4.6,2.207,7.619,3.97,23.21,22.96,4.17,-2.32,55,PASS
fold1_room1_mix040,train,R,-6.91,6.01,4.76,bike_bell,-,-5.19,0.0762,0.00398,0.296,1.7,0.229,11.87,11.87,0.13,0.13,4.19,8.906,22.62,16.4,15.63,2.89,-3.87,48,PASS
fold1_room1_mix041,train,L,7.91,13.93,6.93,siren,wail,-0.25,0.1995,0.02324,0.278,0.93,0.228,12.77,12.77,10.55,10.55,4.885,7.968,0.49,17.72,24.82,13.91,-3.96,30,PASS
fold1_room1_mix042,train,L,3.98,11.53,6.86,horn,-,-5.23,0.0705,0.00469,0.307,0.65,0.317,11.48,11.48,4.15,4.15,2.3,5.898,0.63,16.11,14.6,0.86,-2.63,34,PASS
fold1_room1_mix043,train,L,5.85,6.01,4.98,backup_beep,-,-0.63,0.381,0.03344,0.306,2.7,0.333,1.03,1.03,12.81,12.81,3.553,8.38,4.46,7.43,30.72,15.55,-5.69,48,PASS
fold1_room1_mix044,train,L,6.2,5.33,3.54,bike_bell,-,-2.63,0.1257,0.00729,0.418,2.19,0.171,16.31,16.31,6.64,6.64,2.049,6.332,2.08,22.34,21.96,7.58,-7.17,43,PASS
fold1_room1_mix045,train,R,-6.94,11.41,4.55,siren,wail,-4.79,0.1847,0.01599,0.287,1.39,0.265,3.64,3.64,7.18,7.18,3.915,9.322,0.76,9.89,21.34,6.0,-2.25,56,PASS
fold1_room1_mix046,train,R,-11.4,6.14,5.31,horn,-,-4.72,0.1018,0.00885,0.286,1.73,0.191,0.55,0.55,10.05,10.05,4.616,8.627,0.82,4.33,19.42,2.62,-4.11,40,PASS
fold1_room1_mix047,train,R,-4.71,11.21,5.75,backup_beep,-,-2.88,0.2239,0.02122,0.325,7.35,0.321,10.2,10.2,14.99,14.99,4.372,7.163,24.68,15.56,37.27,18.26,-4.79,28,PASS
fold1_room1_mix048,train,R,-11.36,6.61,3.62,bike_bell,-,-0.43,0.0684,0.00346,0.248,1.13,0.258,4.8,4.8,4.81,4.81,4.582,8.493,0.62,11.43,20.46,5.03,-2.68,40,PASS
fold1_room1_mix049,train,L,5.17,8.65,3.38,siren,peepo,-2.68,0.2773,0.02038,0.248,0.8,0.258,18.39,18.39,2.41,2.41,3.444,6.594,5.58,23.9,16.13,1.24,-3.45,32,PASS
fold1_room1_mix050,train,L,5.59,13.96,3.34,horn,-,-5.86,0.0478,0.00345,0.255,1.83,0.358,2.65,2.65,8.81,8.81,4.216,8.021,0.58,9.23,19.79,10.2,-1.84,39,PASS
fold1_room1_mix051,train,L,3.29,11.53,6.46,backup_beep,-,-3.55,0.1801,0.00784,0.187,0.56,0.303,7.54,7.54,4.61,4.61,1.056,5.504,1.44,10.09,25.77,-3.18,-1.2,43,PASS
fold1_room1_mix052,train,L,10.77,14.79,5.31,bike_bell,-,-2.68,0.0457,0.0023,0.401,0.87,0.237,14.65,14.65,13.75,13.75,5.74,7.876,0.92,19.51,30.63,7.65,-2.11,22,PASS
fold1_room1_mix053,train,R,-9.32,6.53,4.18,siren,peepo,-2.55,0.1617,0.01773,0.29,0.64,0.141,14.23,14.23,2.19,2.19,1.718,4.537,2.85,18.27,16.67,5.94,-4.68,28,PASS
fold1_room1_mix054,train,R,-3.04,10.4,4.16,horn,-,-3.28,0.313,0.02241,0.287,12.25,0.252,8.52,8.52,8.7,8.7,3.502,9.346,2.27,14.53,19.61,10.16,-2.42,60,PASS
fold1_room1_mix055,train,R,-6.69,13.52,6.8,backup_beep,-,-3.91,0.1649,0.0112,0.312,4.93,0.338,2.07,2.07,10.21,10.21,1.756,7.138,12.4,8.37,29.42,12.35,-1.7,52,PASS
fold1_room1_mix056,train,R,-14.61,14.87,4.32,bike_bell,-,-3.76,0.0424,0.00175,0.251,1.26,0.345,15.41,15.41,3.83,3.83,4.332,8.666,155.54,23.41,18.99,4.27,-1.79,45,PASS
fold1_room1_mix057,train,L,10.64,6.81,6.04,siren,wail,-1.82,0.2485,0.0161,0.207,0.66,0.294,0.31,0.31,7.69,7.69,5.599,7.662,0.98,6.41,21.83,4.92,-3.76,21,PASS
fold1_room1_mix058,train,L,5.41,8.71,5.03,horn,-,-0.11,0.2786,0.02497,0.409,2.31,0.227,10.72,10.72,6.69,6.69,3.69,7.777,1.63,12.17,17.88,9.08,-4.1,41,PASS
fold1_room1_mix059,train,L,11.8,11.23,6.2,backup_beep,-,-5.06,0.0317,0.00546,0.251,1.98,0.352,7.97,7.97,9.23,9.23,0.829,5.559,4.0,10.35,28.66,8.53,-1.45,46,PASS
fold1_room1_mix060,train,L,4.49,10.21,5.32,bike_bell,-,-0.57,0.1535,0.00743,0.297,3.32,0.346,13.68,13.68,0.93,0.93,0.459,5.386,9.82,19.72,15.85,3.42,-2.3,48,PASS
fold1_room1_mix061,train,R,-5.66,5.66,5.12,siren,wail,-5.78,0.1219,0.00678,0.265,0.49,0.156,13.51,13.51,3.28,3.28,0.859,3.036,1.96,18.65,14.43,-2.19,-3.5,22,PASS
fold1_room1_mix062,train,R,-11.41,13.66,4.96,horn,-,-5.37,0.0436,0.00288,0.317,0.62,0.237,11.45,11.45,4.65,4.65,1.109,3.816,0.42,18.53,13.09,-2.24,-1.42,26,PASS
fold1_room1_mix063,train,R,-14.71,8.77,3.77,backup_beep,-,-4.41,0.0715,0.00849,0.379,1.69,0.047,6.31,6.31,10.06,10.06,2.629,5.334,4.32,8.83,31.0,12.18,-4.37,27,PASS
fold1_room1_mix064,train,R,-3.52,11.47,3.6,bike_bell,-,-1.62,0.0585,0.00286,0.288,0.72,0.246,17.08,17.08,5.64,5.64,4.616,9.172,4.6,18.3,20.03,8.57,-1.18,47,PASS
fold1_room1_mix065,train,L,5.55,6.83,5.23,siren,peepo,-0.84,0.3405,0.03855,0.253,0.66,0.258,12.36,12.36,6.19,6.19,2.64,7.829,0.61,19.23,19.64,7.55,-4.43,52,PASS
fold1_room1_mix066,train,L,3.42,9.94,5.67,horn,-,-0.0,0.5521,0.03263,0.319,9.32,0.215,13.11,13.11,2.32,2.32,3.199,8.561,1.86,18.96,12.45,4.86,-4.06,53,PASS
fold1_room1_mix067,train,L,3.17,8.32,6.53,backup_beep,-,-4.78,0.1668,0.01518,0.522,2.03,0.341,9.64,9.64,13.98,13.98,6.494,9.045,2.64,12.85,32.7,18.74,-4.25,26,PASS
fold1_room1_mix068,train,L,13.2,8.29,3.84,bike_bell,-,-3.13,0.068,0.00343,0.353,1.86,0.204,11.75,11.75,0.03,0.03,2.41,6.976,3.86,18.75,15.71,-0.6,-3.46,46,PASS
fold1_room1_mix069,train,R,-7.98,6.94,4.49,siren,peepo,-0.63,0.2611,0.02464,0.294,0.71,0.217,5.93,5.93,13.26,13.26,4.357,9.026,0.56,10.6,26.41,15.52,-2.89,47,PASS
fold1_room1_mix070,train,R,-7.35,9.84,4.41,horn,-,-5.96,0.1123,0.00948,0.256,3.83,0.323,3.92,3.92,3.17,3.17,3.78,8.062,6.63,6.0,14.16,4.23,-3.53,44,PASS
fold1_room1_mix071,train,R,-5.08,10.55,4.95,backup_beep,-,-3.59,0.2274,0.01775,0.605,2.89,0.285,4.32,4.32,10.62,10.62,3.509,6.146,20.52,11.5,28.91,14.75,-6.19,26,PASS
fold1_room1_mix072,train,R,-4.72,11.54,3.2,bike_bell,-,-0.37,0.0658,0.00426,0.357,2.81,0.158,19.52,19.52,7.96,7.96,2.755,5.84,4.52,24.39,22.99,11.91,-3.73,31,PASS
fold1_room1_mix073,train,L,6.55,12.34,6.6,siren,wail,-5.14,0.1414,0.01636,0.248,0.92,0.23,12.92,12.92,6.97,6.97,3.341,8.137,1.1,17.23,21.13,8.92,-3.02,47,PASS
fold1_room1_mix074,train,L,11.39,14.94,6.45,horn,-,-1.92,0.0638,0.00355,0.321,1.03,0.41,1.95,1.95,12.57,12.57,2.853,5.133,0.57,8.92,23.51,13.04,-1.72,22,PASS
fold1_room1_mix075,train,L,7.15,9.79,5.84,backup_beep,-,-1.87,0.2153,0.0195,0.29,4.24,0.153,8.24,8.24,7.15,7.15,4.034,7.035,8.18,14.5,25.26,10.67,-6.22,30,PASS
fold1_room1_mix076,train,L,12.58,12.16,4.65,bike_bell,-,-1.43,0.0388,0.00154,0.219,0.74,0.202,4.43,4.43,11.22,11.22,1.402,3.72,0.9,11.11,27.7,5.83,-1.68,23,PASS
fold1_room1_mix077,train,R,-4.8,9.73,6.09,siren,wail,-3.57,0.2169,0.02568,0.25,1.14,0.268,17.88,17.88,12.61,12.61,4.773,8.962,0.36,21.96,27.2,11.8,-4.16,42,PASS
fold1_room1_mix078,train,R,-9.07,14.22,4.64,horn,-,-3.13,0.0959,0.00989,0.451,4.04,0.301,8.89,8.89,9.16,9.16,2.171,5.409,0.99,9.83,20.15,9.85,-4.54,32,PASS
fold1_room1_mix079,train,R,-5.41,12.72,6.99,backup_beep,-,-2.74,0.2521,0.0192,0.218,4.76,0.222,1.04,1.04,14.51,14.51,3.394,9.003,3.86,8.41,34.37,16.24,-2.33,56,PASS
fold1_room1_mix080,train,R,-3.48,10.72,6.78,bike_bell,-,-2.49,0.1249,0.00631,0.321,3.7,0.166,14.7,14.7,2.87,2.87,4.694,8.662,4.62,19.94,18.63,5.2,-5.7,39,PASS
fold1_room1_mix081,train,L,7.31,11.52,5.6,siren,peepo,-4.55,0.2052,0.01632,0.256,0.92,0.286,18.98,18.98,2.25,2.25,2.593,6.62,3.37,24.79,17.33,4.73,-5.15,40,PASS
fold1_room1_mix082,train,L,6.97,7.65,6.19,horn,-,-3.45,0.0976,0.00597,0.325,1.35,0.294,5.47,5.47,9.0,9.0,7.45,9.559,0.72,9.3,18.44,-0.44,-3.17,21,PASS
fold1_room1_mix083,train,L,4.52,6.25,3.24,backup_beep,-,-0.03,0.1153,0.00785,0.203,0.61,0.137,1.78,1.78,1.93,1.93,6.422,9.348,17.79,5.27,23.4,-1.12,-1.75,30,PASS
fold1_room1_mix084,train,L,14.98,11.85,5.41,bike_bell,-,-1.49,0.0363,0.00226,0.342,1.03,0.381,18.02,18.02,6.21,6.21,0.83,5.554,3.48,21.37,21.63,7.6,-1.92,46,PASS
fold1_room1_mix085,train,R,-11.43,6.22,5.84,siren,peepo,-5.53,0.131,0.01374,0.191,0.65,0.144,7.99,7.99,2.72,2.72,4.12,8.837,1.06,12.34,17.5,4.87,-5.11,47,PASS
fold1_room1_mix086,train,R,-13.6,12.54,3.98,horn,-,-3.55,0.0783,0.00804,0.461,2.26,0.169,15.09,15.09,13.59,13.59,2.39,6.029,0.43,19.27,25.13,15.55,-3.49,36,PASS
fold1_room1_mix087,train,R,-12.42,7.58,3.74,backup_beep,-,-0.19,0.2071,0.01501,0.516,1.51,0.212,1.36,1.36,0.44,0.44,3.561,6.466,7.67,4.22,23.95,0.13,-3.73,29,PASS
fold1_room1_mix088,train,R,-11.72,9.32,5.21,bike_bell,-,-4.43,0.0695,0.0032,0.42,1.5,0.265,5.26,5.26,4.3,4.3,2.028,6.933,2.65,12.22,19.76,6.44,-4.06,49,PASS
fold1_room1_mix089,train,L,5.75,7.58,5.6,siren,wail,-3.05,0.2368,0.02549,0.224,0.79,0.312,12.03,12.03,6.38,6.38,1.685,6.304,2.24,17.45,22.04,8.62,-5.23,45,PASS
fold1_room1_mix090,train,L,4.51,6.68,4.77,horn,-,-3.35,0.2584,0.02268,0.394,3.99,0.253,3.96,3.96,3.27,3.27,1.797,7.088,2.67,6.63,14.09,2.9,-4.66,52,PASS
fold1_room1_mix091,train,L,10.66,9.84,3.57,backup_beep,-,-3.48,0.1535,0.01083,0.253,2.06,0.226,0.1,0.1,11.8,11.8,3.147,6.899,7.96,6.76,30.56,12.92,-3.31,38,PASS
fold1_room1_mix092,train,L,10.81,8.9,4.38,bike_bell,-,-0.33,0.0537,0.00217,0.275,1.06,0.306,4.89,4.89,13.35,13.35,1.315,3.77,9.83,12.41,27.76,14.62,-2.44,24,PASS
fold1_room1_mix093,train,R,-6.31,14.05,3.65,siren,wail,-5.2,0.2348,0.01416,0.323,0.91,0.269,17.56,17.56,7.48,7.48,1.834,4.203,0.78,23.34,21.63,2.4,-4.71,23,PASS
fold1_room1_mix094,train,R,-4.04,13.12,6.68,horn,-,-1.1,0.4717,0.01946,0.358,7.8,0.199,2.19,2.19,3.56,3.56,3.828,6.987,3.44,8.18,13.73,-2.72,-2.99,31,PASS
fold1_room1_mix095,train,R,-12.85,7.67,5.72,backup_beep,-,-4.3,0.0421,0.01137,0.362,1.6,0.358,15.85,15.85,14.4,14.4,3.064,7.15,10.98,13.32,36.72,12.76,-2.69,41,PASS
fold1_room1_mix096,train,R,-9.6,11.79,6.87,bike_bell,-,-2.22,0.0448,0.00201,0.278,0.93,0.285,2.88,2.88,4.71,4.71,1.609,6.282,8.56,7.03,20.26,6.61,-2.24,45,PASS
fold1_room1_mix097,train,L,10.54,11.18,3.73,siren,peepo,-0.14,0.526,0.0208,0.28,1.0,0.289,12.8,12.8,4.37,4.37,0.716,4.536,2.24,13.82,17.47,-6.05,-2.8,38,PASS
fold1_room1_mix098,train,L,5.44,13.93,6.93,horn,-,-5.15,0.163,0.00711,0.29,2.92,0.33,7.45,7.45,0.9,0.9,2.977,6.747,0.95,10.07,11.03,2.9,-2.01,37,PASS
fold1_room1_mix099,train,L,13.64,7.19,3.24,backup_beep,-,-0.41,0.087,0.01445,0.319,1.96,0.28,5.83,5.83,10.62,10.62,3.191,8.066,2.52,6.13,27.77,12.66,-2.03,50,PASS
fold1_room1_mix100,train,L,6.71,7.52,6.94,bike_bell,-,-5.01,0.0869,0.00418,0.367,1.73,0.236,1.85,1.85,0.12,0.12,4.034,7.883,44.31,8.58,15.78,2.76,-4.74,38,PASS
fold1_room1_mix101,train,R,-14.08,12.01,6.07,siren,peepo,-1.06,0.0886,0.01278,0.186,0.94,0.351,13.09,13.09,14.73,14.73,3.077,6.246,0.28,14.76,28.07,17.33,-2.94,31,PASS
fold1_room1_mix102,train,R,-12.58,9.24,6.34,horn,-,-5.65,0.0652,0.00791,0.338,2.52,0.168,10.92,10.92,11.22,11.22,4.494,9.491,0.58,15.69,22.53,7.54,-3.49,50,PASS
fold1_room1_mix103,train,R,-9.98,6.1,6.57,backup_beep,-,-4.67,0.2836,0.0112,0.378,1.74,0.3,10.83,10.83,2.11,2.11,4.729,7.019,15.88,14.1,27.53,-3.46,-3.93,22,PASS
fold1_room1_mix104,train,R,-6.7,6.54,4.36,bike_bell,-,-5.7,0.0507,0.00209,0.282,0.84,0.264,1.52,1.52,14.11,14.11,5.287,8.548,1.14,7.6,29.41,16.19,-3.64,33,PASS
fold1_room1_mix105,train,L,11.75,11.73,4.55,siren,wail,-4.16,0.0655,0.01152,0.227,0.65,0.204,13.84,13.84,11.76,11.76,3.566,6.092,0.78,13.96,25.34,8.64,-3.46,26,PASS
fold1_room1_mix106,train,L,11.76,14.95,6.21,horn,-,-5.24,0.0816,0.00645,0.393,2.17,0.252,4.58,4.58,8.8,8.8,4.107,6.902,0.79,9.78,19.09,6.35,-3.05,27,PASS
fold1_room1_mix107,train,L,6.48,7.9,6.06,backup_beep,-,-1.49,0.3753,0.02455,0.374,2.94,0.279,6.58,6.58,0.62,0.62,2.343,6.948,2.37,14.18,19.78,2.78,-3.57,46,PASS
fold1_room1_mix108,train,L,3.19,9.43,4.36,bike_bell,-,-1.67,0.2312,0.0117,0.281,4.27,0.315,9.3,9.3,9.78,9.78,4.018,9.278,4.14,15.02,25.39,10.08,-2.62,54,PASS
fold1_room1_mix109,train,R,-6.06,5.99,3.75,siren,wail,-2.31,0.249,0.03157,0.314,0.68,0.277,11.46,11.46,5.63,5.63,1.905,6.483,1.73,15.73,20.26,7.8,-5.71,46,PASS
fold1_room1_mix110,train,R,-9.44,8.18,5.8,horn,-,-5.93,0.1301,0.00831,0.335,2.67,0.166,13.49,13.49,0.94,0.94,4.635,7.267,2.93,17.38,11.88,-0.42,-4.0,26,PASS
fold1_room1_mix111,train,R,-8.41,5.11,3.01,backup_beep,-,-5.5,0.1453,0.01581,0.293,1.72,0.306,17.52,17.52,1.78,1.78,1.295,6.836,1.8,24.21,19.64,3.71,-6.44,56,PASS
fold1_room1_mix112,train,R,-9.36,5.84,4.17,bike_bell,-,-4.22,0.0836,0.00465,0.32,1.57,0.203,11.13,11.13,14.69,14.69,0.332,6.094,0.57,15.66,29.53,16.84,-3.7,57,PASS
fold1_room1_mix113,train,L,4.98,5.52,3.12,siren,peepo,-5.58,0.0599,0.00676,0.258,0.49,0.326,4.1,4.1,9.21,9.21,5.494,7.697,0.79,4.19,21.57,6.34,-3.23,23,PASS
fold1_room1_mix114,train,L,14.66,13.31,6.53,horn,-,-3.84,0.0724,0.00683,0.34,3.27,0.169,11.35,11.35,5.66,5.66,2.87,7.16,0.86,17.08,16.92,8.33,-2.39,42,PASS
fold1_room1_mix115,train,L,3.3,6.49,3.4,backup_beep,-,-4.93,0.051,0.00582,0.182,0.48,0.377,11.95,11.95,8.02,8.02,5.571,9.583,15.73,11.82,33.55,11.19,-2.64,41,PASS
fold1_room1_mix116,train,L,14.25,6.86,5.07,bike_bell,-,-0.14,0.0892,0.00311,0.273,1.04,0.259,9.11,9.11,8.34,8.34,4.714,7.862,1.24,16.91,24.26,11.85,-4.13,31,PASS
fold1_room1_mix117,train,R,-3.14,8.48,5.23,siren,peepo,-1.64,0.5391,0.04393,0.264,1.22,0.253,0.39,0.39,2.09,2.09,2.309,7.076,3.45,4.44,15.03,5.01,-4.16,47,PASS
fold1_room1_mix118,train,R,-8.98,5.91,6.0,horn,-,-3.65,0.1383,0.01321,0.352,2.31,0.298,1.9,1.9,4.05,4.05,3.669,7.155,0.98,2.04,14.88,7.28,-4.88,35,PASS
fold1_room1_mix119,train,R,-12.44,14.51,6.72,backup_beep,-,-5.83,0.0439,0.0037,0.283,0.76,0.404,18.69,18.69,2.7,2.7,0.419,5.517,0.5,24.83,22.99,-2.17,-1.04,49,PASS
fold1_room1_mix120,train,R,-4.65,7.12,5.86,bike_bell,-,-0.15,0.2025,0.01133,0.463,2.03,0.276,13.94,13.94,9.47,9.47,3.614,7.788,1.18,18.58,24.39,12.53,-4.9,41,PASS
fold1_room1_mix121,train,L,7.34,11.9,4.59,siren,wail,-0.8,0.2838,0.02466,0.248,1.13,0.214,4.1,4.1,12.49,12.49,3.708,7.93,0.71,10.74,27.2,10.79,-3.85,43,PASS
