name,split,side,offset_m,speed_mps,t_cpa_s,siren_type,gain_db,peak,rms_W,az_med_err,az_max_err,el_med_err,snr_db_target,snr_db_measured,sir_db_target,sir_db_measured,t_on,t_off,interferer_source,az_med_err_noisy,n_frames,result
fold2_room1_mix004,val,R,-3.52,11.47,3.6,wail,-1.53,0.0664,0.01058,0.279,0.54,0.249,17.08,17.08,12.82,12.82,4.616,9.172,suv_dirt_road.wav,0.26,47,PASS
fold2_room1_mix005,val,L,5.55,6.83,5.23,peepo,-0.84,0.1914,0.03855,0.253,0.66,0.258,12.36,12.36,12.9,12.9,2.64,7.829,suv_dirt_road.wav,0.3,52,PASS
fold2_room1_mix006,val,R,-3.42,9.94,5.67,peepo,-3.52,0.4806,0.03197,0.263,1.34,0.219,13.11,13.11,0.7,0.7,3.199,8.561,suv_dirt_road.wav,0.48,53,PASS
fold2_room1_mix007,val,L,3.17,8.32,6.53,wail,-4.28,0.2067,0.02384,0.429,1.37,0.232,9.64,9.64,13.57,13.57,6.494,9.045,flying_drone.wav,2.1,26,PASS
fold2_room1_mix008,val,R,-13.2,8.29,3.84,wail,-2.59,0.1153,0.01573,0.239,0.65,0.202,11.75,11.75,3.45,3.45,2.41,6.976,suv_dirt_road.wav,0.48,46,PASS
fold2_room1_mix009,val,L,7.98,6.94,4.49,peepo,-0.63,0.1848,0.02464,0.294,0.71,0.217,5.93,5.93,14.91,14.91,4.357,9.026,flying_drone.wav,0.87,47,PASS
fold2_room1_mix010,val,R,-7.35,9.84,4.41,peepo,-3.26,0.1502,0.01917,0.226,0.75,0.304,3.92,3.92,5.54,5.54,3.78,8.062,suv_dirt_road.wav,1.01,44,PASS
fold2_room1_mix011,val,L,5.08,10.55,4.95,wail,-1.21,0.284,0.03044,0.317,1.11,0.263,4.32,4.32,9.1,9.1,3.509,6.146,flying_drone.wav,2.18,26,PASS
fold2_room1_mix012,val,R,-4.72,11.54,3.2,wail,-3.05,0.1877,0.02351,0.307,1.34,0.167,19.52,19.52,5.65,5.65,2.755,5.84,flying_drone.wav,5.9,31,PASS
fold2_room1_mix013,val,L,6.55,12.34,6.6,peepo,-5.14,0.1057,0.01644,0.248,0.92,0.23,12.92,12.92,13.74,13.74,3.341,8.137,suv_dirt_road.wav,0.29,47,PASS
fold2_room1_mix014,val,R,-11.39,14.94,6.45,peepo,-4.32,0.053,0.00413,0.194,0.49,0.408,1.95,1.95,7.22,7.22,2.853,5.133,flying_drone.wav,8.38,22,PASS
fold2_room1_mix015,val,L,7.15,9.79,5.84,wail,-3.78,0.1311,0.01886,0.288,0.76,0.273,8.24,8.24,13.01,13.01,4.034,7.035,suv_dirt_road.wav,0.35,30,PASS
fold2_room1_mix016,val,R,-12.58,12.16,4.65,wail,-1.19,0.0995,0.00808,0.278,0.53,0.204,4.43,4.43,10.38,10.38,1.402,3.72,flying_drone.wav,1.77,23,PASS
fold2_room1_mix017,val,L,4.8,9.73,6.09,peepo,-3.57,0.2166,0.02577,0.25,1.14,0.268,17.88,17.88,6.67,6.67,4.773,8.962,flying_drone.wav,14.49,42,PASS
fold2_room1_mix018,val,R,-9.07,14.22,4.64,peepo,-3.19,0.1533,0.01477,0.175,1.03,0.305,8.89,8.89,3.15,3.15,2.171,5.409,flying_drone.wav,3.07,32,PASS
fold2_room1_mix019,val,L,5.41,12.72,6.99,wail,-2.25,0.2347,0.02548,0.224,1.13,0.23,1.04,1.04,8.61,8.61,3.394,9.003,flying_drone.wav,7.13,56,PASS
fold2_room1_mix020,val,R,-3.48,10.72,6.78,wail,-5.41,0.1905,0.02423,0.25,1.15,0.17,14.7,14.7,8.9,8.9,4.694,8.662,suv_dirt_road.wav,0.59,39,PASS
