name,split,side,offset_m,speed_mps,t_cpa_s,hazard_class,siren_type,gain_db,peak,rms_W,az_med_err,az_max_err,el_med_err,snr_db_target,snr_db_measured,sir_db_target,sir_db_measured,t_on,t_off,az_med_err_noisy,n_frames,result
fold1_room1_mix019,train,L,12.37,11.56,4.85,backup_beep,-,-2.76,0.0625,0.00444,0.271,0.77,0.299,13.6,13.6,2.87,2.87,6.938,9.38,1.83,25,PASS
fold1_room1_mix020,train,R,-8.19,11.81,3.1,bike_bell,-,-4.62,0.0531,0.00263,0.355,1.93,0.25,8.77,8.77,5.87,5.87,2.584,6.994,11.44,45,PASS
fold1_room1_mix021,train,L,5.23,10.18,6.91,siren,wail,-5.67,0.2336,0.0182,0.254,0.72,0.225,7.26,7.26,4.72,4.72,5.76,8.582,1.64,28,PASS
fold1_room1_mix022,train,R,-11.31,13.99,3.01,horn,-,-1.9,0.2847,0.01076,0.469,4.2,0.208,0.16,0.16,2.34,2.34,1.819,5.317,4.17,35,PASS
fold1_room1_mix023,train,L,7.82,12.1,4.85,backup_beep,-,-5.75,0.1576,0.00989,0.296,3.05,0.375,5.58,5.58,4.91,4.91,1.096,5.273,9.29,41,PASS
fold1_room1_mix024,train,R,-8.89,5.53,4.71,bike_bell,-,-1.43,0.1455,0.00565,0.298,1.26,0.216,9.48,9.48,5.52,5.52,4.207,7.866,8.51,37,PASS
fold1_room1_mix025,train,L,4.67,11.96,6.55,siren,peepo,-1.35,0.1435,0.00968,0.246,0.73,0.27,0.56,0.56,0.89,0.89,3.386,5.633,5.22,22,PASS
fold1_room1_mix026,train,R,-13.16,14.3,4.24,horn,-,-5.68,0.072,0.00586,0.413,4.13,0.31,3.44,3.44,10.53,10.53,3.517,6.325,0.9,28,PASS
fold1_room1_mix027,train,L,7.18,14.19,5.96,backup_beep,-,-2.71,0.1213,0.00782,0.304,2.05,0.232,10.84,10.84,12.92,12.92,6.384,9.614,1.88,34,PASS
fold1_room1_mix028,train,R,-7.22,10.85,3.99,bike_bell,-,-4.94,0.0811,0.00412,0.357,2.21,0.274,14.99,14.99,8.62,8.62,1.11,6.554,3.32,54,PASS
fold1_room1_mix029,train,L,10.12,6.92,4.22,siren,wail,-2.67,0.1487,0.0173,0.215,0.64,0.16,7.49,7.49,14.03,14.03,1.834,4.908,0.44,30,PASS
fold1_room1_mix030,train,R,-12.98,9.7,3.67,horn,-,-2.52,0.066,0.00396,0.212,0.8,0.245,1.81,1.81,8.72,8.72,6.021,9.528,1.25,36,PASS
fold1_room1_mix031,train,L,9.84,8.54,5.43,backup_beep,-,-5.19,0.1277,0.01269,0.364,2.55,0.253,14.33,14.33,7.41,7.41,3.008,8.372,13.56,54,PASS
fold1_room1_mix032,train,R,-10.05,5.11,4.38,bike_bell,-,-1.47,0.0743,0.00378,0.288,0.83,0.292,14.36,14.36,8.94,8.94,5.162,9.36,3.79,42,PASS
fold1_room1_mix033,train,L,9.07,7.27,3.25,siren,peepo,-5.92,0.0761,0.01203,0.228,0.68,0.192,10.14,10.14,14.86,14.86,3.229,9.065,0.34,59,PASS
fold1_room1_mix034,train,R,-10.55,8.28,5.05,horn,-,-5.35,0.1047,0.00644,0.302,1.91,0.268,6.13,6.13,10.72,10.72,5.424,9.393,0.8,40,PASS
fold1_room1_mix035,train,L,9.21,9.87,5.3,backup_beep,-,-5.35,0.1227,0.01055,0.248,2.06,0.215,14.73,14.73,13.59,13.59,0.826,5.524,1.6,46,PASS
fold1_room1_mix036,train,R,-11.27,12.3,4.64,bike_bell,-,-1.72,0.0798,0.00384,0.324,2.05,0.272,14.17,14.17,14.74,14.74,2.558,5.386,6.11,28,PASS
fold1_room1_mix037,train,L,10.3,7.47,3.95,siren,wail,-0.01,0.382,0.02268,0.297,0.62,0.255,1.6,1.6,0.12,0.12,2.014,4.783,1.95,27,PASS
fold1_room1_mix038,train,R,-11.39,13.11,6.64,horn,-,-4.18,0.1001,0.00551,0.279,2.47,0.37,0.19,0.19,11.11,11.11,1.198,6.25,1.81,49,PASS
fold1_room1_mix039,train,L,3.75,9.54,3.22,backup_beep,-,-1.76,0.3122,0.03277,0.305,4.91,0.346,19.08,19.08,4.6,4.6,2.207,7.619,2.12,55,PASS
fold1_room1_mix040,train,R,-6.91,6.01,4.76,bike_bell,-,-5.19,0.1056,0.0046,0.355,1.7,0.236,11.87,11.87,0.13,0.13,4.19,8.906,18.62,48,PASS
fold1_room1_mix041,train,L,7.91,13.93,6.93,siren,peepo,-0.25,0.2847,0.02338,0.287,0.93,0.228,12.77,12.77,10.55,10.55,4.885,7.968,1.37,30,PASS
fold1_room1_mix042,train,R,-3.98,11.53,6.86,horn,-,-5.23,0.0698,0.00462,0.33,0.65,0.322,11.48,11.48,4.15,4.15,2.3,5.898,0.71,34,PASS
fold1_room1_mix043,train,L,5.85,6.01,4.98,backup_beep,-,-0.63,0.4544,0.0321,0.385,1.98,0.291,1.03,1.03,12.81,12.81,3.553,8.38,16.06,48,PASS
fold1_room1_mix044,train,R,-6.2,5.33,3.54,bike_bell,-,-2.63,0.1418,0.00718,0.401,1.36,0.171,16.31,16.31,6.64,6.64,2.049,6.332,6.69,43,PASS
fold1_room1_mix045,train,L,6.94,11.41,4.55,siren,wail,-4.79,0.2139,0.01599,0.287,1.39,0.265,3.64,3.64,7.18,7.18,3.915,9.322,2.89,56,PASS
fold1_room1_mix046,train,R,-11.4,6.14,5.31,horn,-,-4.72,0.134,0.00935,0.248,1.82,0.189,0.55,0.55,10.05,10.05,4.616,8.627,1.52,40,PASS
fold1_room1_mix047,train,L,4.71,11.21,5.75,backup_beep,-,-2.88,0.2465,0.02007,0.353,4.85,0.285,10.2,10.2,14.99,14.99,4.372,7.163,122.31,28,PASS
fold1_room1_mix048,train,R,-11.36,6.61,3.62,bike_bell,-,-0.43,0.0501,0.00319,0.28,1.11,0.255,4.8,4.8,4.81,4.81,4.582,8.493,1.27,40,PASS
fold1_room1_mix049,train,L,5.17,8.65,3.38,siren,peepo,-2.68,0.3801,0.02038,0.248,0.8,0.258,18.39,18.39,2.41,2.41,3.444,6.594,15.04,32,PASS
fold1_room1_mix050,train,R,-5.59,13.96,3.34,horn,-,-5.86,0.0575,0.00363,0.243,0.71,0.344,2.65,2.65,8.81,8.81,4.216,8.021,1.17,39,PASS
fold1_room1_mix051,train,L,3.29,11.53,6.46,backup_beep,-,-3.55,0.168,0.00796,0.191,0.5,0.29,7.54,7.54,4.61,4.61,1.056,5.504,1.41,43,PASS
fold1_room1_mix052,train,R,-10.77,14.79,5.31,bike_bell,-,-2.68,0.0486,0.00212,0.283,1.22,0.228,14.65,14.65,13.75,13.75,5.74,7.876,0.38,22,PASS
fold1_room1_mix053,train,L,9.32,6.53,4.18,siren,wail,-2.55,0.2409,0.01767,0.29,0.64,0.141,14.23,14.23,2.19,2.19,1.718,4.537,1.17,28,PASS
fold1_room1_mix054,train,R,-3.04,10.4,4.16,horn,-,-3.28,0.3484,0.02321,0.323,4.06,0.278,8.52,8.52,8.7,8.7,3.502,9.346,3.75,60,PASS
fold1_room1_mix055,train,L,6.69,13.52,6.8,backup_beep,-,-3.91,0.1788,0.01163,0.305,4.03,0.342,2.07,2.07,10.21,10.21,1.756,7.138,5.29,52,PASS
fold1_room1_mix056,train,R,-14.61,14.87,4.32,bike_bell,-,-3.76,0.0745,0.00216,0.299,1.64,0.345,15.41,15.41,3.83,3.83,4.332,8.666,165.05,45,PASS
fold1_room1_mix057,train,L,10.64,6.81,6.04,siren,peepo,-1.82,0.201,0.01621,0.207,0.66,0.294,0.31,0.31,7.69,7.69,5.599,7.662,1.56,21,PASS
fold1_room1_mix058,train,R,-5.41,8.71,5.03,horn,-,-0.11,0.2806,0.0252,0.424,2.08,0.217,10.72,10.72,6.69,6.69,3.69,7.777,1.88,41,PASS
fold1_room1_mix059,train,L,11.8,11.23,6.2,backup_beep,-,-5.06,0.0536,0.00639,0.379,1.66,0.388,7.97,7.97,9.23,9.23,0.829,5.559,1.38,46,PASS
fold1_room1_mix060,train,R,-4.49,10.21,5.32,bike_bell,-,-0.57,0.1581,0.0057,0.238,2.03,0.356,13.68,13.68,0.93,0.93,0.459,5.386,4.37,48,PASS
fold1_room1_mix061,train,L,5.66,5.66,5.12,siren,wail,-5.78,0.1595,0.00678,0.265,0.49,0.156,13.51,13.51,3.28,3.28,0.859,3.036,0.43,22,PASS
fold1_room1_mix062,train,R,-11.41,13.66,4.96,horn,-,-5.37,0.08,0.00312,0.238,1.19,0.238,11.45,11.45,4.65,4.65,1.109,3.816,0.57,26,PASS
fold1_room1_mix063,train,L,14.71,8.77,3.77,backup_beep,-,-4.41,0.0712,0.00836,0.389,1.37,0.047,6.31,6.31,10.06,10.06,2.629,5.334,1.65,27,PASS
fold1_room1_mix064,train,R,-3.52,11.47,3.6,bike_bell,-,-1.62,0.0343,0.0022,0.296,0.81,0.248,17.08,17.08,5.64,5.64,4.616,9.172,0.89,47,PASS
fold1_room1_mix065,train,L,5.55,6.83,5.23,siren,peepo,-0.84,0.3804,0.03855,0.253,0.66,0.258,12.36,12.36,6.19,6.19,2.64,7.829,0.95,52,PASS
fold1_room1_mix066,train,R,-3.42,9.94,5.67,horn,-,-0.0,0.626,0.03251,0.302,3.95,0.228,13.11,13.11,2.32,2.32,3.199,8.561,1.29,53,PASS
fold1_room1_mix067,train,L,3.17,8.32,6.53,backup_beep,-,-4.78,0.1557,0.01336,0.465,5.7,0.349,9.64,9.64,13.98,13.98,6.494,9.045,32.68,26,PASS
fold1_room1_mix068,train,R,-13.2,8.29,3.84,bike_bell,-,-3.13,0.0796,0.00355,0.377,1.17,0.201,11.75,11.75,0.03,0.03,2.41,6.976,22.25,46,PASS
fold1_room1_mix069,train,L,7.98,6.94,4.49,siren,wail,-0.63,0.1774,0.02461,0.294,0.71,0.217,5.93,5.93,13.26,13.26,4.357,9.026,0.59,47,PASS
fold1_room1_mix070,train,R,-7.35,9.84,4.41,horn,-,-5.96,0.1176,0.00945,0.329,1.56,0.314,3.92,3.92,3.17,3.17,3.78,8.062,6.75,44,PASS
fold1_room1_mix071,train,L,5.08,10.55,4.95,backup_beep,-,-3.59,0.2733,0.01871,0.514,3.01,0.265,4.32,4.32,10.62,10.62,3.509,6.146,3.2,26,PASS
fold1_room1_mix072,train,R,-4.72,11.54,3.2,bike_bell,-,-0.37,0.0744,0.00468,0.421,2.2,0.188,19.52,19.52,7.96,7.96,2.755,5.84,7.12,31,PASS
fold1_room1_mix073,train,L,6.55,12.34,6.6,siren,peepo,-5.14,0.2059,0.01644,0.248,0.92,0.23,12.92,12.92,6.97,6.97,3.341,8.137,3.02,47,PASS
fold1_room1_mix074,train,R,-11.39,14.94,6.45,horn,-,-1.92,0.0774,0.00367,0.283,1.06,0.41,1.95,1.95,12.57,12.57,2.853,5.133,1.22,22,PASS
fold1_room1_mix075,train,L,7.15,9.79,5.84,backup_beep,-,-1.87,0.2397,0.01922,0.288,3.36,0.145,8.24,8.24,7.15,7.15,4.034,7.035,7.27,30,PASS
fold1_room1_mix076,train,R,-12.58,12.16,4.65,bike_bell,-,-1.43,0.0357,0.00148,0.166,0.71,0.188,4.43,4.43,11.22,11.22,1.402,3.72,0.95,23,PASS
fold1_room1_mix077,train,L,4.8,9.73,6.09,siren,wail,-3.57,0.2151,0.02568,0.25,1.14,0.268,17.88,17.88,12.61,12.61,4.773,8.962,0.83,42,PASS
fold1_room1_mix078,train,R,-9.07,14.22,4.64,horn,-,-3.13,0.1139,0.01032,0.454,2.29,0.318,8.89,8.89,9.16,9.16,2.171,5.409,1.06,32,PASS
fold1_room1_mix079,train,L,5.41,12.72,6.99,backup_beep,-,-2.74,0.268,0.0201,0.271,2.16,0.237,1.04,1.04,14.51,14.51,3.394,9.003,16.04,56,PASS
fold1_room1_mix080,train,R,-3.48,10.72,6.78,bike_bell,-,-2.49,0.2213,0.00883,0.369,3.95,0.165,14.7,14.7,2.87,2.87,4.694,8.662,117.98,39,PASS
fold1_room1_mix081,train,L,7.31,11.52,5.6,siren,peepo,-4.55,0.2327,0.01632,0.256,0.92,0.286,18.98,18.98,2.25,2.25,2.593,6.62,6.62,40,PASS
fold1_room1_mix082,train,R,-6.97,7.65,6.19,horn,-,-3.45,0.1218,0.0061,0.33,0.91,0.314,5.47,5.47,9.0,9.0,7.45,9.559,0.77,21,PASS
fold1_room1_mix083,train,L,4.52,6.25,3.24,backup_beep,-,-0.03,0.1143,0.00786,0.193,0.48,0.145,1.78,1.78,1.93,1.93,6.422,9.348,48.62,30,PASS
fold1_room1_mix084,train,R,-14.98,11.85,5.41,bike_bell,-,-1.49,0.0324,0.00262,0.243,1.09,0.379,18.02,18.02,6.21,6.21,0.83,5.554,1.8,46,PASS
fold1_room1_mix085,train,L,11.43,6.22,5.84,siren,wail,-5.53,0.1588,0.01369,0.192,0.65,0.144,7.99,7.99,2.72,2.72,4.12,8.837,3.42,47,PASS
fold1_room1_mix086,train,R,-13.6,12.54,3.98,horn,-,-3.55,0.0793,0.00803,0.576,3.1,0.176,15.09,15.09,13.59,13.59,2.39,6.029,0.68,36,PASS
fold1_room1_mix087,train,L,12.42,7.58,3.74,backup_beep,-,-0.19,0.1908,0.01429,0.294,0.79,0.267,1.36,1.36,0.44,0.44,3.561,6.466,45.86,29,PASS
fold1_room1_mix088,train,R,-11.72,9.32,5.21,bike_bell,-,-4.43,0.0707,0.00327,0.419,1.26,0.271,5.26,5.26,4.3,4.3,2.028,6.933,6.07,49,PASS
fold1_room1_mix089,train,L,5.75,7.58,5.6,siren,peepo,-3.05,0.2332,0.02549,0.224,0.79,0.312,12.03,12.03,6.38,6.38,1.685,6.304,4.59,45,PASS
fold1_room1_mix090,train,R,-4.51,6.68,4.77,horn,-,-3.35,0.2315,0.02001,0.315,2.2,0.239,3.96,3.96,3.27,3.27,1.797,7.088,2.49,52,PASS
fold1_room1_mix091,train,L,10.66,9.84,3.57,backup_beep,-,-3.48,0.2168,0.01165,0.309,2.61,0.258,0.1,0.1,11.8,11.8,3.147,6.899,18.79,38,PASS
fold1_room1_mix092,train,R,-10.81,8.9,4.38,bike_bell,-,-0.33,0.0644,0.00252,0.174,0.99,0.311,4.89,4.89,13.35,13.35,1.315,3.77,3.45,24,PASS
fold1_room1_mix093,train,L,6.31,14.05,3.65,siren,wail,-5.2,0.3265,0.01416,0.323,0.91,0.269,17.56,17.56,7.48,7.48,1.834,4.203,1.65,23,PASS
fold1_room1_mix094,train,R,-4.04,13.12,6.68,horn,-,-1.1,0.6561,0.02021,0.317,3.71,0.246,2.19,2.19,3.56,3.56,3.828,6.987,4.59,31,PASS
fold1_room1_mix095,train,L,12.85,7.67,5.72,backup_beep,-,-4.3,0.0352,0.01093,0.394,1.47,0.393,15.85,15.85,14.4,14.4,3.064,7.15,1.84,41,PASS
fold1_room1_mix096,train,R,-9.6,11.79,6.87,bike_bell,-,-2.22,0.0364,0.00238,0.3,0.86,0.287,2.88,2.88,4.71,4.71,1.609,6.282,19.47,45,PASS
fold1_room1_mix097,train,L,10.54,11.18,3.73,siren,peepo,-0.14,0.5059,0.0208,0.28,1.0,0.289,12.8,12.8,4.37,4.37,0.716,4.536,1.97,38,PASS
fold1_room1_mix098,train,R,-5.44,13.93,6.93,horn,-,-5.15,0.1637,0.00723,0.288,2.92,0.332,7.45,7.45,0.9,0.9,2.977,6.747,1.98,37,PASS
fold1_room1_mix099,train,L,13.64,7.19,3.24,backup_beep,-,-0.41,0.0741,0.01468,0.291,1.11,0.273,5.83,5.83,10.62,10.62,3.191,8.066,6.01,50,PASS
fold1_room1_mix100,train,R,-6.71,7.52,6.94,bike_bell,-,-5.01,0.0698,0.00421,0.407,1.78,0.24,1.85,1.85,0.12,0.12,4.034,7.883,33.55,38,PASS
fold1_room1_mix101,train,L,14.08,12.01,6.07,siren,wail,-1.06,0.0611,0.01279,0.186,0.94,0.351,13.09,13.09,14.73,14.73,3.077,6.246,0.16,31,PASS
fold1_room1_mix102,train,R,-12.58,9.24,6.34,horn,-,-5.65,0.0663,0.00724,0.407,2.83,0.163,10.92,10.92,11.22,11.22,4.494,9.491,0.79,50,PASS
fold1_room1_mix103,train,L,9.98,6.1,6.57,backup_beep,-,-4.67,0.2608,0.01004,0.369,1.19,0.229,10.83,10.83,2.11,2.11,4.729,7.019,37.56,22,PASS
fold1_room1_mix104,train,R,-6.7,6.54,4.36,bike_bell,-,-5.7,0.0602,0.0021,0.249,0.74,0.263,1.52,1.52,14.11,14.11,5.287,8.548,1.71,33,PASS
fold1_room1_mix105,train,L,11.75,11.73,4.55,siren,peepo,-4.16,0.0664,0.01152,0.228,0.65,0.204,13.84,13.84,11.76,11.76,3.566,6.092,0.6,26,PASS
fold1_room1_mix106,train,R,-11.76,14.95,6.21,horn,-,-5.24,0.0943,0.00632,0.415,4.04,0.239,4.58,4.58,8.8,8.8,4.107,6.902,1.1,27,PASS
fold1_room1_mix107,train,L,6.48,7.9,6.06,backup_beep,-,-1.49,0.5224,0.02327,0.264,2.62,0.194,6.58,6.58,0.62,0.62,2.343,6.948,150.43,46,PASS
fold1_room1_mix108,train,R,-3.19,9.43,4.36,bike_bell,-,-1.67,0.3437,0.01172,0.353,3.75,0.316,9.3,9.3,9.78,9.78,4.018,9.278,4.04,54,PASS
fold1_room1_mix109,train,L,6.06,5.99,3.75,siren,wail,-2.31,0.2942,0.03157,0.314,0.68,0.277,11.46,11.46,5.63,5.63,1.905,6.483,1.13,46,PASS
fold1_room1_mix110,train,R,-9.44,8.18,5.8,horn,-,-5.93,0.1263,0.00844,0.516,3.23,0.169,13.49,13.49,0.94,0.94,4.635,7.267,3.53,26,PASS
fold1_room1_mix111,train,L,8.41,5.11,3.01,backup_beep,-,-5.5,0.204,0.01552,0.337,1.89,0.294,17.52,17.52,1.78,1.78,1.295,6.836,13.91,56,PASS
fold1_room1_mix112,train,R,-9.36,5.84,4.17,bike_bell,-,-4.22,0.0704,0.00452,0.388,1.15,0.198,11.13,11.13,14.69,14.69,0.332,6.094,0.96,57,PASS
fold1_room1_mix113,train,L,4.98,5.52,3.12,siren,peepo,-5.58,0.0647,0.00676,0.258,0.49,0.326,4.1,4.1,9.21,9.21,5.494,7.697,0.6,23,PASS
fold1_room1_mix114,train,R,-14.66,13.31,6.53,horn,-,-3.84,0.0831,0.00669,0.364,3.51,0.165,11.35,11.35,5.66,5.66,2.87,7.16,2.22,42,PASS
fold1_room1_mix115,train,L,3.3,6.49,3.4,backup_beep,-,-4.93,0.0303,0.00612,0.182,0.48,0.377,11.95,11.95,8.02,8.02,5.571,9.583,3.33,41,PASS
fold1_room1_mix116,train,R,-14.25,6.86,5.07,bike_bell,-,-0.14,0.086,0.00338,0.358,0.98,0.261,9.11,9.11,8.34,8.34,4.714,7.862,15.41,31,PASS
fold1_room1_mix117,train,L,3.14,8.48,5.23,siren,wail,-1.64,0.6402,0.04394,0.264,1.22,0.253,0.39,0.39,2.09,2.09,2.309,7.076,5.38,47,PASS
fold1_room1_mix118,train,R,-8.98,5.91,6.0,horn,-,-3.65,0.1468,0.0129,0.38,1.99,0.272,1.9,1.9,4.05,4.05,3.669,7.155,1.14,35,PASS
fold1_room1_mix119,train,L,12.44,14.51,6.72,backup_beep,-,-5.83,0.0515,0.0038,0.317,0.95,0.389,18.69,18.69,2.7,2.7,0.419,5.517,4.14,49,PASS
fold1_room1_mix120,train,R,-4.65,7.12,5.86,bike_bell,-,-0.15,0.1351,0.01036,0.47,2.12,0.272,13.94,13.94,9.47,9.47,3.614,7.788,1.01,41,PASS
fold1_room1_mix121,train,L,7.34,11.9,4.59,siren,peepo,-0.8,0.2915,0.02466,0.248,1.13,0.214,4.1,4.1,12.49,12.49,3.708,7.93,1.17,43,PASS
fold1_room1_mix122,train,R,-7.94,6.76,3.73,horn,-,-0.71,0.1733,0.01272,0.3,1.33,0.216,3.1,3.1,6.72,6.72,4.284,8.822,1.64,46,PASS
fold1_room1_mix123,train,L,9.14,9.27,3.96,backup_beep,-,-4.46,0.041,0.00706,0.309,0.6,0.173,10.88,10.88,12.83,12.83,5.06,8.907,2.42,39,PASS
fold1_room1_mix124,train,R,-10.34,14.14,6.09,bike_bell,-,-1.27,0.067,0.00377,0.347,2.07,0.207,17.82,17.82,12.24,12.24,3.337,6.509,1.93,30,PASS
fold1_room1_mix125,train,L,5.63,7.18,6.97,siren,wail,-4.33,0.1397,0.01282,0.242,1.44,0.178,17.19,17.19,6.61,6.61,0.704,6.24,3.68,55,PASS
fold1_room1_mix126,train,R,-4.98,14.38,3.8,horn,-,-3.31,0.055,0.00349,0.214,0.72,0.375,13.79,13.79,14.62,14.62,5.195,7.508,0.47,24,PASS
fold1_room1_mix127,train,L,6.77,14.58,3.33,backup_beep,-,-3.8,0.1694,0.01528,0.324,5.2,0.208,9.56,9.56,1.11,1.11,1.451,6.98,24.98,56,PASS
fold1_room1_mix128,train,R,-14.51,11.81,4.48,bike_bell,-,-2.6,0.0737,0.00319,0.3,1.48,0.362,15.24,15.24,13.39,13.39,3.812,9.643,1.65,59,PASS
fold1_room1_mix129,train,L,10.57,8.64,6.97,siren,peepo,-3.23,0.1407,0.01782,0.23,0.65,0.227,7.85,7.85,5.07,5.07,3.871,9.205,2.09,53,PASS
fold1_room1_mix130,train,R,-10.51,9.28,4.01,horn,-,-5.9,0.0647,0.00843,0.389,3.82,0.347,10.89,10.89,11.48,11.48,2.986,8.284,1.05,54,PASS
fold1_room1_mix131,train,L,5.68,5.79,5.91,backup_beep,-,-3.32,0.2026,0.02527,0.282,2.26,0.283,18.74,18.74,12.41,12.41,3.6,9.056,4.45,55,PASS
fold1_room1_mix132,train,R,-14.35,14.16,4.84,bike_bell,-,-3.54,0.0705,0.00228,0.403,1.55,0.214,4.29,4.29,3.13,3.13,3.146,5.284,30.87,21,PASS
fold1_room1_mix133,train,L,11.05,8.73,3.55,siren,wail,-2.53,0.1679,0.01737,0.25,0.68,0.173,13.93,13.93,5.55,5.55,2.383,6.783,1.55,45,PASS
fold1_room1_mix134,train,R,-10.93,6.01,3.51,horn,-,-2.98,0.0995,0.01368,0.394,2.48,0.267,18.26,18.26,11.53,11.53,1.174,6.531,0.52,54,PASS
fold1_room1_mix135,train,L,3.76,6.86,5.02,backup_beep,-,-3.28,0.3355,0.02992,0.388,3.07,0.268,10.71,10.71,13.13,13.13,3.636,8.326,7.69,47,PASS
fold1_room1_mix136,train,R,-13.14,13.72,5.96,bike_bell,-,-1.57,0.0585,0.00324,0.324,1.13,0.27,0.29,0.29,11.87,11.87,5.634,8.486,3.87,29,PASS
fold1_room1_mix137,train,L,6.36,14.97,3.71,siren,peepo,-0.23,0.4481,0.02102,0.365,1.53,0.242,1.43,1.43,10.01,10.01,3.589,5.598,1.38,21,PASS
fold1_room1_mix138,train,R,-5.42,10.5,3.51,horn,-,-1.92,0.2382,0.016,0.392,2.35,0.3,6.71,6.71,9.54,9.54,3.221,5.808,1.52,27,PASS
fold1_room1_mix139,train,L,14.62,14.59,4.87,backup_beep,-,-4.46,0.0528,0.00684,0.34,1.57,0.279,10.03,10.03,12.17,12.17,0.845,5.185,1.31,42,PASS
fold1_room1_mix140,train,R,-11.27,13.14,5.44,bike_bell,-,-5.78,0.024,0.00116,0.289,0.85,0.382,1.31,1.31,0.24,0.24,6.476,8.913,35.62,25,PASS
fold1_room1_mix141,train,L,4.53,12.89,5.38,siren,wail,-4.3,0.264,0.00684,0.192,0.51,0.286,1.57,1.57,2.75,2.75,6.223,8.348,2.81,22,PASS
fold1_room1_mix142,train,R,-3.57,10.78,4.91,horn,-,-0.79,0.3973,0.02747,0.327,3.97,0.204,7.97,7.97,4.17,4.17,2.214,8.089,4.15,59,PASS
fold1_room1_mix143,train,L,8.95,12.34,6.26,backup_beep,-,-3.57,0.0331,0.00411,0.104,0.52,0.352,9.92,9.92,7.44,7.44,2.567,4.746,11.55,21,PASS
fold1_room1_mix144,train,R,-14.64,13.86,3.78,bike_bell,-,-2.24,0.0624,0.0031,0.324,1.54,0.368,16.44,16.44,2.68,2.68,2.17,8.015,25.71,60,PASS
