clip,cls,tier,typ,j,t_to_cpa,route,rc,cpa_ok,ins,d_pred,d_gt,dc,tc,adot,gt_adot,ddot,gt_cpa_d
fold31_room1_mix0089,4,critical,対向型,50,2.6,cpa,1,1,0,13.44,13.89,0.0,1.92,0.0,0.0,-7.01,0.95
fold31_room1_mix0096,4,critical,対向型,17,4.9,cpa,0,1,0,21.02,28.64,0.71,1.95,0.017,0.0,-10.78,0.63
fold31_room1_mix0097,4,critical,対向型,45,2.1,cpa,0,1,0,17.23,16.62,0.0,2.16,0.0,0.0,-7.96,1.16
fold31_room1_mix0098,4,critical,対向型,37,1.4,cpa,1,1,0,7.99,9.28,0.43,0.77,-0.07,0.0,-10.37,0.83
fold31_room1_mix0098,4,critical,対向型,37,2.1,cpa,1,1,0,7.99,11.83,0.43,0.77,-0.07,0.0,-10.37,0.96
fold31_room1_mix0101,4,critical,対向型,66,1.1,cpa,1,1,0,6.48,6.04,0.13,1.13,0.017,0.1745329251994332,-5.75,1.02
fold31_room1_mix0104,4,critical,対向型,44,3.5,cpa,1,1,0,11.34,10.75,1.09,1.82,0.052,0.0,-6.17,0.89
fold31_room1_mix0105,4,critical,対向型,43,4.2,rc,1,0,0,13.98,26.61,2.28,2.3,-0.07,0.0,-5.91,1.31
fold31_room1_mix0109,4,critical,対向型,65,0.5,cpa,1,1,0,4.43,3.89,0.13,0.42,0.07,0.17453292519943298,-10.52,0.78
fold31_room1_mix0111,4,critical,対向型,44,2.4,rc,1,0,0,13.3,11.16,1.54,2.19,-0.052,0.0,-5.99,1.38
fold31_room1_mix0111,4,safe,すり抜け型,44,2.8,rc,1,0,0,13.3,,1.54,2.19,-0.052,,-5.99,13.32
fold31_room1_mix0114,4,critical,対向型,14,5.0,rc,1,0,0,9.4,27.24,3.16,4.53,0.07,0.0,-1.84,1.18
fold31_room1_mix0118,4,critical,対向型,22,1.9,cpa,1,1,0,13.22,10.91,0.29,1.24,-0.017,0.0,-10.66,1.25
fold31_room1_mix0119,4,critical,対向型,48,3.4,rc,1,0,0,14.1,12.98,10.09,5.73,-0.087,0.0,-1.2,1.17
fold31_room1_mix0120,4,critical,対向型,29,1.2,cpa,1,1,0,13.75,10.62,0.14,0.6,-0.017,0.0,-23.0,0.73
fold31_room1_mix0120,4,safe,すり抜け型,41,3.5,cpa,0,1,1,0.55,,0.05,0.03,-2.845,,-15.59,10.33
fold31_room1_mix0121,4,critical,対向型,58,1.8,cpa,0,1,0,18.13,19.5,0.0,1.66,0.0,0.0,-10.95,0.79
fold31_room1_mix0122,4,critical,対向型,40,2.2,cpa,1,1,0,13.97,13.48,1.15,1.57,-0.052,0.0,-8.84,0.95
fold31_room1_mix0123,4,critical,対向型,49,0.6,cpa,0,1,0,5.46,4.77,1.11,0.6,0.332,0.34906585039886584,-8.76,0.84
fold31_room1_mix0124,4,critical,対向型,46,2.6,rc,1,0,0,13.46,14.2,2.31,3.23,-0.052,0.0,-4.05,0.96
fold31_room1_mix0128,4,critical,対向型,36,3.0,cpa,1,1,0,7.83,8.59,0.19,0.7,-0.035,0.0,-11.13,1.01
fold31_room1_mix0128,4,safe,すり抜け型,36,4.8,cpa,1,1,0,7.83,25.59,0.19,0.7,-0.035,0.08726646259971604,-11.13,12.89
fold31_room1_mix0129,4,safe,すり抜け型,54,1.2,cpa,1,1,0,8.12,13.51,0.61,1.08,-0.07,0.3490658503988664,-7.51,10.66
fold31_room1_mix0134,4,critical,対向型,77,1.2,cpa,1,1,0,10.76,9.89,0.23,1.24,-0.017,0.0,-8.7,1.05
fold31_room1_mix0135,4,safe,すり抜け型,39,1.2,rc,1,0,0,13.68,14.02,1.31,1.83,0.052,0.3490658503988664,-7.42,9.94
fold31_room1_mix0139,4,critical,対向型,67,1.4,cpa,1,1,0,10.69,9.1,0.77,1.38,0.052,0.08726646259971549,-7.72,1.32
fold31_room1_mix0140,4,safe,すり抜け型,37,2.5,rc,1,0,0,13.51,14.56,0.66,2.8,0.017,0.08726646259971549,-4.82,3.78
fold31_room1_mix0142,4,critical,対向型,66,0.2,cpa,0,1,0,2.27,1.88,0.25,0.57,-0.192,2.0943951023931957,-3.93,1.17
fold31_room1_mix0143,4,critical,対向型,82,0.4,cpa,0,1,0,3.86,2.86,0.3,0.37,0.209,1.3089969389957474,-10.36,1.44
fold31_room1_mix0156,4,critical,対向型,41,0.8,rc,1,0,0,11.51,4.83,0.86,4.27,-0.017,0.3490658503988642,-2.68,1.43
fold31_room1_mix0156,4,critical,対向型,41,1.3,rc,1,0,0,11.51,9.52,0.86,4.27,-0.017,0.08726646259971646,-2.68,1.34
fold31_room1_mix0161,4,critical,対向型,52,0.9,cpa,0,1,0,12.11,10.39,0.98,0.77,0.105,0.17453292519943098,-15.59,1.41
fold31_room1_mix0164,4,critical,対向型,49,1.8,rc,1,0,0,13.36,16.41,3.67,3.03,-0.087,0.0,-4.08,0.88
fold31_room1_mix0166,4,safe,すり抜け型,53,0.6,cpa,0,1,0,1.78,14.91,1.11,0.24,2.059,0.3490658503988664,-4.62,14.55
fold31_room1_mix0166,4,critical,対向型,53,3.4,cpa,0,1,0,1.78,,1.11,0.24,2.059,,-4.62,0.85
fold31_room1_mix0171,4,critical,対向型,51,2.1,cpa,1,1,0,9.44,19.89,0.82,1.25,-0.07,0.08726646259971649,-7.52,0.87
fold31_room1_mix0175,4,critical,対向型,75,1.0,cpa,1,1,0,7.59,8.5,0.56,0.84,0.087,0.17453292519943292,-8.97,1.44
fold31_room1_mix0176,4,critical,対向型,51,-0.5,cpa,1,1,0,5.31,3.6,0.15,0.8,-0.035,0.43633231299858233,-6.66,0.82
fold31_room1_mix0176,4,safe,すり抜け型,51,1.1,cpa,1,1,0,5.31,10.17,0.15,0.8,-0.035,0.34906585039886584,-6.66,3.8
fold31_room1_mix0176,4,critical,対向型,51,3.7,cpa,1,1,0,5.31,38.05,0.15,0.8,-0.035,0.0,-6.66,1.15
fold31_room1_mix0177,4,safe,すり抜け型,31,1.4,cpa,1,1,0,7.39,8.27,0.51,0.78,-0.087,0.2617993877991487,-9.41,3.27
fold31_room1_mix0180,4,critical,対向型,49,1.4,cpa,1,1,0,11.19,10.59,0.58,0.99,0.052,0.0,-11.28,1.01
fold31_room1_mix0183,4,critical,対向型,77,0.9,rc,1,0,0,12.42,7.19,0.9,4.15,0.017,0.17453292519943292,-2.98,1.15
fold31_room1_mix0184,4,critical,対向型,16,2.5,cpa,1,1,0,12.35,8.44,0.0,1.65,0.0,0.0,-7.49,0.86
fold31_room1_mix0184,4,critical,対向型,16,5.7,cpa,1,1,0,12.35,14.07,0.0,1.65,0.0,0.0,-7.49,0.91
fold31_room1_mix0184,4,safe,すり抜け型,16,5.7,cpa,1,1,0,12.35,25.07,0.0,1.65,0.0,0.0,-7.49,5.6
fold31_room1_mix0187,4,critical,対向型,65,1.6,cpa,1,1,0,10.76,11.0,0.0,1.74,-0.0,0.08726646259971549,-6.2,1.5
fold31_room1_mix0192,4,critical,対向型,58,0.0,cpa,0,1,1,1.36,0.83,0.64,0.17,2.478,3.9269908169872414,-6.32,0.83
fold31_room1_mix0195,4,safe,すり抜け型,29,2.7,cpa,1,1,0,8.63,18.15,0.4,1.31,0.035,0.1745329251994332,-6.56,13.81
fold31_room1_mix0195,4,critical,対向型,29,2.1,cpa,1,1,0,8.63,8.35,0.4,1.31,0.035,0.0,-6.56,1.35
fold31_room1_mix0198,4,critical,対向型,31,0.9,cpa,1,1,0,9.72,8.71,0.67,1.32,0.052,0.08726646259971646,-7.32,0.76
fold31_room1_mix0200,4,critical,対向型,45,2.4,rc,1,0,0,14.2,9.28,3.52,4.58,0.052,0.08726646259971646,-2.91,1.4
fold31_room1_mix0200,4,critical,対向型,45,2.3,rc,1,0,0,14.2,11.07,3.52,4.58,0.052,0.0,-2.91,1.1
fold31_room1_mix0202,4,critical,対向型,51,2.2,cpa,0,1,0,19.29,16.98,0.0,1.84,-0.0,0.0,-10.48,1.0
fold31_room1_mix0203,4,safe,すり抜け型,31,2.0,rc,1,0,0,13.45,13.45,8.7,9.42,0.052,0.17453292519943098,-0.83,3.86
fold31_room1_mix0206,4,critical,対向型,23,3.8,cpa,0,1,0,15.61,17.55,0.47,1.72,0.017,0.0,-9.06,1.15
fold31_room1_mix0208,4,critical,対向型,50,-0.1,cpa,0,1,1,1.29,1.18,0.86,0.09,-5.393,3.577924966588375,-7.74,0.93
fold31_room1_mix0210,4,critical,対向型,41,3.0,cpa,1,1,0,13.55,11.45,0.56,2.35,0.017,0.0,-5.75,1.31
fold31_room1_mix0214,4,critical,対向型,55,1.4,cpa,1,1,0,10.34,8.66,0.36,0.99,-0.035,0.08726646259971549,-10.41,1.36
fold31_room1_mix0217,4,critical,対向型,56,1.5,rc,1,0,0,14.34,13.56,1.9,1.88,-0.07,0.0,-7.49,1.15
fold31_room1_mix0220,4,critical,対向型,83,0.2,cpa,0,1,0,2.13,2.01,0.1,0.14,0.332,2.1816615649929116,-14.97,0.88
fold31_room1_mix0225,4,safe,すり抜け型,65,1.9,cpa,0,1,0,4.03,18.49,1.26,0.63,0.471,0.2617993877991509,-5.76,9.48
fold31_room1_mix0226,4,critical,対向型,43,2.6,rc,1,0,0,14.58,13.05,1.43,2.79,-0.035,0.0,-5.17,0.93
fold31_room1_mix0227,4,critical,対向型,49,0.4,cpa,0,1,0,4.82,2.04,1.12,1.62,-0.14,0.6981317007977319,-2.82,0.67
fold31_room1_mix0227,4,safe,すり抜け型,49,1.0,cpa,0,1,0,4.82,10.05,1.12,1.62,-0.14,0.3490658503988661,-2.82,4.57
fold31_room1_mix0232,4,critical,対向型,72,0.1,cpa,0,1,0,1.7,1.57,0.63,0.27,1.257,3.8397243543875246,-5.34,1.4
fold31_room1_mix0242,4,critical,対向型,71,1.0,cpa,1,1,0,7.07,7.77,0.55,0.89,-0.087,0.08726646259971646,-7.93,0.9
fold31_room1_mix0243,4,critical,対向型,61,0.0,cpa,0,1,1,1.18,1.16,0.51,0.13,3.107,4.188790204786391,-7.59,1.16
fold31_room1_mix0246,4,critical,対向型,51,0.8,cpa,0,1,0,5.97,8.15,0.8,0.51,-0.262,0.17453292519943292,-11.57,1.15
fold31_room1_mix0246,4,critical,対向型,51,0.5,cpa,0,1,0,5.97,4.08,0.8,0.51,-0.262,0.6981317007977319,-11.57,1.44
fold31_room1_mix0247,4,critical,対向型,37,0.8,cpa,1,1,0,6.84,6.97,0.25,1.06,-0.035,0.2617993877991495,-6.42,1.35
fold31_room1_mix0250,4,critical,対向型,66,1.3,cpa,0,1,0,15.35,13.89,0.63,1.18,-0.035,0.08726646259971646,-12.96,1.31
fold31_room1_mix0251,4,critical,対向型,66,1.2,cpa,1,1,0,11.17,11.12,1.19,1.21,0.087,0.0,-9.13,1.0
fold31_room1_mix0252,4,critical,対向型,76,1.3,cpa,0,1,0,7.29,6.25,0.95,1.06,-0.122,0.0,-6.77,0.77
fold31_room1_mix0257,4,critical,対向型,57,1.3,cpa,0,1,0,5.01,5.38,0.73,0.49,-0.297,0.17453292519943306,-10.1,1.19
fold31_room1_mix0266,4,safe,すり抜け型,52,2.7,cpa,1,1,0,3.35,23.37,0.02,0.33,0.017,0.08726646259971632,-10.19,5.54
fold31_room1_mix0266,4,safe,すり抜け型,52,2.1,cpa,1,1,0,3.35,18.57,0.02,0.33,0.017,0.17453292519943264,-10.19,5.8
fold31_room1_mix0270,4,critical,対向型,25,4.9,rc,1,0,0,14.37,13.05,0.0,4.81,-0.0,0.0,-2.99,0.79
fold31_room1_mix0278,4,critical,対向型,55,0.5,cpa,1,1,0,8.14,4.98,0.09,0.64,0.017,0.6108652381980151,-12.69,1.48
fold31_room1_mix0281,4,critical,対向型,36,3.2,cpa,0,1,0,4.05,23.77,0.77,0.16,-1.134,0.0,-23.85,0.97
fold31_room1_mix0284,4,critical,対向型,20,2.2,cpa,0,1,0,23.87,20.5,0.69,1.65,0.017,0.0,-14.47,1.46
fold31_room1_mix0287,4,critical,対向型,51,2.2,rc,1,0,0,10.29,9.85,1.69,1.85,-0.087,0.0,-5.4,0.92
fold31_room1_mix0290,4,critical,対向型,32,2.9,cpa,1,1,0,8.6,9.65,0.0,1.31,0.0,0.0,-6.56,1.03
fold31_room1_mix0291,4,critical,対向型,61,0.2,cpa,0,1,0,3.12,1.86,0.91,0.23,-1.204,1.919862177193763,-12.36,0.95
fold31_room1_mix0295,4,safe,すり抜け型,30,4.0,cpa,0,1,0,18.43,20.05,0.63,1.97,0.017,0.08726646259971549,-9.36,6.43
fold31_room1_mix0296,4,critical,対向型,44,1.5,cpa,1,1,0,6.76,6.76,0.15,1.24,-0.017,0.0,-5.47,0.91
fold31_room1_mix0296,4,critical,対向型,60,2.8,cpa,0,1,1,0.74,,0.65,0.08,5.568,,-2.25,1.2
fold31_room1_mix0301,4,critical,対向型,41,2.5,rc,1,0,0,13.51,12.18,1.71,2.39,0.052,0.0,-5.56,0.83
fold31_room1_mix0302,4,critical,対向型,74,-0.1,cpa,0,1,1,1.03,0.71,0.69,0.1,5.131,5.235987755982988,-5.9,0.67
fold31_room1_mix0307,4,safe,すり抜け型,35,4.5,rc,1,0,0,7.22,36.76,1.99,3.79,0.07,0.0,-1.76,8.46
fold31_room1_mix0311,4,critical,対向型,71,0.4,cpa,0,1,0,4.54,3.86,0.9,0.51,0.384,0.7853981633974483,-8.63,1.5
fold31_room1_mix0313,4,critical,対向型,57,1.4,cpa,1,1,0,12.04,12.0,0.96,1.52,-0.052,0.08726646259971549,-7.89,1.18
fold31_room1_mix0326,4,critical,対向型,64,1.7,cpa,1,1,0,12.85,12.69,0.39,1.73,-0.017,0.0,-7.43,1.27
fold31_room1_mix0330,4,critical,対向型,44,2.2,cpa,1,1,0,12.4,12.24,0.91,2.1,0.035,0.0,-5.87,0.69
fold31_room1_mix0333,4,critical,対向型,45,2.9,cpa,0,1,0,2.56,15.8,0.11,0.05,0.838,0.0,-51.7,1.45
fold31_room1_mix0333,4,critical,対向型,45,-0.3,cpa,0,1,0,2.56,2.27,0.11,0.05,0.838,1.0471975511965976,-51.7,0.84
fold31_room1_mix0333,4,critical,対向型,45,2.2,cpa,0,1,0,2.56,19.58,0.11,0.05,0.838,0.0,-51.7,0.64
fold31_room1_mix0340,4,critical,対向型,64,0.4,cpa,1,1,0,2.91,2.47,0.1,0.66,-0.052,1.3089969389957457,-4.4,1.45
fold31_room1_mix0340,4,safe,すり抜け型,64,-0.5,cpa,1,1,0,2.91,10.34,0.1,0.66,-0.052,0.8726646259971643,-4.4,8.59
fold31_room1_mix0341,4,critical,対向型,36,3.9,rc,1,0,0,13.45,11.39,0.0,2.98,0.0,0.0,-4.52,0.98
fold31_room1_mix0341,4,critical,対向型,36,2.8,rc,1,0,0,13.45,13.44,0.0,2.98,0.0,0.0,-4.52,1.42
fold31_room1_mix0347,4,critical,対向型,43,1.3,rc,1,0,0,13.36,11.77,2.43,2.05,0.087,0.0,-6.3,0.81
fold31_room1_mix0349,4,critical,対向型,14,2.8,rc,1,0,0,14.68,13.75,2.08,1.6,0.087,0.0,-8.97,1.35
fold31_room1_mix0349,4,critical,対向型,14,6.3,rc,1,0,0,14.68,31.89,2.08,1.6,0.087,0.0,-8.97,0.76
fold31_room1_mix0350,4,critical,対向型,53,2.8,rc,1,0,0,12.38,11.6,1.15,2.64,-0.035,0.0,-4.65,1.05
fold31_room1_mix0353,4,critical,対向型,48,1.3,cpa,1,1,0,8.32,8.42,0.0,1.25,0.0,0.08726646259971646,-6.64,0.93
fold31_room1_mix0355,4,critical,対向型,60,0.7,cpa,0,1,0,3.5,2.85,0.44,0.48,-0.262,0.1745329251994332,-7.23,0.69
fold31_room1_mix0357,4,critical,対向型,34,2.7,rc,1,0,0,12.82,9.19,1.14,2.54,0.035,0.0,-5.0,1.39
fold31_room1_mix0357,4,critical,対向型,34,2.7,rc,1,0,0,12.82,27.08,1.14,2.54,0.035,0.0,-5.0,1.08
fold31_room1_mix0358,4,critical,対向型,65,0.2,cpa,0,1,0,2.33,1.88,1.21,0.18,2.461,2.4434609527920625,-9.39,1.41
fold31_room1_mix0363,4,critical,対向型,53,0.9,cpa,1,1,0,8.75,6.09,1.03,1.67,-0.07,0.17453292519943292,-5.17,0.73
fold31_room1_mix0366,4,critical,対向型,45,2.2,cpa,1,1,0,13.23,12.02,1.05,2.26,-0.035,0.0,-5.81,1.13
fold31_room1_mix0368,4,critical,対向型,65,1.5,cpa,0,1,0,15.14,15.61,0.96,1.2,0.052,0.0,-12.52,0.89
fold31_room1_mix0369,4,critical,対向型,63,1.1,cpa,1,1,0,11.64,10.39,1.14,1.4,0.07,0.08726646259971549,-8.26,0.97
fold31_room1_mix0370,4,safe,すり抜け型,55,3.2,rc,1,0,0,13.24,17.08,1.03,4.46,0.017,0.1745329251994332,-2.95,8.92
fold31_room1_mix0377,4,critical,対向型,51,1.9,cpa,1,1,0,7.47,6.3,1.09,1.66,-0.087,0.08726646259971549,-4.4,1.21
fold31_room1_mix0381,4,safe,すり抜け型,42,1.7,cpa,0,1,0,4.51,13.82,0.32,0.51,0.14,0.26179938779914924,-8.87,6.24
fold31_room1_mix0381,4,critical,対向型,42,0.0,cpa,0,1,0,4.51,1.4,0.32,0.51,0.14,5.148721293383272,-8.87,1.4
fold31_room1_mix0383,4,critical,対向型,90,-0.4,cpa,0,1,0,3.88,2.64,0.68,0.52,-0.332,0.6981317007977319,-7.24,0.87
fold31_room1_mix0383,4,safe,すり抜け型,90,-0.7,cpa,0,1,0,3.88,9.29,0.68,0.52,-0.332,0.6981317007977328,-7.24,7.78
fold31_room1_mix0384,4,critical,対向型,34,1.0,cpa,0,1,0,7.48,7.09,0.76,0.82,-0.122,0.17453292519943292,-8.99,1.22
fold31_room1_mix0385,4,critical,対向型,38,2.4,cpa,1,1,0,13.59,15.49,0.56,1.17,0.035,0.0,-11.55,0.85
fold31_room1_mix0387,4,critical,対向型,30,1.6,cpa,1,1,0,13.7,9.77,0.32,1.32,-0.017,0.0,-10.36,1.02
fold31_room1_mix0387,4,critical,対向型,30,3.5,cpa,1,1,0,13.7,,0.32,1.32,-0.017,,-10.36,1.25
fold31_room1_mix0387,4,safe,すり抜け型,64,2.5,cpa,0,1,0,1.61,18.13,0.24,0.13,1.1,0.1745329251994332,-11.77,13.04
fold31_room1_mix0388,4,safe,すり抜け型,55,1.1,cpa,1,1,0,11.65,13.63,0.72,1.17,0.052,0.34906585039886584,-9.92,7.07
fold31_room1_mix0389,4,critical,対向型,52,1.9,cpa,1,1,0,11.81,10.5,1.25,1.5,0.07,0.0,-7.77,1.37
fold31_room1_mix0392,4,critical,対向型,67,2.0,cpa,0,1,0,17.68,17.56,0.0,1.61,-0.0,0.0,-10.95,0.8
fold31_room1_mix0393,4,safe,すり抜け型,31,4.2,cpa,1,1,0,14.8,29.13,0.64,1.23,0.035,0.08726646259971632,-12.0,9.06
fold31_room1_mix0396,4,critical,対向型,55,1.8,cpa,1,1,0,12.4,14.73,0.83,1.92,-0.035,0.0,-6.42,1.39
fold31_room1_mix0399,4,critical,対向型,59,1.3,cpa,1,1,0,13.51,14.49,0.45,1.9,-0.017,0.0,-7.12,0.93
fold31_room1_mix0400,4,critical,対向型,24,1.7,cpa,1,1,0,9.56,8.83,0.0,2.03,0.0,0.08726646259971646,-4.7,1.14
fold31_room1_mix0401,4,critical,対向型,37,5.2,rc,1,0,0,13.52,12.97,0.84,3.55,0.017,0.0,-3.79,0.7
fold31_room1_mix0403,4,critical,対向型,75,0.5,rc,1,0,0,12.38,3.72,4.49,4.84,0.07,0.6108652381980151,-2.22,1.08
fold31_room1_mix0403,4,critical,対向型,75,0.6,rc,1,0,0,12.38,5.37,4.49,4.84,0.07,0.26179938779914935,-2.22,0.86
fold31_room1_mix0405,4,safe,すり抜け型,57,-0.5,rc,1,0,0,11.28,14.08,0.55,2.81,-0.017,0.6108652381980151,-4.0,13.2
fold31_room1_mix0405,4,critical,対向型,57,2.4,rc,1,0,0,11.28,12.71,0.55,2.81,-0.017,0.0,-4.0,0.66
fold31_room1_mix0405,4,safe,すり抜け型,57,1.9,rc,1,0,0,11.28,14.31,0.55,2.81,-0.017,0.1745329251994332,-4.0,7.49
fold31_room1_mix0407,4,critical,対向型,82,0.4,cpa,0,1,0,4.45,3.61,1.02,0.41,-0.541,1.047197551196597,-10.22,1.35
fold31_room1_mix0414,4,critical,対向型,76,0.3,cpa,0,1,0,4.01,2.62,0.9,0.25,0.873,1.3089969389957474,-15.27,1.22
fold31_room1_mix0418,4,safe,すり抜け型,49,0.2,cpa,0,1,0,3.08,14.11,0.13,0.08,0.489,0.5235987755982985,-37.0,14.0
fold31_room1_mix0418,4,critical,対向型,49,-0.4,cpa,0,1,0,3.08,2.97,0.13,0.08,0.489,0.9599310885968811,-37.0,1.19
fold31_room1_mix0420,4,critical,対向型,63,1.5,rc,1,0,0,6.39,6.46,0.0,3.33,-0.0,0.0,-1.92,0.83
fold31_room1_mix0422,4,critical,対向型,53,2.4,rc,1,0,0,10.96,12.34,1.49,2.57,0.052,0.0,-4.19,0.87
fold31_room1_mix0429,4,critical,対向型,30,3.0,rc,1,0,0,12.21,10.92,1.11,2.59,0.035,0.0,-4.67,0.93
fold31_room1_mix0430,4,critical,対向型,39,2.4,cpa,0,1,0,15.76,15.26,0.39,1.42,0.017,0.0,-11.08,0.85
fold31_room1_mix0432,4,critical,対向型,57,1.2,cpa,1,1,0,11.19,12.43,0.9,1.15,-0.07,0.0,-9.67,0.75
fold31_room1_mix0435,4,critical,対向型,34,2.3,cpa,1,1,0,12.08,11.28,0.9,2.14,0.035,0.0,-5.62,1.25
fold31_room1_mix0437,4,critical,対向型,68,0.5,cpa,0,1,0,2.9,2.6,0.51,0.49,-0.349,0.6108652381980151,-5.7,0.86
fold31_room1_mix0438,4,critical,対向型,50,1.1,cpa,1,1,0,12.69,10.8,0.5,1.12,0.035,0.0,-11.32,0.78
fold31_room1_mix0445,4,critical,対向型,40,2.8,rc,1,0,0,12.69,11.72,3.32,4.82,0.052,0.0,-2.45,0.99
fold31_room1_mix0445,4,critical,対向型,40,1.8,rc,1,0,0,12.69,12.72,3.32,4.82,0.052,0.0,-2.45,1.31
fold31_room1_mix0455,4,critical,対向型,67,1.0,cpa,0,1,0,9.4,7.71,1.17,0.88,-0.14,0.08726646259971549,-10.49,0.82
fold31_room1_mix0459,4,critical,対向型,16,5.4,rc,1,0,0,13.0,12.74,2.64,3.8,0.052,0.0,-3.28,0.91
fold31_room1_mix0468,4,critical,対向型,67,1.3,cpa,1,1,0,10.92,9.73,0.46,1.2,-0.035,0.08726646259971549,-9.07,1.01
fold31_room1_mix0469,4,safe,すり抜け型,43,2.2,cpa,0,1,0,4.64,17.19,0.74,0.36,-0.436,0.17453292519943542,-12.57,14.1
fold31_room1_mix0469,4,critical,対向型,43,0.3,cpa,0,1,0,4.64,2.89,0.74,0.36,-0.436,1.3962634015954634,-12.57,1.08
fold31_room1_mix0471,4,critical,対向型,37,2.6,rc,1,0,0,13.31,,1.68,3.58,0.035,,-3.66,0.64
fold31_room1_mix0482,4,safe,すり抜け型,47,2.4,cpa,0,1,0,2.05,19.67,1.28,0.12,-3.927,0.08726646259971549,-10.13,4.27
fold31_room1_mix0482,4,critical,対向型,47,1.5,cpa,0,1,0,2.05,16.59,1.28,0.12,-3.927,0.0,-10.13,0.72
fold31_room1_mix0483,4,safe,すり抜け型,64,1.2,cpa,0,1,0,1.81,15.9,1.17,0.17,2.88,0.43633231299858244,-6.18,10.4
fold31_room1_mix0490,4,safe,すり抜け型,70,1.2,cpa,0,1,0,4.29,12.99,0.72,0.43,0.384,0.1745329251994332,-9.72,12.61
fold31_room1_mix0490,4,critical,対向型,70,0.5,cpa,0,1,0,4.29,4.54,0.72,0.43,0.384,0.43633231299858244,-9.72,0.97
fold31_room1_mix0491,4,critical,対向型,38,2.2,cpa,0,1,0,17.81,17.83,1.21,1.94,-0.035,0.0,-9.12,0.69
fold31_room1_mix0496,4,critical,対向型,70,1.4,rc,1,0,0,8.56,6.48,4.61,5.2,-0.087,0.08726646259971549,-1.17,0.96
