name,split,side,offset_m,speed_mps,t_cpa_s,siren_type,gain_db,peak,rms_W,az_med_err,az_max_err,el_med_err,snr_db_target,snr_db_measured,sir_db_target,sir_db_measured,t_on,t_off,az_med_err_noisy,n_frames,result
fold1_room1_mix042,train,R,-3.98,11.53,6.86,peepo,-4.79,0.1146,0.00703,0.261,0.48,0.317,11.48,11.48,4.15,4.15,2.3,5.898,0.43,34,PASS
fold1_room1_mix043,train,L,5.85,6.01,4.98,wail,-5.76,0.1904,0.02149,0.247,0.79,0.285,1.03,1.03,12.81,12.81,3.553,8.38,0.96,48,PASS
fold1_room1_mix044,train,R,-6.2,5.33,3.54,wail,-4.83,0.1335,0.0237,0.272,0.69,0.177,16.31,16.31,6.64,6.64,2.049,6.332,0.77,43,PASS
fold1_room1_mix045,train,L,6.94,11.41,4.55,peepo,-4.79,0.1379,0.01602,0.287,1.39,0.265,3.64,3.64,7.18,7.18,3.915,9.322,1.27,56,PASS
fold1_room1_mix046,train,R,-11.4,6.14,5.31,peepo,-1.19,0.2267,0.02041,0.179,0.5,0.189,0.55,0.55,10.05,10.05,4.616,8.627,0.91,40,PASS
fold1_room1_mix047,train,L,4.71,11.21,5.75,wail,-2.56,0.1981,0.02691,0.239,1.03,0.31,10.2,10.2,14.99,14.99,4.372,7.163,0.48,28,PASS
fold1_room1_mix048,train,R,-11.36,6.61,3.62,wail,-2.1,0.1051,0.01258,0.205,0.63,0.258,4.8,4.8,4.81,4.81,4.582,8.493,0.3,40,PASS
fold1_room1_mix049,train,L,5.17,8.65,3.38,peepo,-2.68,0.2593,0.02038,0.248,0.8,0.258,18.39,18.39,2.41,2.41,3.444,6.594,0.81,32,PASS
fold1_room1_mix050,train,R,-5.59,13.96,3.34,peepo,-4.05,0.0652,0.00686,0.244,0.61,0.349,2.65,2.65,8.81,8.81,4.216,8.021,0.86,39,PASS
fold1_room1_mix051,train,L,3.29,11.53,6.46,wail,-2.48,0.1495,0.00946,0.223,0.5,0.248,7.54,7.54,4.61,4.61,1.056,5.504,0.48,43,PASS
fold1_room1_mix052,train,R,-10.77,14.79,5.31,wail,-3.41,0.0607,0.00766,0.34,0.66,0.233,14.65,14.65,13.75,13.75,5.74,7.876,0.3,22,PASS
fold1_room1_mix053,train,L,9.32,6.53,4.18,peepo,-2.55,0.1651,0.01773,0.29,0.64,0.141,14.23,14.23,2.19,2.19,1.718,4.537,0.44,28,PASS
fold1_room1_mix054,train,R,-3.04,10.4,4.16,peepo,-4.27,0.2691,0.02915,0.256,1.36,0.256,8.52,8.52,8.7,8.7,3.502,9.346,2.48,60,PASS
fold1_room1_mix055,train,L,6.69,13.52,6.8,wail,-1.29,0.1831,0.02104,0.268,2.0,0.335,2.07,2.07,10.21,10.21,1.756,7.138,1.58,52,PASS
fold1_room1_mix056,train,R,-14.61,14.87,4.32,wail,-4.17,0.0741,0.00796,0.209,0.71,0.344,15.41,15.41,3.83,3.83,4.332,8.666,0.29,45,PASS
fold1_room1_mix057,train,L,10.64,6.81,6.04,peepo,-1.82,0.2381,0.01621,0.207,0.66,0.294,0.31,0.31,7.69,7.69,5.599,7.662,1.41,21,PASS
fold1_room1_mix058,train,R,-5.41,8.71,5.03,peepo,-3.79,0.1609,0.02443,0.335,0.82,0.233,10.72,10.72,6.69,6.69,3.69,7.777,0.74,41,PASS
fold1_room1_mix059,train,L,11.8,11.23,6.2,wail,-4.38,0.0696,0.00765,0.255,0.59,0.36,7.97,7.97,9.23,9.23,0.829,5.559,0.59,46,PASS
fold1_room1_mix060,train,R,-4.49,10.21,5.32,wail,-0.21,0.2816,0.02975,0.249,0.85,0.354,13.68,13.68,0.93,0.93,0.459,5.386,1.75,48,PASS
fold2_room1_mix001,val,L,5.66,5.66,5.12,peepo,-5.78,0.081,0.00684,0.265,0.49,0.156,13.51,13.51,3.28,3.28,0.859,3.036,0.33,22,PASS
fold2_room1_mix002,val,R,-11.41,13.66,4.96,peepo,-5.43,0.113,0.00439,0.26,0.88,0.233,11.45,11.45,4.65,4.65,1.109,3.816,0.29,26,PASS
fold2_room1_mix003,val,L,14.71,8.77,3.77,wail,-2.81,0.0963,0.01212,0.303,0.64,0.063,6.31,6.31,10.06,10.06,2.629,5.334,0.46,27,PASS
fold2_room1_mix004,val,R,-3.52,11.47,3.6,wail,-1.53,0.0885,0.01058,0.279,0.54,0.249,17.08,17.08,5.64,5.64,4.616,9.172,0.37,47,PASS
fold2_room1_mix005,val,L,5.55,6.83,5.23,peepo,-0.84,0.2288,0.03855,0.253,0.66,0.258,12.36,12.36,6.19,6.19,2.64,7.829,0.4,52,PASS
fold2_room1_mix006,val,R,-3.42,9.94,5.67,peepo,-3.52,0.3982,0.03197,0.263,1.34,0.219,13.11,13.11,2.32,2.32,3.199,8.561,0.57,53,PASS
fold2_room1_mix007,val,L,3.17,8.32,6.53,wail,-4.28,0.2148,0.02384,0.429,1.37,0.232,9.64,9.64,13.98,13.98,6.494,9.045,0.56,26,PASS
fold2_room1_mix008,val,R,-13.2,8.29,3.84,wail,-2.59,0.169,0.01573,0.239,0.65,0.202,11.75,11.75,0.03,0.03,2.41,6.976,1.86,46,PASS
fold2_room1_mix009,val,L,7.98,6.94,4.49,peepo,-0.63,0.1663,0.02464,0.294,0.71,0.217,5.93,5.93,13.26,13.26,4.357,9.026,0.6,47,PASS
fold2_room1_mix010,val,R,-7.35,9.84,4.41,peepo,-3.26,0.1637,0.01917,0.226,0.75,0.304,3.92,3.92,3.17,3.17,3.78,8.062,4.27,44,PASS
fold2_room1_mix011,val,L,5.08,10.55,4.95,wail,-1.21,0.2812,0.03044,0.317,1.11,0.263,4.32,4.32,10.62,10.62,3.509,6.146,0.61,26,PASS
fold2_room1_mix012,val,R,-4.72,11.54,3.2,wail,-3.05,0.149,0.02351,0.307,1.34,0.167,19.52,19.52,7.96,7.96,2.755,5.84,0.63,31,PASS
fold2_room1_mix013,val,L,6.55,12.34,6.6,peepo,-5.14,0.123,0.01644,0.248,0.92,0.23,12.92,12.92,6.97,6.97,3.341,8.137,0.63,47,PASS
fold2_room1_mix014,val,R,-11.39,14.94,6.45,peepo,-4.32,0.0451,0.00413,0.194,0.49,0.408,1.95,1.95,12.57,12.57,2.853,5.133,0.73,22,PASS
fold2_room1_mix015,val,L,7.15,9.79,5.84,wail,-3.78,0.1428,0.01886,0.288,0.76,0.273,8.24,8.24,7.15,7.15,4.034,7.035,0.58,30,PASS
fold2_room1_mix016,val,R,-12.58,12.16,4.65,wail,-1.19,0.0918,0.00808,0.278,0.53,0.204,4.43,4.43,11.22,11.22,1.402,3.72,0.56,23,PASS
fold2_room1_mix017,val,L,4.8,9.73,6.09,peepo,-3.57,0.1563,0.02577,0.25,1.14,0.268,17.88,17.88,12.61,12.61,4.773,8.962,0.36,42,PASS
fold2_room1_mix018,val,R,-9.07,14.22,4.64,peepo,-3.19,0.1335,0.01477,0.175,1.03,0.305,8.89,8.89,9.16,9.16,2.171,5.409,0.57,32,PASS
fold2_room1_mix019,val,L,5.41,12.72,6.99,wail,-2.25,0.2321,0.02548,0.224,1.13,0.23,1.04,1.04,14.51,14.51,3.394,9.003,0.98,56,PASS
fold2_room1_mix020,val,R,-3.48,10.72,6.78,wail,-5.41,0.2132,0.02423,0.25,1.15,0.17,14.7,14.7,2.87,2.87,4.694,8.662,0.91,39,PASS
