car_side,clip_id,danger_tier,motion,n_car,n_warnings,scenario,scene_type,seed,split,w1_class,w1_side,w2_class,w2_side
R,fold31_room1_mix0025,caution,walk,1,1,v11core,residential,14002513496,fold31,crossing,L,,
R,fold31_room1_mix0026,caution,static,2,1,v11core,arterial,14002618225,fold31,horn,R,,
,fold31_room1_mix0027,na,walk,0,0,v11core,residential,14002722954,fold31,,,,
,fold31_room1_mix0028,na,walk,0,1,v11core,daily,14002827683,fold31,crossing,L,,
L,fold31_room1_mix0029,caution,static,1,1,v11core,arterial,14002932412,fold31,backup_beep,L,,
,fold31_room1_mix0030,na,walk,0,1,v11core,residential,14003037141,fold31,backup_beep,L,,
L,fold31_room1_mix0031,critical,static,3,1,v11core,daily,14003141870,fold31,horn,R,,
L,fold31_room1_mix0032,safe,walk,1,0,v11core,residential,14003246599,fold31,,,,
R,fold31_room1_mix0033,caution,static,1,2,v11core,residential,14003351328,fold31,backup_beep,R,backup_beep,L
,fold31_room1_mix0034,na,static,0,0,v11core,residential,14003456057,fold31,,,,
,fold31_room1_mix0035,na,static,0,1,v11core,daily,14003560786,fold31,backup_beep,R,,
R,fold31_room1_mix0036,caution,walk,1,1,v11core,daily,14003665515,fold31,crossing,R,,
L,fold31_room1_mix0037,safe,static,1,1,v11core,daily,14003770244,fold31,backup_beep,R,,
L,fold31_room1_mix0038,caution,static,1,0,v11core,arterial,14003874973,fold31,,,,
L,fold31_room1_mix0039,safe,walk,1,1,v11core,daily,14003979702,fold31,crossing,R,,
L,fold31_room1_mix0040,caution,static,1,2,v11core,arterial,14004084431,fold31,backup_beep,R,crossing,L
R,fold31_room1_mix0041,critical,walk,2,1,v11core,arterial,14004189160,fold31,crossing,R,,
,fold31_room1_mix0042,na,static,0,0,v11core,residential,14004293889,fold31,,,,
R,fold31_room1_mix0043,safe,walk,1,1,v11core,residential,14004398618,fold31,crossing,R,,
,fold31_room1_mix0044,na,walk,0,1,v11core,residential,14004503347,fold31,siren,R,,
L,fold31_room1_mix0045,safe,static,2,0,v11core,arterial,14004608076,fold31,,,,
R,fold31_room1_mix0046,critical,static,3,0,v11core,daily,14004712805,fold31,,,,
L,fold31_room1_mix0047,caution,walk,1,1,v11core,residential,14004817534,fold31,siren,R,,
R,fold31_room1_mix0048,safe,walk,1,1,v11core,daily,14004922263,fold31,crossing,R,,
R,fold31_room1_mix0049,caution,walk,2,1,v11core,daily,14005026992,fold31,siren,L,,
R,fold31_room1_mix0050,caution,walk,1,0,v11core,residential,14005131721,fold31,,,,
R,fold31_room1_mix0051,safe,static,1,1,v11core,daily,14005236450,fold31,horn,R,,
L,fold31_room1_mix0052,critical,walk,2,0,v11core,arterial,14005341179,fold31,,,,
L,fold31_room1_mix0053,safe,walk,1,0,v11core,daily,14005445908,fold31,,,,
R,fold31_room1_mix0054,caution,static,2,0,v11core,arterial,14005550637,fold31,,,,
,fold31_room1_mix0055,na,static,0,0,v11core,residential,14005655366,fold31,,,,
R,fold31_room1_mix0056,caution,walk,2,2,v11core,daily,14005760095,fold31,backup_beep,L,bike_bell,L
R,fold31_room1_mix0057,critical,walk,2,2,v11core,daily,14005864824,fold31,backup_beep,R,backup_beep,L
,fold31_room1_mix0058,na,walk,0,1,v11core,residential,14005969553,fold31,siren,R,,
L,fold31_room1_mix0059,caution,static,2,2,v11core,daily,14006074282,fold31,siren,R,crossing,L
R,fold31_room1_mix0060,critical,static,1,0,v11core,daily,14006179011,fold31,,,,
R,fold31_room1_mix0061,safe,static,1,0,v11core,daily,14006283740,fold31,,,,
,fold31_room1_mix0062,na,walk,0,1,v11core,residential,14006388469,fold31,siren,L,,
R,fold31_room1_mix0063,caution,walk,1,1,v11core,daily,14006493198,fold31,bike_bell,L,,
R,fold31_room1_mix0064,caution,walk,1,0,v11core,residential,14006597927,fold31,,,,
R,fold31_room1_mix0065,safe,walk,2,0,v11core,residential,14006702656,fold31,,,,
L,fold31_room1_mix0066,safe,static,2,1,v11core,daily,14006807385,fold31,horn,L,,
R,fold31_room1_mix0067,critical,static,1,0,v11core,residential,14006912114,fold31,,,,
R,fold31_room1_mix0068,safe,static,1,0,v11core,arterial,14007016843,fold31,,,,
R,fold31_room1_mix0069,caution,walk,1,0,v11core,daily,14007121572,fold31,,,,
R,fold31_room1_mix0070,safe,static,2,1,v11core,daily,14007226301,fold31,horn,L,,
L,fold31_room1_mix0071,critical,walk,1,0,v11core,daily,14007331030,fold31,,,,
R,fold31_room1_mix0072,caution,static,2,0,v11core,daily,14007435759,fold31,,,,
R,fold31_room1_mix0073,critical,walk,1,1,v11core,daily,14007540488,fold31,crossing,L,,
,fold31_room1_mix0074,na,static,0,0,v11core,residential,14007645217,fold31,,,,
,fold31_room1_mix0075,na,static,0,1,v11core,residential,14007749946,fold31,crossing,R,,
L,fold31_room1_mix0076,safe,static,2,2,v11core,daily,14007854675,fold31,siren,L,horn,R
L,fold31_room1_mix0077,safe,static,3,1,v11core,daily,14007959404,fold31,horn,R,,
,fold31_room1_mix0078,na,walk,0,0,v11core,residential,14008064133,fold31,,,,
R,fold31_room1_mix0079,safe,walk,1,2,v11core,residential,14008168862,fold31,siren,L,bike_bell,L
R,fold31_room1_mix0080,caution,walk,1,0,v11core,residential,14008273591,fold31,,,,
L,fold31_room1_mix0081,critical,static,1,0,v11core,arterial,14008378320,fold31,,,,
,fold31_room1_mix0082,na,walk,0,1,v11core,residential,14008483049,fold31,horn,L,,
R,fold31_room1_mix0083,critical,walk,1,0,v11core,arterial,14008587778,fold31,,,,
R,fold31_room1_mix0084,caution,static,1,0,v11core,arterial,14008692507,fold31,,,,
,fold31_room1_mix0085,na,walk,0,1,v11core,residential,14008797236,fold31,siren,R,,
L,fold31_room1_mix0086,caution,walk,1,2,v11core,residential,14008901965,fold31,siren,L,backup_beep,L
L,fold31_room1_mix0087,safe,static,1,1,v11core,arterial,14009006694,fold31,horn,R,,
L,fold31_room1_mix0088,safe,walk,2,0,v11core,daily,14009111423,fold31,,,,
L,fold31_room1_mix0089,critical,walk,1,2,v11core,daily,14009216152,fold31,horn,L,backup_beep,L
L,fold31_room1_mix0090,caution,static,1,0,v11core,residential,14009320881,fold31,,,,
,fold31_room1_mix0091,na,static,0,2,v11core,residential,14009425610,fold31,siren,R,horn,R
,fold31_room1_mix0092,na,walk,0,1,v11core,residential,14009530339,fold31,crossing,R,,
,fold31_room1_mix0093,na,static,0,0,v11core,residential,14009635068,fold31,,,,
R,fold31_room1_mix0094,caution,walk,1,1,v11core,residential,14009739797,fold31,bike_bell,R,,
,fold31_room1_mix0095,na,static,0,1,v11core,residential,14009844526,fold31,horn,L,,
L,fold31_room1_mix0096,critical,walk,1,2,v11core,daily,14009949255,fold31,siren,R,horn,L
R,fold31_room1_mix0097,critical,walk,1,0,v11core,daily,14010053984,fold31,,,,
L,fold31_room1_mix0098,critical,static,2,2,v11core,arterial,14010158713,fold31,siren,R,horn,L
R,fold31_room1_mix0099,safe,walk,2,0,v11core,arterial,14010263442,fold31,,,,
L,fold31_room1_mix0100,safe,static,1,1,v11core,residential,14010368171,fold31,backup_beep,L,,
L,fold31_room1_mix0101,critical,walk,1,1,v11core,daily,14010472900,fold31,bike_bell,R,,
R,fold31_room1_mix0102,critical,walk,1,0,v11core,daily,14010577629,fold31,,,,
,fold31_room1_mix0103,na,walk,0,0,v11core,residential,14010682358,fold31,,,,
R,fold31_room1_mix0104,critical,static,1,1,v11core,arterial,14010787087,fold31,backup_beep,L,,
L,fold31_room1_mix0105,critical,static,2,1,v11core,arterial,14010891816,fold31,siren,L,,
L,fold31_room1_mix0106,caution,walk,1,1,v11core,residential,14010996545,fold31,horn,R,,
R,fold31_room1_mix0107,safe,walk,2,1,v11core,daily,14011101274,fold31,crossing,R,,
R,fold31_room1_mix0108,safe,static,2,0,v11core,arterial,14011206003,fold31,,,,
L,fold31_room1_mix0109,critical,walk,1,2,v11core,residential,14011310732,fold31,siren,L,horn,L
R,fold31_room1_mix0110,critical,static,2,1,v11core,arterial,14011415461,fold31,horn,R,,
R,fold31_room1_mix0111,critical,static,2,1,v11core,residential,14011520190,fold31,siren,R,,
,fold31_room1_mix0112,na,static,0,1,v11core,residential,14011624919,fold31,backup_beep,L,,
,fold31_room1_mix0113,na,walk,0,0,v11core,daily,14011729648,fold31,,,,
L,fold31_room1_mix0114,critical,walk,2,1,v11core,arterial,14011834377,fold31,bike_bell,L,,
R,fold31_room1_mix0115,caution,walk,1,0,v11core,daily,14011939106,fold31,,,,
L,fold31_room1_mix0116,caution,walk,1,0,v11core,residential,14012043835,fold31,,,,
,fold31_room1_mix0117,na,static,0,1,v11core,residential,14012148564,fold31,backup_beep,L,,
R,fold31_room1_mix0118,safe,static,2,1,v11core,arterial,14012253293,fold31,horn,L,,
L,fold31_room1_mix0119,critical,static,1,1,v11core,residential,14012358022,fold31,siren,R,,
L,fold31_room1_mix0120,safe,walk,3,0,v11core,arterial,14012462751,fold31,,,,
L,fold31_room1_mix0121,critical,walk,1,0,v11core,residential,14012567480,fold31,,,,
R,fold31_room1_mix0122,critical,walk,1,0,v11core,residential,14012672209,fold31,,,,
L,fold31_room1_mix0123,critical,static,2,1,v11core,daily,14012776938,fold31,horn,R,,
R,fold31_room1_mix0124,critical,walk,1,0,v11core,daily,14012881667,fold31,,,,
R,fold31_room1_mix0125,safe,static,1,0,v11core,arterial,14012986396,fold31,,,,
R,fold31_room1_mix0126,caution,static,1,1,v11core,daily,14013091125,fold31,siren,L,,
L,fold31_room1_mix0127,caution,walk,2,1,v11core,arterial,14013195854,fold31,siren,R,,
R,fold31_room1_mix0128,critical,walk,3,0,v11core,arterial,14013300583,fold31,,,,
L,fold31_room1_mix0129,critical,walk,3,0,v11core,arterial,14013405312,fold31,,,,
L,fold31_room1_mix0130,caution,static,1,0,v11core,daily,14013510041,fold31,,,,
R,fold31_room1_mix0131,caution,static,1,1,v11core,daily,14013614770,fold31,bike_bell,L,,
L,fold31_room1_mix0132,caution,walk,1,1,v11core,daily,14013719499,fold31,crossing,R,,
,fold31_room1_mix0133,na,walk,0,0,v11core,residential,14013824228,fold31,,,,
L,fold31_room1_mix0134,critical,walk,1,0,v11core,daily,14013928957,fold31,,,,
R,fold31_room1_mix0135,caution,static,2,0,v11core,daily,14014033686,fold31,,,,
R,fold31_room1_mix0136,critical,walk,2,2,v11core,arterial,14014138415,fold31,horn,R,backup_beep,L
R,fold31_room1_mix0137,safe,static,1,0,v11core,residential,14014243144,fold31,,,,
R,fold31_room1_mix0138,caution,static,1,0,v11core,daily,14014347873,fold31,,,,
R,fold31_room1_mix0139,critical,static,1,1,v11core,daily,14014452602,fold31,crossing,R,,
R,fold31_room1_mix0140,safe,static,1,0,v11core,residential,14014557331,fold31,,,,
L,fold31_room1_mix0141,safe,walk,3,1,v11core,arterial,14014662060,fold31,bike_bell,R,,
R,fold31_room1_mix0142,critical,walk,3,0,v11core,arterial,14014766789,fold31,,,,
R,fold31_room1_mix0143,safe,static,3,1,v11core,daily,14014871518,fold31,siren,L,,
L,fold31_room1_mix0144,safe,walk,2,0,v11core,daily,14014976247,fold31,,,,
,fold31_room1_mix0145,na,walk,0,0,v11core,daily,14015080976,fold31,,,,
R,fold31_room1_mix0146,safe,static,1,1,v11core,residential,14015185705,fold31,backup_beep,L,,
R,fold31_room1_mix0147,caution,static,1,0,v11core,residential,14015290434,fold31,,,,
,fold31_room1_mix0148,na,static,0,1,v11core,residential,14015395163,fold31,crossing,R,,
L,fold31_room1_mix0149,safe,static,1,0,v11core,daily,14015499892,fold31,,,,
R,fold31_room1_mix0150,caution,static,1,0,v11core,daily,14015604621,fold31,,,,
L,fold31_room1_mix0151,caution,static,3,1,v11core,arterial,14015709350,fold31,siren,R,,
L,fold31_room1_mix0152,safe,walk,1,0,v11core,arterial,14015814079,fold31,,,,
R,fold31_room1_mix0153,caution,static,1,1,v11core,daily,14015918808,fold31,backup_beep,R,,
,fold31_room1_mix0154,na,walk,0,0,v11core,residential,14016023537,fold31,,,,
L,fold31_room1_mix0155,safe,walk,2,1,v11core,arterial,14016128266,fold31,siren,R,,
R,fold31_room1_mix0156,critical,static,2,2,v11core,arterial,14016232995,fold31,siren,R,backup_beep,R
L,fold31_room1_mix0157,safe,walk,2,1,v11core,arterial,14016337724,fold31,backup_beep,R,,
L,fold31_room1_mix0158,safe,static,1,0,v11core,residential,14016442453,fold31,,,,
L,fold31_room1_mix0159,safe,walk,1,0,v11core,daily,14016547182,fold31,,,,
,fold31_room1_mix0160,na,walk,0,1,v11core,residential,14016651911,fold31,siren,L,,
R,fold31_room1_mix0161,critical,walk,1,1,v11core,residential,14016756640,fold31,horn,L,,
R,fold31_room1_mix0162,safe,static,3,1,v11core,arterial,14016861369,fold31,bike_bell,L,,
L,fold31_room1_mix0163,critical,static,3,1,v11core,arterial,14016966098,fold31,backup_beep,L,,
L,fold31_room1_mix0164,critical,static,2,0,v11core,daily,14017070827,fold31,,,,
,fold31_room1_mix0165,na,static,0,2,v11core,daily,14017175556,fold31,siren,L,siren,R
R,fold31_room1_mix0166,safe,walk,3,0,v11core,daily,14017280285,fold31,,,,
R,fold31_room1_mix0167,safe,static,1,1,v11core,residential,14017385014,fold31,bike_bell,L,,
,fold31_room1_mix0168,na,static,0,1,v11core,residential,14017489743,fold31,horn,R,,
R,fold31_room1_mix0169,safe,static,2,0,v11core,arterial,14017594472,fold31,,,,
L,fold31_room1_mix0170,safe,walk,3,0,v11core,arterial,14017699201,fold31,,,,
L,fold31_room1_mix0171,caution,static,2,1,v11core,arterial,14017803930,fold31,crossing,R,,
R,fold31_room1_mix0172,safe,static,1,1,v11core,daily,14017908659,fold31,bike_bell,R,,
R,fold31_room1_mix0173,safe,walk,1,0,v11core,daily,14018013388,fold31,,,,
L,fold31_room1_mix0174,safe,walk,1,1,v11core,daily,14018118117,fold31,siren,R,,
L,fold31_room1_mix0175,critical,static,1,0,v11core,daily,14018222846,fold31,,,,
L,fold31_room1_mix0176,safe,walk,3,1,v11core,arterial,14018327575,fold31,crossing,R,,
R,fold31_room1_mix0177,safe,walk,3,1,v11core,arterial,14018432304,fold31,backup_beep,R,,
L,fold31_room1_mix0178,safe,static,2,1,v11core,arterial,14018537033,fold31,bike_bell,L,,
R,fold31_room1_mix0179,safe,walk,1,0,v11core,residential,14018641762,fold31,,,,
L,fold31_room1_mix0180,critical,static,1,2,v11core,residential,14018746491,fold31,siren,R,backup_beep,R
L,fold31_room1_mix0181,safe,walk,2,2,v11core,residential,14018851220,fold31,backup_beep,R,bike_bell,R
L,fold31_room1_mix0182,critical,walk,2,2,v11core,arterial,14018955949,fold31,siren,L,crossing,L
R,fold31_room1_mix0183,safe,static,2,1,v11core,residential,14019060678,fold31,bike_bell,L,,
R,fold31_room1_mix0184,critical,walk,3,1,v11core,arterial,14019165407,fold31,horn,R,,
L,fold31_room1_mix0185,caution,walk,1,2,v11core,residential,14019270136,fold31,horn,L,backup_beep,L
L,fold31_room1_mix0186,safe,walk,1,2,v11core,daily,14019374865,fold31,bike_bell,R,crossing,L
L,fold31_room1_mix0187,critical,static,1,1,v11core,daily,14019479594,fold31,bike_bell,R,,
,fold31_room1_mix0188,na,walk,0,0,v11core,residential,14019584323,fold31,,,,
R,fold31_room1_mix0189,critical,walk,2,1,v11core,residential,14019689052,fold31,bike_bell,R,,
L,fold31_room1_mix0190,caution,static,1,1,v11core,residential,14019793781,fold31,horn,L,,
R,fold31_room1_mix0191,caution,static,1,0,v11core,arterial,14019898510,fold31,,,,
L,fold31_room1_mix0192,caution,walk,2,1,v11core,daily,14020003239,fold31,siren,L,,
R,fold31_room1_mix0193,safe,walk,1,0,v11core,residential,14020107968,fold31,,,,
,fold31_room1_mix0194,na,walk,0,1,v11core,residential,14020212697,fold31,horn,L,,
R,fold31_room1_mix0195,safe,static,2,0,v11core,daily,14020317426,fold31,,,,
R,fold31_room1_mix0196,caution,static,2,1,v11core,daily,14020422155,fold31,horn,L,,
R,fold31_room1_mix0197,caution,static,1,0,v11core,residential,14020526884,fold31,,,,
R,fold31_room1_mix0198,critical,static,2,2,v11core,daily,14020631613,fold31,backup_beep,L,bike_bell,R
R,fold31_room1_mix0199,caution,walk,1,0,v11core,arterial,14020736342,fold31,,,,
L,fold31_room1_mix0200,critical,walk,3,0,v11core,daily,14020841071,fold31,,,,
R,fold31_room1_mix0201,safe,static,3,0,v11core,arterial,14020945800,fold31,,,,
L,fold31_room1_mix0202,critical,walk,1,0,v11core,residential,14021050529,fold31,,,,
L,fold31_room1_mix0203,critical,walk,2,2,v11core,daily,14021155258,fold31,bike_bell,L,bike_bell,R
,fold31_room1_mix0204,na,walk,0,0,v11core,residential,14021259987,fold31,,,,
L,fold31_room1_mix0205,caution,walk,1,2,v11core,residential,14021364716,fold31,siren,R,siren,L
R,fold31_room1_mix0206,critical,walk,1,1,v11core,residential,14021469445,fold31,backup_beep,R,,
L,fold31_room1_mix0207,caution,walk,1,0,v11core,daily,14021574174,fold31,,,,
R,fold31_room1_mix0208,critical,walk,2,1,v11core,daily,14021678903,fold31,horn,R,,
L,fold31_room1_mix0209,safe,static,2,2,v11core,daily,14021783632,fold31,bike_bell,R,bike_bell,L
L,fold31_room1_mix0210,critical,walk,1,1,v11core,residential,14021888361,fold31,siren,R,,
R,fold31_room1_mix0211,safe,walk,3,0,v11core,arterial,14021993090,fold31,,,,
R,fold31_room1_mix0212,safe,static,2,0,v11core,residential,14022097819,fold31,,,,
L,fold31_room1_mix0213,safe,walk,1,0,v11core,residential,14022202548,fold31,,,,
R,fold31_room1_mix0214,critical,static,1,1,v11core,residential,14022307277,fold31,backup_beep,L,,
L,fold31_room1_mix0215,safe,static,1,0,v11core,residential,14022412006,fold31,,,,
R,fold31_room1_mix0216,caution,walk,3,0,v11core,daily,14022516735,fold31,,,,
R,fold31_room1_mix0217,critical,static,1,0,v11core,arterial,14022621464,fold31,,,,
R,fold31_room1_mix0218,caution,walk,1,1,v11core,arterial,14022726193,fold31,backup_beep,R,,
R,fold31_room1_mix0219,critical,walk,3,0,v11core,arterial,14022830922,fold31,,,,
R,fold31_room1_mix0220,critical,walk,1,1,v11core,residential,14022935651,fold31,bike_bell,L,,
,fold31_room1_mix0221,na,walk,0,0,v11core,residential,14023040380,fold31,,,,
R,fold31_room1_mix0222,caution,static,1,1,v11core,residential,14023145109,fold31,horn,R,,
R,fold31_room1_mix0223,caution,static,2,2,v11core,arterial,14023249838,fold31,bike_bell,L,bike_bell,R
L,fold31_room1_mix0224,safe,walk,2,1,v11core,daily,14023354567,fold31,backup_beep,L,,
L,fold31_room1_mix0225,caution,walk,2,1,v11core,daily,14023459296,fold31,bike_bell,R,,
R,fold31_room1_mix0226,critical,static,1,0,v11core,daily,14023564025,fold31,,,,
R,fold31_room1_mix0227,safe,walk,2,0,v11core,daily,14023668754,fold31,,,,
L,fold31_room1_mix0228,safe,static,1,2,v11core,residential,14023773483,fold31,bike_bell,R,crossing,L
,fold31_room1_mix0229,na,static,0,0,v11core,residential,14023878212,fold31,,,,
,fold31_room1_mix0230,na,walk,0,0,v11core,residential,14023982941,fold31,,,,
L,fold31_room1_mix0231,caution,walk,1,0,v11core,daily,14024087670,fold31,,,,
L,fold31_room1_mix0232,critical,walk,2,0,v11core,residential,14024192399,fold31,,,,
,fold31_room1_mix0233,na,static,0,2,v11core,residential,14024297128,fold31,backup_beep,R,crossing,L
L,fold31_room1_mix0234,caution,walk,1,0,v11core,arterial,14024401857,fold31,,,,
R,fold31_room1_mix0235,safe,static,3,1,v11core,arterial,14024506586,fold31,crossing,R,,
,fold31_room1_mix0236,na,walk,0,1,v11core,residential,14024611315,fold31,crossing,R,,
L,fold31_room1_mix0237,safe,static,1,2,v11core,daily,14024716044,fold31,siren,L,backup_beep,L
L,fold31_room1_mix0238,caution,walk,1,0,v11core,residential,14024820773,fold31,,,,
R,fold31_room1_mix0239,caution,static,2,0,v11core,residential,14024925502,fold31,,,,
R,fold31_room1_mix0240,safe,walk,1,2,v11core,daily,14025030231,fold31,backup_beep,R,crossing,L
,fold31_room1_mix0241,na,static,0,1,v11core,residential,14025134960,fold31,siren,R,,
R,fold31_room1_mix0242,critical,walk,1,2,v11core,residential,14025239689,fold31,horn,R,bike_bell,L
L,fold31_room1_mix0243,caution,walk,3,2,v11core,arterial,14025344418,fold31,backup_beep,R,backup_beep,L
,fold31_room1_mix0244,na,walk,0,1,v11core,residential,14025449147,fold31,bike_bell,R,,
,fold31_room1_mix0245,na,walk,0,0,v11core,residential,14025553876,fold31,,,,
R,fold31_room1_mix0246,critical,static,2,1,v11core,daily,14025658605,fold31,siren,L,,
L,fold31_room1_mix0247,critical,static,3,0,v11core,arterial,14025763334,fold31,,,,
,fold31_room1_mix0248,na,static,0,0,v11core,residential,14025868063,fold31,,,,
L,fold31_room1_mix0249,caution,static,2,0,v11core,daily,14025972792,fold31,,,,
R,fold31_room1_mix0250,critical,walk,1,1,v11core,residential,14026077521,fold31,crossing,L,,
R,fold31_room1_mix0251,critical,static,1,1,v11core,daily,14026182250,fold31,crossing,R,,
L,fold31_room1_mix0252,critical,walk,1,0,v11core,daily,14026286979,fold31,,,,
R,fold31_room1_mix0253,caution,walk,1,0,v11core,daily,14026391708,fold31,,,,
,fold31_room1_mix0254,na,walk,0,1,v11core,residential,14026496437,fold31,backup_beep,R,,
L,fold31_room1_mix0255,safe,static,2,1,v11core,arterial,14026601166,fold31,siren,R,,
L,fold31_room1_mix0256,safe,static,1,0,v11core,daily,14026705895,fold31,,,,
R,fold31_room1_mix0257,critical,walk,1,2,v11core,residential,14026810624,fold31,backup_beep,L,bike_bell,L
,fold31_room1_mix0258,na,static,0,0,v11core,residential,14026915353,fold31,,,,
L,fold31_room1_mix0259,safe,static,1,0,v11core,daily,14027020082,fold31,,,,
L,fold31_room1_mix0260,critical,walk,3,2,v11core,daily,14027124811,fold31,horn,R,bike_bell,L
R,fold31_room1_mix0261,caution,static,2,1,v11core,residential,14027229540,fold31,horn,L,,
R,fold31_room1_mix0262,safe,static,1,0,v11core,residential,14027334269,fold31,,,,
L,fold31_room1_mix0263,caution,static,2,1,v11core,daily,14027438998,fold31,backup_beep,R,,
R,fold31_room1_mix0264,caution,walk,1,1,v11core,residential,14027543727,fold31,horn,R,,
L,fold31_room1_mix0265,caution,static,2,0,v11core,daily,14027648456,fold31,,,,
L,fold31_room1_mix0266,caution,static,3,0,v11core,arterial,14027753185,fold31,,,,
R,fold31_room1_mix0267,safe,static,1,1,v11core,daily,14027857914,fold31,siren,L,,
R,fold31_room1_mix0268,safe,walk,2,1,v11core,daily,14027962643,fold31,backup_beep,L,,
R,fold31_room1_mix0269,caution,static,1,0,v11core,daily,14028067372,fold31,,,,
L,fold31_room1_mix0270,critical,walk,1,1,v11core,arterial,14028172101,fold31,backup_beep,R,,
R,fold31_room1_mix0271,caution,walk,1,1,v11core,daily,14028276830,fold31,siren,L,,
R,fold31_room1_mix0272,safe,static,3,0,v11core,daily,14028381559,fold31,,,,
R,fold31_room1_mix0273,caution,walk,1,0,v11core,daily,14028486288,fold31,,,,
R,fold31_room1_mix0274,caution,static,2,1,v11core,residential,14028591017,fold31,backup_beep,L,,
L,fold31_room1_mix0275,safe,walk,1,1,v11core,daily,14028695746,fold31,siren,R,,
R,fold31_room1_mix0276,safe,walk,1,1,v11core,residential,14028800475,fold31,siren,L,,
R,fold31_room1_mix0277,caution,static,1,2,v11core,residential,14028905204,fold31,horn,R,backup_beep,R
R,fold31_room1_mix0278,critical,static,1,2,v11core,daily,14029009933,fold31,horn,R,crossing,R
L,fold31_room1_mix0279,safe,static,3,1,v11core,arterial,14029114662,fold31,backup_beep,R,,
,fold31_room1_mix0280,na,walk,0,2,v11core,residential,14029219391,fold31,siren,R,horn,R
L,fold31_room1_mix0281,critical,walk,2,0,v11core,residential,14029324120,fold31,,,,
L,fold31_room1_mix0282,safe,walk,2,2,v11core,daily,14029428849,fold31,backup_beep,R,crossing,R
L,fold31_room1_mix0283,safe,walk,1,0,v11core,daily,14029533578,fold31,,,,
R,fold31_room1_mix0284,caution,static,2,1,v11core,arterial,14029638307,fold31,bike_bell,R,,
R,fold31_room1_mix0285,caution,walk,2,0,v11core,arterial,14029743036,fold31,,,,
,fold31_room1_mix0286,na,static,0,0,v11core,residential,14029847765,fold31,,,,
R,fold31_room1_mix0287,critical,static,1,1,v11core,daily,14029952494,fold31,bike_bell,R,,
R,fold31_room1_mix0288,caution,walk,2,1,v11core,arterial,14030057223,fold31,backup_beep,L,,
L,fold31_room1_mix0289,safe,walk,2,2,v11core,daily,14030161952,fold31,siren,L,crossing,L
R,fold31_room1_mix0290,critical,static,2,0,v11core,arterial,14030266681,fold31,,,,
L,fold31_room1_mix0291,critical,walk,1,1,v11core,daily,14030371410,fold31,siren,L,,
,fold31_room1_mix0292,na,static,0,1,v11core,residential,14030476139,fold31,horn,L,,
L,fold31_room1_mix0293,caution,static,2,1,v11core,daily,14030580868,fold31,horn,R,,
,fold31_room1_mix0294,na,walk,0,1,v11core,residential,14030685597,fold31,horn,R,,
R,fold31_room1_mix0295,caution,walk,2,2,v11core,arterial,14030790326,fold31,siren,L,backup_beep,R
L,fold31_room1_mix0296,caution,static,3,1,v11core,arterial,14030895055,fold31,bike_bell,R,,
R,fold31_room1_mix0297,caution,static,3,1,v11core,arterial,14030999784,fold31,crossing,R,,
